139				
150111	2015	1	11	271.2
150207	2015	2	7	308.2
150208	2015	2	8	281
150209	2015	2	9	278.6
150210	2015	2	10	279.8
150225	2015	2	25	277.2
150309	2015	3	9	292
150320	2015	3	20	267.1
150324	2015	3	24	270.8
150325	2015	3	25	261.2
150327	2015	3	27	317.2
150331	2015	3	31	269.3
150719	2015	7	19	284.5
150729	2015	7	29	295.7
150730	2015	7	30	314.2
150802	2015	8	2	300.2
150805	2015	8	5	285.3
150806	2015	8	6	274
150807	2015	8	7	288.3
150809	2015	8	9	291.1
150811	2015	8	11	285.3
150908	2015	9	8	275.7
151001	2015	10	1	266
151012	2015	10	12	263.5
151014	2015	10	14	262.5
151026	2015	10	26	253.6
151028	2015	10	28	244.3
151102	2015	11	2	251.3
151204	2015	12	4	269
160314	2016	3	14	266.6
160322	2016	3	22	280.7
160323	2016	3	23	270.7
160324	2016	3	24	291.3
160327	2016	3	27	275.2
160403	2016	4	3	264.6
160404	2016	4	4	262.1
160405	2016	4	5	255.3
160421	2016	4	21	293.1
160425	2016	4	25	285.7
160426	2016	4	26	295.6
160427	2016	4	27	287.6
160504	2016	5	4	264.8
160505	2016	5	5	268.7
160506	2016	5	6	284.3
160516	2016	5	16	299.5
160622	2016	6	22	287
160701	2016	7	1	288.1
160706	2016	7	6	288.1
160707	2016	7	7	266.3
160708	2016	7	8	289.8
160714	2016	7	14	279.2
160715	2016	7	15	292.2
160716	2016	7	16	272.1
160724	2016	7	24	300.7
160801	2016	8	1	282.7
160802	2016	8	2	283.3
160823	2016	8	23	273.2
160824	2016	8	24	291.8
161115	2016	11	15	274.8
170307	2017	3	7	243.7
170321	2017	3	21	274
170322	2017	3	22	268.7
170329	2017	3	29	253.2
170330	2017	3	30	264.7
170401	2017	4	1	278.2
170403	2017	4	3	284.7
170405	2017	4	5	278.3
170410	2017	4	10	272.5
170423	2017	4	23	289.7
170426	2017	4	26	287.5
170428	2017	4	28	291.6
170430	2017	4	30	262.6
170501	2017	5	1	280.1
170504	2017	5	4	321.7
170505	2017	5	5	310.7
170524	2017	5	24	303.7
170531	2017	5	31	287.7
170606	2017	6	6	262.2
170607	2017	6	7	262.6
170617	2017	6	17	283.7
170618	2017	6	18	284.3
170621	2017	6	21	268.2
170622	2017	6	22	252.1
170623	2017	6	23	281.2
170629	2017	6	29	282.6
170703	2017	7	3	294.2
170725	2017	7	25	291.3
170727	2017	7	27	281.8
170728	2017	7	28	287.2
170729	2017	7	29	294
170813	2017	8	13	280
170827	2017	8	27	289.5
170829	2017	8	29	290.7
170908	2017	9	8	267.1
170912	2017	9	12	275.2
170915	2017	9	15	268.7
171022	2017	10	22	275.7
171029	2017	10	29	269.2
171118	2017	11	18	259.2
171120	2017	11	20	266.2
171121	2017	11	21	261.5
180115	2018	1	15	291.7
180119	2018	1	19	307.1
180328	2018	3	28	276.2
180406	2018	4	6	290.7
180407	2018	4	7	285.7
180413	2018	4	13	284.7
180415	2018	4	15	290.6
180416	2018	4	16	289.2
180417	2018	4	17	257.7
180418	2018	4	18	289.2
180508	2018	5	8	290.3
180517	2018	5	17	264.1
180518	2018	5	18	291.5
180526	2018	5	26	290.8
180527	2018	5	27	269.2
180528	2018	5	28	296.7
180529	2018	5	29	272.8
180603	2018	6	3	295.7
180604	2018	6	4	282.1
180605	2018	6	5	292
180623	2018	6	23	287.3
180702	2018	7	2	297.2
180703	2018	7	3	294.2
180718	2018	7	18	289.3
180720	2018	7	20	279.8
180721	2018	7	21	296
180722	2018	7	22	305.1
180723	2018	7	23	291.6
180801	2018	8	1	290.7
180815	2018	8	15	296.2
180817	2018	8	17	296.6
180819	2018	8	19	278.7
180823	2018	8	23	294.3
180824	2018	8	24	292.6
180827	2018	8	27	281.2
180828	2018	8	28	290
