Dates,Hours,CENTRO,NORESTE,NORESTE2,NOROESTE,NOROESTE2,NORTE,NORTE2,SUR,SURESTE,SURESTE2,SURESTE3,SUROESTE,SUROESTE2
2015-01-01,13,84.0,32.0,20.0,38.0,48.0,12.0,,,44.0,22.0,,49.0,28.0
2015-01-02,13,61.0,49.0,55.0,83.0,35.0,31.0,,,52.0,26.0,,80.0,84.0
2015-01-03,13,117.0,44.0,21.0,79.0,40.0,16.0,,,69.0,54.0,,192.0,134.0
2015-01-04,13,23.0,40.0,20.0,25.0,45.0,,,,41.0,83.0,,51.0,28.0
2015-01-05,13,67.0,73.0,61.0,109.0,108.0,91.0,,,50.0,43.0,,120.0,126.0
2015-01-06,13,144.0,116.0,95.0,134.0,136.0,149.0,,,183.0,142.0,,178.0,143.0
2015-01-07,13,107.0,,51.0,71.0,47.0,43.0,,,95.0,73.0,,272.0,162.0
2015-01-08,13,77.0,57.0,89.0,66.0,48.0,24.0,,,59.0,45.0,,97.0,78.0
2015-01-09,13,72.0,44.0,27.0,76.0,,,,,44.0,35.0,,175.0,83.0
2015-01-10,13,41.0,15.0,9.0,42.0,,10.0,,,39.0,22.0,,57.0,32.0
2015-01-11,13,71.0,,80.0,96.0,79.0,,,,93.0,55.0,,86.0,63.0
2015-01-12,13,141.0,171.0,106.0,202.0,165.0,,,,89.0,96.0,,143.0,172.0
2015-01-13,13,23.0,18.0,20.0,9.0,11.0,,,,35.0,22.0,,39.0,
2015-01-14,13,29.0,23.0,19.0,23.0,19.0,,,,36.0,17.0,,63.0,41.0
2015-01-15,13,56.0,41.0,49.0,62.0,57.0,,,,,28.0,,117.0,91.0
2015-01-16,13,,72.0,45.0,111.0,141.0,98.0,,,72.0,83.0,,90.0,85.0
2015-01-17,13,,132.0,121.0,170.0,104.0,149.0,,,106.0,156.0,,151.0,140.0
2015-01-18,13,,39.0,32.0,41.0,49.0,25.0,,,37.0,89.0,,61.0,32.0
2015-01-19,13,152.0,289.0,108.0,122.0,86.0,190.0,,,92.0,115.0,,122.0,78.0
2015-01-20,13,105.0,113.0,78.0,96.0,67.0,112.0,,,67.0,80.0,,56.0,42.0
2015-01-21,13,114.0,112.0,83.0,,91.0,78.0,,,90.0,104.0,,147.0,128.0
2015-01-22,13,96.0,67.0,42.0,129.0,185.0,57.0,,,61.0,38.0,,138.0,111.0
2015-01-23,13,52.0,70.0,45.0,76.0,77.0,37.0,,,48.0,28.0,,81.0,58.0
2015-01-24,13,106.0,125.0,62.0,91.0,91.0,86.0,,,76.0,109.0,,137.0,78.0
2015-01-25,13,58.0,83.0,18.0,71.0,54.0,90.0,,,63.0,155.0,,87.0,76.0
2015-01-26,13,73.0,98.0,70.0,98.0,99.0,68.0,,,73.0,45.0,,94.0,105.0
2015-01-27,13,146.0,71.0,23.0,97.0,89.0,58.0,,,82.0,80.0,,170.0,156.0
2015-01-28,13,151.0,123.0,95.0,142.0,109.0,88.0,,,109.0,69.0,,142.0,171.0
2015-01-29,13,132.0,130.0,77.0,114.0,139.0,69.0,,,76.0,103.0,,205.0,
2015-01-30,13,79.0,69.0,65.0,65.0,23.0,61.0,,,58.0,78.0,,80.0,101.0
2015-01-31,13,80.0,62.0,23.0,44.0,,36.0,,,55.0,81.0,,83.0,61.0
2015-02-01,13,97.0,104.0,80.0,137.0,65.0,40.0,,,87.0,,,,36.0
2015-02-02,13,16.0,21.0,16.0,23.0,,9.0,,,34.0,44.0,,145.0,13.0
2015-02-03,13,33.0,29.0,16.0,54.0,22.0,25.0,,,37.0,20.0,,49.0,
2015-02-04,13,173.0,151.0,150.0,44.0,82.0,71.0,,,68.0,71.0,,131.0,158.0
2015-02-05,13,72.0,49.0,29.0,68.0,31.0,25.0,,,43.0,36.0,,304.0,69.0
2015-02-06,13,,53.0,97.0,75.0,118.0,,,,38.0,35.0,,151.0,106.0
2015-02-07,13,,244.0,178.0,278.0,158.0,254.0,,,106.0,98.0,,196.0,216.0
2015-02-08,13,52.0,66.0,29.0,45.0,104.0,29.0,,,51.0,104.0,,76.0,58.0
2015-02-09,13,69.0,46.0,34.0,42.0,96.0,71.0,,,47.0,61.0,,159.0,125.0
2015-02-10,13,131.0,92.0,245.0,85.0,112.0,62.0,,,56.0,79.0,,150.0,128.0
2015-02-11,13,125.0,76.0,123.0,113.0,132.0,78.0,,,62.0,52.0,,166.0,127.0
2015-02-12,13,27.0,19.0,,20.0,,9.0,,,39.0,21.0,,22.0,
2015-02-13,13,91.0,82.0,127.0,91.0,28.0,48.0,,,56.0,41.0,,137.0,121.0
2015-02-14,13,76.0,42.0,43.0,61.0,,45.0,,,,53.0,,76.0,67.0
2015-02-15,13,,84.0,63.0,111.0,50.0,89.0,,,81.0,58.0,,126.0,105.0
2015-02-16,13,38.0,56.0,114.0,48.0,62.0,29.0,,,42.0,57.0,,112.0,46.0
2015-02-17,13,108.0,56.0,47.0,94.0,129.0,24.0,,,,46.0,,104.0,97.0
2015-02-18,13,42.0,76.0,118.0,71.0,108.0,60.0,,,,55.0,,91.0,78.0
2015-02-19,13,156.0,103.0,127.0,98.0,90.0,86.0,,,71.0,61.0,,160.0,165.0
2015-02-20,13,211.0,232.0,217.0,262.0,217.0,167.0,,,111.0,129.0,,187.0,189.0
2015-02-21,13,255.0,140.0,163.0,141.0,128.0,83.0,,,92.0,167.0,,258.0,274.0
2015-02-22,13,91.0,127.0,159.0,98.0,106.0,104.0,,,102.0,74.0,,122.0,117.0
2015-02-23,13,30.0,15.0,,33.0,,10.0,,,36.0,22.0,,41.0,24.0
2015-02-24,13,41.0,54.0,95.0,98.0,84.0,35.0,,,36.0,,,119.0,106.0
2015-02-25,13,92.0,76.0,139.0,89.0,,48.0,,,60.0,85.0,,159.0,126.0
2015-02-26,13,76.0,86.0,170.0,128.0,,74.0,,,50.0,,,180.0,150.0
2015-02-27,13,17.0,25.0,7.0,21.0,,9.0,,,37.0,,,37.0,25.0
2015-02-28,13,108.0,24.0,38.0,88.0,,26.0,,,56.0,25.0,,137.0,112.0
2015-03-01,13,126.0,69.0,86.0,,,63.0,,,81.0,54.0,,89.0,90.0
2015-03-02,13,37.0,31.0,23.0,60.0,,20.0,,,46.0,13.0,,76.0,52.0
2015-03-03,13,50.0,180.0,193.0,149.0,138.0,115.0,,,58.0,65.0,,136.0,99.0
2015-03-04,13,163.0,158.0,180.0,178.0,189.0,139.0,,,81.0,52.0,,232.0,185.0
2015-03-05,13,64.0,41.0,30.0,61.0,22.0,17.0,,,37.0,38.0,,103.0,95.0
2015-03-06,13,24.0,52.0,77.0,43.0,52.0,27.0,,,39.0,44.0,,61.0,46.0
2015-03-07,13,50.0,56.0,162.0,63.0,96.0,47.0,,,44.0,48.0,,78.0,77.0
2015-03-08,13,93.0,95.0,96.0,100.0,83.0,65.0,,,69.0,51.0,,182.0,125.0
2015-03-09,13,70.0,93.0,,98.0,84.0,80.0,,,51.0,49.0,,76.0,69.0
2015-03-10,13,50.0,30.0,232.0,51.0,27.0,45.0,,,50.0,23.0,,55.0,27.0
2015-03-11,13,47.0,58.0,,38.0,15.0,,,,58.0,41.0,,,50.0
2015-03-12,13,133.0,58.0,77.0,123.0,50.0,,,,61.0,97.0,,189.0,171.0
2015-03-13,13,85.0,60.0,44.0,50.0,36.0,,,,69.0,35.0,,42.0,75.0
2015-03-14,13,112.0,,54.0,81.0,78.0,,,,76.0,121.0,,72.0,72.0
2015-03-15,13,36.0,,101.0,48.0,40.0,,,,39.0,64.0,,28.0,32.0
2015-03-16,13,45.0,,88.0,64.0,46.0,,,,50.0,56.0,,61.0,40.0
2015-03-17,13,100.0,39.0,56.0,46.0,39.0,,,,45.0,27.0,,67.0,75.0
2015-03-18,13,124.0,76.0,,48.0,17.0,,,,57.0,38.0,,71.0,91.0
2015-03-19,13,238.0,184.0,131.0,159.0,94.0,,,,59.0,61.0,,145.0,140.0
2015-03-20,13,115.0,153.0,152.0,199.0,279.0,,,,70.0,125.0,,235.0,187.0
2015-03-21,13,48.0,33.0,16.0,47.0,81.0,,,,42.0,40.0,,41.0,34.0
2015-03-22,13,88.0,47.0,52.0,63.0,44.0,,,,65.0,91.0,,50.0,104.0
2015-03-23,13,108.0,130.0,148.0,162.0,76.0,,,,60.0,102.0,,116.0,125.0
2015-03-24,13,143.0,87.0,136.0,92.0,79.0,,,,58.0,54.0,,156.0,141.0
2015-03-25,13,131.0,103.0,107.0,164.0,146.0,,,,76.0,55.0,,205.0,179.0
2015-03-26,13,131.0,122.0,95.0,91.0,88.0,,,,61.0,90.0,,183.0,165.0
2015-03-27,13,51.0,86.0,80.0,78.0,70.0,,,,54.0,51.0,,88.0,84.0
2015-03-28,13,129.0,111.0,124.0,113.0,109.0,,,,70.0,74.0,,178.0,168.0
2015-03-29,13,117.0,139.0,162.0,134.0,104.0,,,,63.0,111.0,,186.0,180.0
2015-03-30,13,137.0,95.0,129.0,110.0,104.0,,,,79.0,88.0,,176.0,147.0
2015-03-31,13,108.0,80.0,89.0,101.0,90.0,,,,65.0,62.0,,140.0,113.0
2015-04-01,13,107.0,111.0,120.0,104.0,69.0,,,,79.0,55.0,,119.0,100.0
2015-04-02,13,167.0,161.0,208.0,172.0,101.0,,,,81.0,123.0,,147.0,172.0
2015-04-03,13,114.0,78.0,88.0,120.0,119.0,,,,79.0,73.0,,125.0,103.0
2015-04-04,13,28.0,20.0,,22.0,,,,,37.0,10.0,,14.0,18.0
2015-04-05,13,50.0,39.0,39.0,71.0,48.0,,,,44.0,38.0,,47.0,
2015-04-06,13,101.0,112.0,61.0,78.0,23.0,,,,42.0,53.0,,100.0,
2015-04-07,13,173.0,92.0,59.0,161.0,127.0,,,,53.0,59.0,,181.0,126.0
2015-04-08,13,162.0,165.0,78.0,129.0,27.0,,,,55.0,95.0,,168.0,141.0
2015-04-09,13,109.0,112.0,99.0,130.0,45.0,,,,48.0,92.0,,168.0,139.0
2015-04-10,13,45.0,70.0,140.0,77.0,64.0,,,,41.0,51.0,,74.0,52.0
2015-04-11,13,,119.0,75.0,96.0,43.0,,,,62.0,61.0,,116.0,82.0
2015-04-12,13,,103.0,7.0,98.0,20.0,,,,60.0,33.0,,81.0,87.0
2015-04-13,13,139.0,119.0,126.0,185.0,124.0,,,,55.0,65.0,,152.0,97.0
2015-04-14,13,57.0,36.0,44.0,36.0,8.0,,,,45.0,38.0,,142.0,23.0
2015-04-15,13,82.0,80.0,86.0,115.0,131.0,,,,50.0,77.0,,115.0,64.0
2015-04-16,13,82.0,110.0,85.0,90.0,77.0,,,,63.0,75.0,,113.0,72.0
2015-04-17,13,178.0,106.0,120.0,178.0,,,,,81.0,137.0,,166.0,172.0
2015-04-18,13,84.0,76.0,55.0,48.0,,,,,62.0,78.0,,89.0,61.0
2015-04-19,13,59.0,46.0,80.0,72.0,,,,,48.0,46.0,,87.0,61.0
2015-04-20,13,,33.0,21.0,48.0,,,,,46.0,44.0,,53.0,32.0
2015-04-21,13,119.0,78.0,,112.0,,,,,69.0,54.0,,111.0,117.0
2015-04-22,13,111.0,45.0,50.0,139.0,,,,,65.0,56.0,,145.0,103.0
2015-04-23,13,149.0,102.0,175.0,138.0,186.0,71.0,,,,82.0,,166.0,72.0
