,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01/27,254.0,227.0,241.0,244.0,240.0,243.0,236.0,244.0,239.0,252.0,239.0,231.0,240.0,248.0,243.0,245.0
01/28,249.0,234.0,233.0,241.0,239.0,243.0,243.0,239.0,243.0,253.0,237.0,243.0,243.0,250.0,246.0,251.0
01/29,245.0,236.0,240.0,241.0,237.0,246.0,242.0,246.0,232.0,243.0,237.0,241.0,242.0,248.0,243.0,247.0
01/30,248.0,235.0,238.0,248.0,236.0,237.0,243.0,247.0,226.0,253.0,237.0,243.0,243.0,254.0,244.0,248.0
01/31,241.0,241.0,240.0,243.0,243.0,235.0,247.0,244.0,231.0,243.0,238.0,238.0,250.0,243.0,245.0,246.0
02/01,247.0,237.0,233.0,245.0,237.0,245.0,248.0,242.0,229.0,255.0,245.0,236.0,238.0,252.0,247.0,250.0
02/02,249.0,242.0,241.0,237.0,236.0,221.0,249.0,245.0,238.0,253.0,246.0,234.0,241.0,245.0,241.0,250.0
02/03,243.0,240.0,240.0,240.0,240.0,245.0,242.0,252.0,239.0,252.0,245.0,232.0,242.0,253.0,245.0,237.0
02/04,236.0,247.0,237.0,232.0,237.0,228.0,245.0,247.0,245.0,249.0,238.0,245.0,247.0,245.0,249.0,249.0
02/05,251.0,242.0,240.0,237.0,238.0,245.0,244.0,251.0,248.0,247.0,244.0,235.0,243.0,250.0,245.0,236.0
02/06,256.0,243.0,236.0,238.0,236.0,223.0,245.0,247.0,261.0,250.0,257.0,245.0,245.0,247.0,248.0,250.0
02/07,253.0,240.0,247.0,245.0,226.0,221.0,252.0,247.0,249.0,245.0,254.0,230.0,248.0,245.0,242.0,252.0
02/08,260.0,245.0,243.0,249.0,235.0,224.0,245.0,242.0,238.0,251.0,245.0,233.0,245.0,247.0,247.0,250.0
02/09,250.0,240.0,242.0,245.0,245.0,221.0,249.0,245.0,235.0,248.0,259.0,243.0,248.0,245.0,245.0,249.0
02/10,251.0,247.0,246.0,252.0,240.0,245.0,247.0,246.0,239.0,247.0,245.0,244.0,249.0,245.0,245.0,252.0
02/11,246.0,243.0,249.0,251.0,239.0,224.0,257.0,245.0,245.0,248.0,255.0,245.0,246.0,245.0,240.0,247.0
02/12,250.0,238.0,246.0,257.0,246.0,245.0,248.0,244.0,240.0,248.0,247.0,236.0,253.0,243.0,245.0,247.0
