,342.5nm,388nm,442nm,463nm,483.5nm
150101,3.743,3.212,2.658,2.468,2.296
150102,2.936,2.657,2.343,2.23,2.125
150103,2.936,2.657,2.343,2.23,2.125
150104,2.936,2.657,2.343,2.23,2.125
150105,2.936,2.657,2.343,2.23,2.125
150106,2.936,2.657,2.343,2.23,2.125
150107,2.936,2.657,2.343,2.23,2.125
150108,2.936,2.657,2.343,2.23,2.125
150109,2.936,2.657,2.343,2.23,2.125
150110,2.936,2.657,2.343,2.23,2.125
150111,2.936,2.657,2.343,2.23,2.125
150112,2.936,2.657,2.343,2.23,2.125
150113,2.936,2.657,2.343,2.23,2.125
150114,2.936,2.657,2.343,2.23,2.125
150115,2.936,2.657,2.343,2.23,2.125
150116,2.936,2.657,2.343,2.23,2.125
150117,2.936,2.657,2.343,2.23,2.125
150118,2.936,2.657,2.343,2.23,2.125
150119,2.936,2.657,2.343,2.23,2.125
150120,2.936,2.657,2.343,2.23,2.125
150121,2.936,2.657,2.343,2.23,2.125
150122,2.936,2.657,2.343,2.23,2.125
150123,2.936,2.657,2.343,2.23,2.125
150124,2.936,2.657,2.343,2.23,2.125
150125,2.936,2.657,2.343,2.23,2.125
150126,6.935,5.951,4.925,4.573,4.253
150127,2.936,2.657,2.343,2.23,2.125
150128,2.936,2.657,2.343,2.23,2.125
150129,2.936,2.657,2.343,2.23,2.125
150130,2.936,2.657,2.343,2.23,2.125
150131,2.936,2.657,2.343,2.23,2.125
150201,3.189,2.829,2.442,2.306,2.181
150202,3.189,2.829,2.442,2.306,2.181
150203,3.189,2.829,2.442,2.306,2.181
150204,1.666,1.38,1.102,1.011,0.93
150205,3.189,2.829,2.442,2.306,2.181
150206,3.189,2.829,2.442,2.306,2.181
150207,3.189,2.829,2.442,2.306,2.181
150208,3.189,2.829,2.442,2.306,2.181
150209,2.081,2.01,1.943,1.921,1.901
150210,3.189,2.829,2.442,2.306,2.181
150211,3.189,2.829,2.442,2.306,2.181
150212,3.189,2.829,2.442,2.306,2.181
150213,3.189,2.829,2.442,2.306,2.181
150214,3.189,2.829,2.442,2.306,2.181
150215,3.189,2.829,2.442,2.306,2.181
150216,3.189,2.829,2.442,2.306,2.181
150217,3.189,2.829,2.442,2.306,2.181
150218,3.189,2.829,2.442,2.306,2.181
150219,3.189,2.829,2.442,2.306,2.181
150220,3.189,2.829,2.442,2.306,2.181
150221,3.189,2.829,2.442,2.306,2.181
150222,3.189,2.829,2.442,2.306,2.181
