,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
01/01,272.311,257.122,271.411,250.511,248.578,253.0,0.0,253.944,232.6,259.589,0.0,0.0,0.0,282.722,226.5,0.0,
01/02,270.278,244.211,270.0,250.967,255.789,252.578,254.544,264.011,245.056,0.0,264.522,256.767,252.389,0.0,0.0,254.056,
01/03,256.978,224.611,268.789,253.1,254.878,0.0,0.0,264.078,242.689,306.0,0.0,0.0,0.0,302.233,212.689,0.0,
01/04,252.656,225.322,267.678,245.4,233.267,258.911,231.267,269.971,244.467,273.175,260.7,0.0,244.767,0.0,236.244,260.733,
01/05,260.767,233.611,249.533,262.267,234.2,0.0,0.0,279.744,250.989,280.511,0.0,270.489,248.756,303.578,0.0,0.0,
01/06,248.1,242.244,259.411,261.744,241.144,259.856,0.0,0.0,0.0,279.378,258.667,0.0,0.0,0.0,240.256,256.033,
01/07,264.144,0.0,245.956,257.4,267.978,0.0,244.1,259.633,252.389,267.167,0.0,240.778,269.744,267.933,0.0,267.8,
01/08,262.844,242.978,242.6,260.922,256.478,279.7,0.0,263.556,0.0,243.133,293.011,0.0,0.0,0.0,215.189,0.0,
01/09,256.267,237.356,247.6,247.3,256.733,270.767,272.289,253.45,275.7,0.0,292.467,237.833,259.6,0.0,0.0,250.089,
01/10,252.3,238.433,252.422,247.789,246.556,286.467,0.0,255.6,0.0,259.511,0.0,0.0,0.0,249.556,219.133,0.0,
01/11,256.278,234.067,260.278,245.422,0.0,294.311,269.7,251.7,234.867,0.0,274.0,259.233,259.633,0.0,238.911,268.622,
01/12,256.556,229.067,247.033,257.633,263.878,0.0,260.9,248.333,232.356,279.7,0.0,263.678,0.0,259.856,0.0,0.0,
01/13,275.478,235.267,248.733,0.0,272.444,291.411,281.778,0.0,0.0,282.256,261.156,0.0,239.467,0.0,233.833,252.267,
01/14,255.167,226.344,243.389,252.444,288.867,0.0,279.378,244.3,224.667,268.833,0.0,268.4,237.844,306.767,0.0,243.811,
01/15,258.222,237.278,236.422,251.556,289.889,292.778,0.0,236.533,0.0,279.444,250.1,0.0,0.0,0.0,214.1,0.0,
01/16,254.8,232.156,237.244,255.767,261.2,0.0,300.533,228.344,240.767,0.0,0.0,285.522,233.278,300.911,0.0,242.567,
01/17,250.278,260.033,247.144,255.822,256.833,244.267,0.0,229.856,254.067,284.633,0.0,0.0,0.0,303.911,223.833,0.0,
01/18,229.733,248.889,251.656,256.067,244.467,0.0,270.211,237.856,249.067,0.0,271.011,278.0,235.311,0.0,0.0,270.211,
01/19,229.811,235.422,247.667,254.556,268.822,0.0,0.0,237.167,239.589,265.8,0.0,281.178,0.0,313.789,242.578,0.0,
01/20,0.0,236.278,241.633,245.244,261.687,246.889,271.1,246.0,242.367,253.05,256.489,0.0,257.833,0.0,236.511,282.2,
01/21,260.478,230.156,246.233,237.033,268.133,0.0,289.733,237.022,239.156,273.056,0.0,273.033,0.0,275.322,0.0,0.0,
01/22,270.978,228.589,242.322,233.633,261.722,216.811,0.0,0.0,0.0,265.533,269.633,0.0,0.0,0.0,245.889,264.589,
