,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
01/23,269.567,221.5,240.022,242.067,263.0,0.0,262.222,249.367,258.578,267.756,0.0,270.922,239.222,263.0,0.0,281.3,
01/24,279.178,227.411,244.122,231.056,259.244,250.567,0.0,0.0,0.0,263.522,266.6,0.0,0.0,266.944,258.456,0.0,
01/25,258.367,225.244,248.722,228.9,257.967,235.244,261.144,262.733,235.067,0.0,269.133,260.1,245.1,0.0,0.0,266.544,
01/26,272.878,238.089,0.0,229.711,243.211,240.256,0.0,264.589,248.833,266.356,0.0,0.0,0.0,259.122,264.033,0.0,
01/27,273.933,236.756,258.611,228.133,0.0,241.589,238.333,239.489,252.2,0.0,267.267,274.1,254.033,0.0,0.0,265.122,
01/28,266.889,227.967,244.756,240.867,237.678,0.0,230.85,243.6,244.367,274.4,0.0,278.367,0.0,262.767,0.0,0.0,
01/29,265.322,250.756,247.833,242.1,0.0,265.567,244.378,0.0,0.0,0.0,262.889,0.0,240.311,0.0,258.578,269.533,
01/30,267.4,248.722,252.289,252.167,231.467,0.0,231.767,262.133,226.144,262.5,0.0,261.767,247.756,276.533,0.0,271.844,
01/31,259.489,253.689,240.944,245.778,0.0,261.211,0.0,249.475,0.0,260.644,259.9,0.0,0.0,0.0,271.467,0.0,
02/01,256.678,260.533,250.111,248.322,249.8,0.0,261.433,247.667,236.267,0.0,259.911,252.978,255.189,264.667,0.0,284.789,
02/02,262.611,265.833,257.889,240.644,248.178,262.9,0.0,247.467,233.629,258.756,0.0,0.0,0.0,253.811,262.9,0.0,
02/03,258.878,291.8,268.978,230.256,254.044,254.378,233.322,253.511,252.433,0.0,268.389,254.2,231.611,0.0,0.0,246.789,
02/04,251.233,249.422,291.678,236.0,254.589,0.0,0.0,261.922,259.767,257.3,0.0,0.0,0.0,289.533,251.989,0.0,
02/05,252.433,252.3,267.211,235.111,0.0,245.0,253.6,262.029,264.678,256.922,281.878,0.0,234.1,0.0,253.567,262.067,
02/06,247.889,238.711,253.144,245.033,259.967,0.0,0.0,268.733,258.767,273.167,0.0,261.5,239.511,281.722,0.0,0.0,
02/07,256.778,241.856,241.067,240.167,254.122,242.289,0.0,0.0,0.0,267.278,301.867,0.0,0.0,0.0,250.422,274.356,
02/08,258.144,0.0,250.8,246.133,267.622,0.0,263.967,269.367,248.033,271.922,0.0,248.289,245.822,289.267,0.0,276.167,
02/09,250.122,251.378,255.433,253.5,245.056,248.6,0.0,264.922,0.0,282.233,279.533,0.0,0.0,0.0,245.167,0.0,
02/10,241.067,242.3,282.144,262.956,252.222,237.822,266.9,281.0,234.6,0.0,282.378,274.933,243.333,0.0,0.0,281.756,
02/11,260.4,242.922,289.2,267.856,248.967,273.556,0.0,259.456,0.0,272.844,0.0,0.0,0.0,297.633,237.267,0.0,
02/12,264.567,247.878,284.322,274.522,0.0,257.489,272.0,268.978,0.0,0.0,301.744,267.944,247.733,0.0,252.078,265.522,
02/13,266.122,242.478,271.556,284.544,247.356,0.0,262.15,264.433,232.589,291.367,0.0,252.989,0.0,237.811,0.0,0.0,
02/14,260.7,242.033,271.767,0.0,243.6,290.022,273.144,0.0,0.0,294.767,286.822,0.0,253.022,0.0,233.156,257.067,
02/15,258.911,240.644,263.622,249.833,238.533,0.0,272.5,259.033,252.778,274.85,0.0,288.611,259.144,243.133,0.0,261.289,
02/16,266.4,237.5,263.178,245.267,239.767,282.789,0.0,246.188,0.0,276.8,287.5,0.0,0.0,0.0,234.533,0.0,
02/17,270.089,230.656,265.556,256.722,0.0,0.0,271.767,261.333,265.833,0.0,0.0,262.822,279.867,251.011,0.0,268.511,
02/18,266.489,228.867,267.056,253.5,235.511,281.1,0.0,255.444,247.886,259.678,0.0,0.0,0.0,264.844,236.7,0.0,
02/19,259.733,222.389,262.511,247.478,233.4,0.0,243.211,254.178,253.789,0.0,290.767,267.0,267.667,0.0,0.0,250.7,
02/20,260.389,229.833,254.044,258.7,249.3,0.0,0.0,250.2,251.956,272.267,0.0,269.267,0.0,265.389,246.233,0.0,
02/21,0.0,234.689,258.644,252.133,0.0,258.756,245.867,252.267,259.7,283.725,281.867,0.0,248.767,0.0,230.856,254.867,
02/22,281.922,232.233,251.822,251.789,275.1,0.0,253.811,251.311,260.056,271.9,0.0,268.456,0.0,256.811,0.0,0.0,
02/23,279.622,236.967,254.778,242.267,265.978,251.4,0.0,0.0,0.0,268.633,280.733,0.0,0.0,0.0,226.444,269.7,
02/24,287.167,227.156,273.133,246.657,271.811,0.0,248.844,281.167,258.733,269.044,0.0,253.822,253.344,258.267,0.0,271.2,
02/25,275.567,245.056,258.767,260.267,271.567,266.267,0.0,0.0,0.0,270.911,281.067,0.0,0.0,259.711,239.978,0.0,
02/26,270.522,254.6,265.9,270.078,272.156,273.378,260.978,272.533,258.033,0.0,297.322,255.267,247.2,0.0,0.0,270.089,
02/27,283.544,257.133,0.0,281.867,264.033,262.678,0.0,260.033,262.2,270.378,0.0,0.0,0.0,256.456,238.9,0.0,
02/28,277.722,0.0,270.922,264.522,0.0,263.811,248.7,248.378,0.0,0.0,294.467,276.478,246.067,0.0,0.0,265.633,
03/01,265.322,0.0,271.722,265.667,272.944,0.0,238.65,256.344,277.333,281.533,0.0,270.244,0.0,257.167,0.0,0.0,
03/02,255.2,0.0,270.822,260.733,0.0,283.089,259.611,0.0,0.0,0.0,264.356,0.0,243.722,0.0,245.2,268.733,
03/03,281.133,246.589,272.122,270.733,265.4,0.0,258.867,261.833,268.556,277.9,0.0,277.067,246.156,259.133,0.0,273.933,
03/04,274.1,250.167,277.733,277.989,0.0,262.833,0.0,257.822,0.0,288.8,271.633,0.0,0.0,0.0,236.567,0.0,
03/05,264.689,245.811,277.944,273.233,272.2,0.0,277.022,281.533,251.467,280.256,269.8,259.144,250.522,246.967,0.0,282.3,
03/06,275.589,256.522,269.756,276.411,274.811,262.567,286.429,291.456,250.786,271.678,0.0,0.0,0.0,248.722,237.933,0.0,
03/07,265.0,250.378,288.244,265.433,261.156,260.622,276.211,296.256,252.489,0.0,271.344,265.567,249.156,0.0,0.0,267.522,
03/08,278.8,247.811,291.489,287.678,257.644,260.05,0.0,292.811,249.822,275.9,0.0,0.0,0.0,282.244,233.833,0.0,
03/09,285.389,261.067,288.456,277.733,0.0,267.0,287.7,282.2,253.078,260.111,288.933,0.0,250.9,0.0,237.278,258.467,
03/10,295.767,253.7,288.911,286.122,251.3,252.133,0.0,280.522,261.078,276.289,0.0,294.178,263.811,275.9,0.0,0.0,
03/11,279.378,252.044,303.989,270.5,249.422,282.611,298.35,0.0,267.844,268.656,309.1,0.0,0.0,0.0,239.356,259.211,
03/12,282.067,242.733,301.522,276.922,261.478,0.0,282.433,295.167,271.889,271.256,0.0,324.011,0.0,262.267,0.0,257.989,
03/13,281.811,262.667,295.967,272.7,262.989,293.4,261.3,294.167,0.0,280.733,294.667,0.0,0.0,0.0,256.544,0.0,
03/14,274.167,246.078,289.067,280.422,262.611,278.422,264.444,287.3,279.7,276.767,283.611,270.2,0.0,0.0,0.0,260.144,
03/15,281.811,260.311,280.933,273.656,264.467,309.989,0.0,278.567,0.0,276.433,0.0,0.0,0.0,251.578,256.733,0.0,
03/16,287.122,257.189,290.056,259.356,273.833,292.378,286.9,272.622,266.7,0.0,278.533,263.289,0.0,0.0,256.967,270.0,
03/17,303.611,260.522,279.267,259.678,267.844,0.0,277.822,281.244,261.9,289.333,0.0,269.033,0.0,256.1,0.0,0.0,
03/18,290.7,259.322,291.589,0.0,268.95,289.944,268.789,0.0,256.756,276.622,284.611,0.0,286.344,0.0,260.533,274.533,
03/19,317.722,254.744,296.056,261.8,276.4,288.733,267.467,280.667,253.511,270.7,0.0,279.033,276.711,261.3,0.0,276.2,
03/20,277.967,275.578,292.978,272.211,277.4,291.211,0.0,282.622,0.0,267.989,269.667,284.2,280.367,0.0,255.856,272.4,
03/21,274.389,265.822,284.311,259.067,268.7,0.0,263.544,309.233,271.933,261.467,0.0,289.933,281.689,271.544,0.0,271.144,
03/22,303.889,275.867,272.422,270.267,276.967,289.933,257.7,302.122,258.087,258.589,282.4,0.0,278.0,267.411,275.2,253.011,
03/23,288.611,273.289,287.078,255.311,275.043,0.0,263.756,295.233,266.711,0.0,289.411,284.333,268.478,271.333,271.389,249.167,
03/24,275.689,271.922,286.222,267.322,274.278,282.833,0.0,300.367,269.911,269.333,277.844,284.256,0.0,269.922,260.489,0.0,
03/25,0.0,319.978,276.533,267.267,0.0,285.589,257.767,290.733,272.1,258.344,262.133,295.167,274.567,285.567,257.844,258.167,
03/26,287.711,293.267,292.178,262.167,280.8,272.067,258.811,289.256,267.789,262.811,0.0,290.078,0.0,277.844,263.433,250.567,
03/27,289.956,288.367,280.056,259.956,279.978,285.478,274.333,0.0,269.871,278.7,318.1,277.444,283.3,0.0,256.8,266.156,
03/28,277.533,279.744,289.489,252.6,304.644,0.0,275.756,274.0,264.667,279.811,301.178,281.489,274.222,277.033,290.467,265.478,
03/29,267.8,293.278,280.056,257.356,296.833,309.567,269.933,0.0,0.0,273.0,287.6,0.0,263.533,284.944,266.633,258.189,
03/30,281.856,284.733,286.033,250.556,281.011,307.178,261.133,295.15,257.067,266.467,278.733,256.9,267.6,299.8,0.0,268.7,
03/31,281.311,273.789,0.0,257.633,276.444,302.711,0.0,293.444,258.067,268.422,280.311,250.422,0.0,281.978,276.7,327.7,
04/01,282.389,275.267,308.944,248.522,259.65,268.467,309.767,309.467,256.8,0.0,288.067,252.811,280.667,263.389,0.0,268.356,
04/02,289.9,265.278,286.356,252.3,279.0,0.0,288.567,308.6,262.3,269.1,293.0,262.222,286.522,279.233,277.95,0.0,
04/03,293.289,281.833,295.078,248.3,265.229,290.167,284.844,0.0,256.156,0.0,287.056,271.811,286.378,0.0,290.644,263.8,
04/04,274.267,269.4,302.789,260.52,263.667,285.233,271.867,298.467,265.356,266.867,0.0,271.289,273.244,277.367,260.033,272.089,
04/05,290.256,274.4,297.478,263.711,0.0,279.789,0.0,271.45,0.0,271.067,296.033,268.667,280.522,282.156,255.511,273.333,
04/06,282.856,270.467,294.9,258.0,256.4,0.0,274.622,278.778,269.733,287.133,288.4,261.111,272.167,293.333,0.0,273.056,
04/07,284.922,278.833,312.367,270.378,271.689,281.933,270.433,273.344,261.733,294.467,273.0,0.0,285.033,291.733,269.133,259.167,
04/08,0.0,268.756,313.5,254.689,275.9,291.067,265.322,274.533,272.489,0.0,281.778,255.967,273.644,288.4,280.625,265.056,
04/09,283.789,260.733,308.233,265.1,268.644,277.733,0.0,277.0,263.556,283.033,283.422,0.0,0.0,294.544,270.167,0.0,
04/10,277.022,271.456,287.5,258.444,0.0,286.644,245.0,282.557,261.189,280.767,283.989,279.067,272.2,324.167,259.278,268.733,
04/11,293.844,257.189,291.478,268.933,267.4,281.4,0.0,281.022,271.122,275.867,0.0,264.211,277.656,300.867,262.889,256.278,
04/12,290.111,266.711,295.833,265.611,281.589,279.267,265.0,0.0,269.129,272.622,283.8,265.767,280.2,0.0,270.478,276.733,
04/13,287.2,263.522,292.856,255.333,302.656,0.0,265.756,286.4,266.256,280.956,301.122,261.978,280.3,288.9,307.5,271.767,
04/14,291.722,271.922,275.722,262.478,278.489,294.933,274.867,303.578,0.0,293.833,295.7,0.0,271.456,0.0,278.056,279.711,
04/15,292.556,263.022,288.189,258.289,288.689,304.6,271.0,298.05,262.933,305.6,284.789,282.0,268.078,295.067,0.0,282.289,
04/16,293.056,263.322,278.944,276.178,296.989,302.578,0.0,300.189,0.0,300.633,278.833,270.122,0.0,286.4,257.733,317.133,
04/17,279.578,269.222,284.889,261.633,282.7,313.067,277.967,289.367,258.45,0.0,283.256,293.922,297.267,265.811,254.922,262.989,
04/18,271.378,270.156,273.067,275.056,273.433,0.0,267.456,296.567,272.344,272.1,307.3,292.444,309.433,285.2,275.2,0.0,
04/19,264.278,281.822,262.467,0.0,271.443,297.411,280.8,0.0,278.778,265.411,290.656,288.556,297.144,0.0,283.622,273.2,
04/20,268.178,273.744,275.233,276.55,290.667,303.833,274.533,301.333,271.856,272.433,0.0,286.722,297.744,281.2,273.0,287.333,
04/21,268.344,271.778,284.411,275.189,305.511,292.789,0.0,299.125,0.0,273.667,284.733,296.567,296.056,271.956,276.933,281.433,
04/22,272.356,269.022,288.344,268.056,294.967,0.0,288.178,298.789,269.267,268.789,0.0,303.222,294.122,258.9,0.0,286.989,
04/23,266.756,254.433,273.433,275.389,284.222,301.1,275.8,301.8,253.7,281.633,275.933,0.0,296.167,268.011,264.267,267.944,
04/24,273.1,272.444,295.178,261.878,296.6,0.0,266.578,305.367,268.511,0.0,283.7,292.767,278.022,276.011,270.978,293.567,
04/25,291.333,260.967,299.133,268.133,267.767,312.867,0.0,315.078,264.622,296.2,279.022,298.911,0.0,289.278,278.989,0.0,
04/26,0.0,268.633,282.756,267.2,0.0,290.167,272.533,303.3,266.711,290.789,282.089,292.233,288.7,323.233,276.278,295.1,
04/27,271.344,261.211,278.244,277.044,287.0,283.933,270.578,289.967,260.767,303.267,0.0,294.422,0.0,285.144,271.844,281.867,
04/28,271.556,281.733,289.844,267.022,260.633,314.6,0.0,0.0,265.229,292.222,311.8,290.533,294.233,0.0,276.389,271.8,
04/29,281.689,273.878,302.356,295.233,270.3,0.0,270.778,276.833,267.3,290.278,306.25,282.3,290.578,278.433,285.133,280.8,
04/30,284.756,298.4,292.667,310.822,273.867,294.533,271.3,0.0,0.0,290.611,293.767,0.0,267.767,296.122,282.7,313.567,
05/01,288.833,295.667,291.144,278.078,0.0,279.6,269.511,289.367,284.2,295.533,313.044,283.2,281.267,291.267,0.0,302.522,
05/02,299.144,288.333,0.0,282.744,278.233,289.0,0.0,284.056,280.744,302.133,312.956,277.189,0.0,276.656,287.433,360.8,
05/03,298.9,298.878,310.033,271.522,287.711,281.744,277.2,270.256,279.467,0.0,295.222,272.878,294.833,269.644,0.0,296.944,
05/04,310.889,274.289,297.9,271.467,283.533,0.0,265.575,282.111,281.411,292.467,264.757,262.9,312.033,272.433,284.7,0.0,
05/05,284.289,274.533,300.611,268.867,279.371,286.067,269.578,0.0,281.6,0.0,295.444,273.178,309.622,0.0,283.433,293.067,
05/06,291.444,280.522,317.089,0.0,277.167,285.933,275.211,289.3,287.5,280.2,0.0,279.756,291.244,294.633,271.011,298.689,
05/07,305.433,273.222,297.767,274.356,0.0,290.189,0.0,292.178,0.0,282.889,292.933,287.7,283.411,285.433,278.933,296.033,
05/08,304.989,266.767,293.5,273.489,280.533,0.0,277.378,283.556,283.867,278.089,269.444,283.2,291.333,297.956,0.0,302.078,
05/09,295.011,267.389,299.133,278.078,289.1,291.0,274.6,279.811,265.433,278.056,282.9,0.0,285.4,321.311,288.267,272.789,
05/10,279.378,267.644,300.411,265.733,270.6,291.811,281.767,298.522,256.233,0.0,293.389,273.233,281.478,315.267,259.667,308.733,
05/11,302.144,268.633,299.967,273.967,277.444,283.167,0.0,294.411,264.356,295.6,283.067,0.0,0.0,307.244,267.578,0.0,
05/12,306.367,295.444,299.311,272.767,0.0,285.367,281.5,300.967,283.911,282.711,291.422,282.467,283.033,322.567,262.911,272.8,
05/13,295.344,285.833,306.8,252.2,281.5,308.0,0.0,301.122,274.567,288.378,0.0,293.344,294.067,286.989,282.644,285.667,
05/14,289.7,295.356,302.056,266.2,283.333,304.633,0.0,0.0,276.767,294.744,290.867,281.933,285.0,0.0,278.067,284.5,
05/15,315.944,287.511,306.989,266.456,282.589,0.0,278.778,284.1,279.411,305.522,300.525,288.5,281.356,273.533,302.567,276.311,
05/16,334.8,292.533,279.211,272.067,275.322,303.2,277.067,287.744,0.0,323.011,316.622,0.0,284.567,0.0,285.533,280.856,
05/17,305.489,317.689,288.544,275.343,0.0,294.611,270.411,295.7,267.767,317.014,295.756,302.5,270.033,279.633,0.0,301.233,
05/18,325.156,319.733,290.456,281.122,280.667,296.256,0.0,299.844,0.0,311.833,0.0,294.433,0.0,292.011,274.367,317.6,
05/19,287.122,318.6,303.078,278.833,0.0,296.389,278.7,290.011,296.0,0.0,299.233,277.611,287.1,277.489,272.967,285.889,
05/20,288.444,306.433,296.478,284.6,295.2,0.0,275.922,281.9,285.978,288.267,270.086,289.2,281.2,295.033,285.667,0.0,
05/21,284.722,308.267,283.344,0.0,279.225,306.167,279.189,0.0,274.289,292.244,291.056,298.056,276.233,0.0,289.056,289.733,
05/22,289.111,280.3,297.744,311.7,287.167,297.933,282.211,297.3,277.467,276.4,0.0,286.233,275.822,301.667,285.522,279.989,
05/23,293.5,288.756,297.033,300.733,290.433,294.033,0.0,285.811,0.0,285.289,296.3,283.733,287.911,288.322,279.6,284.133,
05/24,290.478,291.622,296.967,275.233,296.333,0.0,286.267,291.878,281.367,276.433,0.0,276.233,307.933,287.956,0.0,294.3,
05/25,302.189,281.344,294.011,275.311,291.911,284.167,280.233,290.711,270.667,274.344,313.1,0.0,291.767,282.011,273.267,279.422,
05/26,284.533,292.0,300.633,261.589,289.033,0.0,292.211,264.633,288.356,0.0,305.4,266.133,284.967,288.833,259.267,293.333,
05/27,287.678,277.822,303.778,273.033,285.967,278.0,0.0,280.922,283.644,296.467,297.644,274.856,0.0,279.511,264.0,0.0,
05/28,0.0,295.322,306.289,271.2,0.0,288.411,280.933,277.4,285.7,284.525,306.333,279.333,275.067,295.167,256.267,308.133,
05/29,298.444,285.067,287.278,275.344,280.2,289.467,282.611,284.544,289.867,279.656,0.0,290.256,0.0,279.433,267.722,309.844,
05/30,301.633,293.756,299.578,273.5,289.844,308.822,0.0,0.0,293.767,291.289,316.033,0.0,267.1,0.0,261.111,310.989,
05/31,278.122,292.944,309.278,278.1,282.311,0.0,281.978,291.133,293.889,291.522,304.033,0.0,285.989,277.1,287.017,327.544,
06/01,286.0,287.989,274.056,286.678,291.311,301.5,0.0,0.0,0.0,287.744,299.189,0.0,261.567,277.111,271.467,300.678,
06/02,263.522,293.478,283.633,284.486,0.0,274.256,295.133,295.6,281.467,283.714,305.789,0.0,280.811,291.667,0.0,290.822,
06/03,283.056,286.989,0.0,280.622,294.111,327.467,0.0,301.878,286.044,287.467,308.478,0.0,0.0,289.289,264.933,324.867,
06/04,273.656,296.344,284.967,270.9,271.689,310.189,288.933,284.144,282.0,0.0,293.778,0.0,289.967,281.411,0.0,281.533,
06/05,280.2,275.922,303.022,274.567,276.6,0.0,272.3,300.6,279.633,275.567,292.014,0.0,279.356,291.533,281.567,0.0,
06/06,282.056,287.533,289.844,275.722,269.525,315.122,282.633,0.0,271.222,0.0,278.811,0.0,271.789,0.0,277.411,271.733,
06/07,275.933,283.922,286.044,278.6,265.433,304.7,283.467,295.5,284.578,264.75,0.0,0.0,278.211,289.933,272.711,276.078,
06/08,279.1,281.167,277.633,271.778,0.0,289.711,0.0,281.889,0.0,270.5,279.8,0.0,279.156,275.878,275.067,271.233,
06/09,275.733,284.867,286.578,270.311,261.2,0.0,274.511,283.122,308.967,260.567,276.6,0.0,285.7,278.1,0.0,283.5,
06/10,271.767,283.411,279.656,278.556,272.678,269.1,271.543,290.222,309.338,265.289,282.667,0.0,310.467,279.267,273.533,259.622,
06/11,268.056,287.289,287.767,272.267,268.933,278.056,276.867,279.4,306.367,0.0,285.389,0.0,277.522,274.667,282.2,278.867,
06/12,281.144,281.111,284.922,285.6,276.533,281.6,0.0,287.689,276.1,279.9,274.244,0.0,0.0,284.867,301.6,0.0,
06/13,267.956,287.567,286.478,276.656,0.0,290.067,275.667,282.133,277.978,275.989,279.433,0.0,269.033,310.4,286.522,280.567,
06/14,264.478,280.033,292.789,270.533,277.433,285.767,0.0,277.111,291.911,263.767,0.0,0.0,277.189,282.222,284.011,275.589,
06/15,274.456,292.4,279.367,285.911,266.756,294.267,0.0,0.0,284.033,275.033,284.833,280.0,273.733,0.0,289.722,275.322,
06/16,276.756,0.0,290.989,276.611,272.656,0.0,273.944,285.567,291.567,266.522,279.556,269.367,281.111,273.5,301.2,278.344,
06/17,286.189,283.867,275.133,288.867,268.489,295.533,259.533,282.744,0.0,279.178,272.433,0.0,287.7,0.0,291.978,275.9,
06/18,278.322,288.478,273.678,289.933,0.0,280.978,268.044,286.667,278.267,271.533,282.3,279.267,286.4,291.767,0.0,280.878,
06/19,282.467,289.0,271.211,272.2,269.889,289.9,0.0,308.633,0.0,279.5,282.222,290.389,0.0,294.911,274.7,325.333,
06/20,281.622,290.833,270.6,280.178,268.611,292.344,280.5,300.667,284.467,0.0,292.7,288.967,279.167,282.167,279.689,278.122,
06/21,287.922,282.322,286.7,271.8,291.956,0.0,271.233,297.933,275.411,274.2,303.967,277.022,277.744,272.6,272.867,0.0,
06/22,280.267,296.478,285.089,0.0,295.043,289.578,290.722,0.0,273.944,273.056,289.044,281.3,263.122,0.0,274.044,280.133,
06/23,279.211,288.711,293.211,286.833,294.233,287.5,273.389,284.667,286.533,276.0,0.0,286.456,283.489,282.667,264.267,297.689,
06/24,296.044,286.5,281.367,281.367,272.189,295.633,0.0,286.825,0.0,283.656,291.7,309.367,285.7,290.278,282.567,295.9,
06/25,294.133,289.2,292.578,281.578,277.867,0.0,292.433,280.567,285.367,277.111,0.0,300.022,289.022,294.544,0.0,291.233,
06/26,290.522,287.044,279.7,282.233,289.322,294.267,277.457,285.089,287.433,276.656,293.667,0.0,297.033,286.433,276.867,291.767,
06/27,272.144,299.656,283.533,276.089,285.667,0.0,275.944,295.467,295.133,0.0,298.322,273.733,291.267,287.378,270.356,277.833,
06/28,277.756,292.511,286.078,286.6,296.933,270.833,0.0,300.156,296.6,289.033,290.956,286.922,0.0,296.789,288.878,0.0,
06/29,0.0,301.122,288.9,280.589,0.0,292.367,272.833,289.967,294.556,286.378,295.611,279.667,282.7,318.433,294.211,274.0,
06/30,257.022,281.867,285.833,272.956,283.7,272.4,265.0,292.311,285.278,275.7,0.0,289.056,0.0,293.567,291.089,268.256,
07/01,269.567,284.411,273.333,287.4,280.0,266.333,0.0,0.0,286.967,285.478,284.9,284.689,274.1,0.0,303.356,279.5,
07/02,277.056,270.622,284.389,281.833,277.489,0.0,276.278,288.467,296.133,283.811,291.978,287.433,282.478,295.733,307.533,265.833,
07/03,290.589,286.133,279.522,287.111,280.189,273.233,0.0,0.0,0.0,292.1,296.644,0.0,283.578,302.1,297.944,271.7,
07/04,281.867,283.467,290.078,285.5,0.0,277.0,295.133,284.0,293.1,293.567,293.856,284.233,272.567,298.4,0.0,282.444,
07/05,282.422,279.911,0.0,280.944,289.133,286.411,0.0,294.167,307.311,290.156,293.422,296.244,0.0,299.933,289.033,330.267,
07/06,279.133,286.956,279.133,276.067,275.711,281.578,301.8,288.967,310.5,0.0,299.733,283.856,284.833,299.211,0.0,284.833,
07/07,284.011,288.122,285.3,271.1,274.611,0.0,284.644,297.344,283.267,286.667,288.4,284.567,285.389,296.533,284.9,0.0,
07/08,285.444,294.456,280.544,272.456,277.343,275.578,267.789,0.0,273.122,0.0,288.7,271.889,279.622,0.0,302.356,281.267,
07/09,277.756,290.244,287.022,263.15,276.4,268.733,297.567,302.133,281.956,300.3,0.0,292.267,288.933,290.1,289.978,282.789,
07/10,290.733,280.844,279.589,288.0,0.0,287.978,0.0,305.567,0.0,291.778,292.333,287.0,288.911,289.289,285.667,278.8,
07/11,282.833,279.422,290.011,292.378,275.15,0.0,287.811,285.689,298.2,280.689,300.556,284.033,281.033,288.089,0.0,292.822,
07/12,289.356,282.867,284.133,296.367,291.944,282.767,0.0,294.656,292.167,291.689,298.533,0.0,278.1,295.567,286.733,267.811,
07/13,276.7,292.711,278.533,287.222,292.7,282.233,272.544,281.578,285.056,0.0,297.478,281.6,284.689,297.2,290.967,274.967,
07/14,281.267,294.956,284.578,286.367,292.478,288.233,0.0,303.356,298.656,293.167,286.822,0.0,0.0,299.411,277.944,0.0,
07/15,275.3,297.022,310.3,284.633,0.0,285.378,286.667,293.033,298.778,297.967,280.556,280.4,286.567,306.733,299.422,281.3,
07/16,271.556,283.822,287.289,286.378,290.4,296.4,0.0,294.922,302.644,290.278,0.0,291.133,279.511,304.144,281.3,275.244,
07/17,283.622,302.5,283.611,290.811,290.444,297.233,0.0,0.0,287.567,282.978,296.167,280.044,289.7,0.0,294.789,274.478,
07/18,290.789,0.0,293.344,286.722,281.522,0.0,290.067,288.5,290.411,279.822,286.267,281.233,292.756,290.967,326.3,283.944,
07/19,286.022,287.622,272.878,290.4,288.189,287.0,0.0,292.7,0.0,290.956,289.733,0.0,281.389,0.0,299.622,278.256,
07/20,267.433,301.0,275.011,287.486,0.0,282.189,290.433,288.633,280.2,291.267,296.433,287.167,289.233,291.4,0.0,287.878,
