,342.5nm,388nm,442nm,463nm,483.5nm
160615,4.617,4.026,3.404,3.187,2.99
160616,,,,,
160617,,,,,
160618,,,,,
160619,,,,,
160620,2.008,1.745,1.465,1.367,1.279
160621,,,,,
160622,1.259,1.1,0.93,0.87,0.816
160623,0.24,0.224,0.203,0.195,0.186
160624,1.628,1.458,1.265,1.195,1.13
160625,1.237,1.158,1.049,1.006,0.576
160626,,,,,
160627,0.832,0.776,0.7,0.669,0.639
160628,,,,,
160629,,,,,
160630,0.585,0.548,0.497,0.476,0.456
160701,2.154,1.948,1.709,1.62,1.537
160702,1.538,1.438,1.299,1.244,1.19
160703,0.134,0.126,0.114,0.109,0.105
160704,0.065,0.061,0.055,0.053,0.051
160705,,,,,
160706,0.349,0.327,0.296,0.283,0.271
160707,,,,,
160708,1.136,1.051,0.941,0.899,0.858
160709,2.29,2.14,1.934,1.852,1.771
160710,1.444,1.352,1.225,1.175,1.125
160711,0.288,0.27,0.244,0.234,0.276
160712,1.747,1.636,1.483,1.422,1.362
160713,1.77,1.567,1.341,1.261,1.186
160714,,,,,
160715,4.068,3.435,2.798,2.584,2.393
160716,,,,,
160717,,,,,
160718,0.102,0.095,0.086,0.083,0.079
160719,0.138,0.129,0.117,0.112,0.108
160720,0.207,0.193,0.175,0.168,0.161
160721,,,,,
160722,0.031,0.029,0.027,0.025,0.025
160723,,,,,
160724,1.272,1.15,1.007,0.954,0.905
160725,0.074,0.069,0.062,0.06,0.058
160726,3.433,2.911,2.39,2.216,2.06
160727,,,,,
160728,1.313,1.229,1.114,1.068,1.023
160729,0.363,0.322,0.277,0.26,0.246
160730,,,,,
160731,0.709,0.628,0.539,0.507,0.477
160801,1.162,1.087,0.984,0.943,0.903
160802,,,,,
160803,0.091,0.085,0.077,0.074,0.071
160804,0.628,0.586,0.53,0.508,0.486
160805,0.293,0.264,0.231,0.219,0.207
160806,,,,,
160807,2.607,2.238,1.86,1.731,1.614
160808,,,,,
160809,,,,,
160810,,,,,
160811,0.515,0.497,0.481,0.475,0.47
160812,0.54,0.504,0.456,0.436,0.417
160813,,,,,
160814,2.164,1.891,1.597,1.493,1.398
160815,,,,,
160816,7.668,6.581,5.446,5.056,4.703
160817,,,,,
160818,,,,,
160819,,,,,
160820,,,,,
160821,,,,,
160822,,,,,
160823,0.632,0.592,0.536,0.514,0.492
160824,,,,,
160825,2.233,1.877,1.525,1.407,1.302
160826,5.406,4.61,3.798,3.522,3.272
160827,6.525,5.502,4.477,4.132,3.825
160828,,,,,
160829,,,,,
160830,1.767,1.706,1.65,1.631,1.614
160831,,,,,
160901,6.275,5.854,5.274,5.043,4.818
160902,,,,,
160903,,,,,
160904,,,,,
160905,,,,,
160906,0.3,0.254,0.208,0.193,0.179
160907,,,,,
160908,0.545,0.509,0.46,0.44,0.421
160909,0.435,0.362,0.291,0.268,0.247
160910,3.739,3.324,2.861,2.694,2.539
160911,,,,,
160912,5.335,4.559,3.758,3.485,3.238
160913,,,,,
160914,,,,,
160915,,,,,
160916,,,,,
160917,,,,,
160918,2.003,1.869,1.684,1.61,1.538
160919,,,,,
160920,,,,,
160921,,,,,
160922,1.005,0.837,0.673,0.62,0.572
160923,,,,,
160924,,,,,
160925,,,,,
160926,,,,,
160927,0.971,0.906,0.816,0.78,0.745
160928,2.116,1.974,1.778,1.7,1.624
160929,,,,,
160930,,,,,
161001,1.331,1.242,1.119,1.07,1.022
161002,,,,,
161003,,,,,
161004,,,,,
161005,3.915,3.359,2.78,2.582,2.401
161006,,,,,
161007,,,,,
161008,,,,,
161009,,,,,
161010,2.724,2.256,1.802,1.653,1.521
161011,,,,,
161012,7.288,6.174,5.048,4.667,4.325
161013,1.255,1.171,1.055,1.008,0.963
161014,,,,,
161015,4.893,4.051,3.236,2.969,2.732
161016,5.659,4.822,3.974,3.687,3.429
161017,2.196,1.885,1.56,1.448,1.347
161018,,,,,
161019,,,,,
161020,,,,,
161021,,,,,
161022,,,,,
161023,,,,,
161024,,,,,
161025,,,,,
161026,,,,,
161027,,,,,
161028,,,,,
161029,,,,,
161030,4.717,4.085,3.42,3.189,2.979
161031,,,,,
161101,4.247,3.961,3.569,3.413,3.261
161102,,,,,
161103,,,,,
161104,,,,,
161105,,,,,
161106,,,,,
161107,,,,,
161108,,,,,
161109,,,,,
161110,,,,,
161111,,,,,
161112,,,,,
161113,6.131,5.076,4.055,3.72,3.423
161114,,,,,
161115,7.759,6.461,5.199,4.783,4.413
161116,,,,,
161117,,,,,
161118,,,,,
161119,,,,,
161120,,,,,
161121,,,,,
161122,,,,,
161123,1.461,1.41,1.363,1.348,1.334
161124,,,,,
161125,,,,,
161126,,,,,
161127,,,,,
161128,,,,,
161129,,,,,
161130,,,,,
161201,,,,,
161202,0.695,0.672,0.649,0.642,0.635
161203,,,,,
161204,,,,,
161205,,,,,
161206,6.314,5.227,4.176,3.832,3.526
161207,,,,,
161208,,,,,
161209,,,,,
161210,,,,,
161211,,,,,
161212,,,,,
161213,2.695,2.313,1.914,1.777,1.653
161214,,,,,
161215,,,,,
161216,,,,,
161217,,,,,
161218,,,,,
161219,,,,,
161220,,,,,
161221,,,,,
161222,,,,,
161223,,,,,
161224,,,,,
161225,,,,,
161226,,,,,
161227,,,,,
161228,,,,,
161229,,,,,
161230,,,,,
161231,,,,,
170101,,,,,
170102,,,,,
170103,,,,,
170104,,,,,
170105,,,,,
170106,,,,,
170107,,,,,
170108,,,,,
170109,1.828,1.765,1.706,1.687,1.669
170110,,,,,
170111,,,,,
170112,,,,,
170113,,,,,
170114,,,,,
170115,,,,,
170116,,,,,
170117,,,,,
170118,,,,,
170119,,,,,
170120,,,,,
170121,,,,,
170122,,,,,
