,354nm,388nm,500nm
200701,0.971,0.974,0.98
200702,0.929,0.937,0.951
200703,0.887,0.899,0.922
200704,0.924,0.932,0.947
200705,0.978,0.98,0.985
200706,0.887,0.899,0.922
200707,0.887,0.899,0.922
200708,0.887,0.899,0.922
200709,0.887,0.899,0.922
200710,0.816,0.833,0.864
200711,0.881,0.893,0.915
200712,0.948,0.953,0.964
200713,0.876,0.889,0.912
200714,0.887,0.899,0.922
200715,0.887,0.899,0.922
200716,0.887,0.899,0.922
200717,0.838,0.871,0.896
200718,0.875,0.887,0.91
200719,0.929,0.936,0.951
200720,0.891,0.907,0.927
200721,0.887,0.899,0.922
200722,0.846,0.862,0.889
200723,0.887,0.899,0.922
200724,0.871,0.884,0.909
200725,0.915,0.923,0.941
200726,0.887,0.899,0.922
200727,0.892,0.903,0.923
200728,0.949,0.954,0.965
200729,0.887,0.899,0.922
200730,0.887,0.899,0.922
200731,0.832,0.848,0.878
200801,0.887,0.899,0.922
200802,0.844,0.882,0.905
200803,0.866,0.88,0.907
200804,0.894,0.904,0.924
200805,0.875,0.891,0.913
200806,0.886,0.908,0.927
200807,0.84,0.869,0.895
200808,0.886,0.908,0.927
200809,0.841,0.873,0.897
200810,0.887,0.898,0.919
200811,0.886,0.908,0.927
200812,0.868,0.903,0.924
200813,0.875,0.908,0.928
200814,0.893,0.922,0.941
200815,0.886,0.908,0.927
200816,0.886,0.908,0.927
200817,0.886,0.908,0.927
200818,0.886,0.908,0.927
200819,0.863,0.9,0.921
200820,0.886,0.908,0.927
200821,0.886,0.908,0.927
200822,0.886,0.908,0.927
200823,0.886,0.908,0.927
200824,0.886,0.908,0.927
200825,0.844,0.886,0.908
200826,0.879,0.904,0.924
200827,0.886,0.908,0.927
200828,0.795,0.848,0.877
200829,0.886,0.908,0.927
200830,0.886,0.908,0.927
200831,0.886,0.908,0.927
200901,0.886,0.908,0.927
200902,0.923,0.942,0.957
200903,0.882,0.914,0.933
200904,0.904,0.93,0.948
200905,0.923,0.942,0.957
200906,0.921,0.943,0.959
200907,0.916,0.939,0.956
200908,0.931,0.951,0.965
200909,0.923,0.942,0.957
200910,0.911,0.936,0.953
