,354nm,388nm,500nm
160505,0.937,0.944,0.957
160506,0.937,0.944,0.957
160507,0.937,0.944,0.957
160508,0.937,0.944,0.957
160509,0.948,0.953,0.964
160510,0.937,0.944,0.957
160511,0.937,0.944,0.957
160512,0.937,0.944,0.957
160513,0.937,0.944,0.957
160514,0.937,0.944,0.957
160515,0.937,0.944,0.957
160516,0.937,0.944,0.957
160517,0.937,0.944,0.957
160518,0.937,0.944,0.957
160519,0.937,0.944,0.957
160520,0.937,0.944,0.957
160521,0.937,0.944,0.957
160522,0.937,0.944,0.957
160523,0.937,0.944,0.957
160524,0.937,0.944,0.957
160525,0.932,0.939,0.953
160526,0.886,0.897,0.919
160527,0.937,0.944,0.957
160528,0.937,0.944,0.957
160529,0.929,0.936,0.951
160530,0.937,0.944,0.957
160531,0.937,0.944,0.957
160601,0.937,0.944,0.957
160602,0.91,0.919,0.936
160603,0.91,0.919,0.936
160604,0.91,0.919,0.936
160605,0.91,0.919,0.936
160606,0.91,0.919,0.936
160607,0.91,0.919,0.936
160608,0.91,0.919,0.936
160609,0.91,0.919,0.936
160610,0.91,0.919,0.936
160611,0.91,0.919,0.936
160612,0.91,0.919,0.936
160613,0.91,0.919,0.936
160614,0.91,0.919,0.936
160615,0.936,0.942,0.955
160616,0.891,0.901,0.922
160617,0.91,0.919,0.936
160618,0.91,0.919,0.936
160619,0.91,0.919,0.936
160620,0.91,0.919,0.936
160621,0.892,0.903,0.925
160622,0.943,0.949,0.961
160623,0.885,0.896,0.917
160624,0.927,0.935,0.949
160625,0.858,0.876,0.9
160626,0.91,0.919,0.936
160627,0.91,0.919,0.936
160628,0.88,0.893,0.917
160629,0.851,0.865,0.891
160630,0.875,0.887,0.911
160701,0.91,0.919,0.936
160702,0.881,0.893,0.916
160703,0.865,0.878,0.902
160704,0.835,0.854,0.89
160705,0.887,0.899,0.922
160706,0.856,0.871,0.898
160707,0.918,0.926,0.943
160708,0.906,0.915,0.934
160709,0.874,0.886,0.91
160710,0.887,0.899,0.922
160711,0.857,0.874,0.899
160712,0.945,0.95,0.962
160713,0.887,0.899,0.922
160714,0.887,0.899,0.922
160715,0.887,0.899,0.922
160716,0.91,0.919,0.937
160717,0.95,0.955,0.966
160718,0.853,0.868,0.896
160719,0.828,0.844,0.874
160720,0.847,0.865,0.892
160721,0.887,0.899,0.922
160722,0.875,0.892,0.927
160723,0.833,0.85,0.882
160724,0.931,0.938,0.952
160725,0.86,0.874,0.9
160726,0.943,0.949,0.96
160727,0.887,0.899,0.922
160728,0.917,0.925,0.942
160729,0.848,0.874,0.898
160730,0.874,0.89,0.913
160731,0.893,0.913,0.931
160801,0.87,0.886,0.909
160802,0.949,0.954,0.964
160803,0.815,0.844,0.874
160804,0.864,0.882,0.906
160805,0.838,0.865,0.891
160806,0.886,0.908,0.927
160807,0.886,0.908,0.927
160808,0.886,0.908,0.927
160809,0.886,0.908,0.927
160810,0.886,0.908,0.927
160811,0.886,0.908,0.927
160812,0.886,0.908,0.927
160813,0.931,0.938,0.952
160814,0.886,0.908,0.927
160815,0.886,0.908,0.927
160816,0.886,0.908,0.927
160817,0.944,0.95,0.962
160818,0.886,0.908,0.927
160819,0.886,0.908,0.927
160820,0.886,0.908,0.927
160821,0.886,0.908,0.927
160822,0.886,0.908,0.927
160823,0.876,0.899,0.919
160824,0.844,0.873,0.898
160825,0.886,0.908,0.927
160826,0.893,0.922,0.941
160827,0.913,0.937,0.954
160828,0.886,0.908,0.927
160829,0.886,0.908,0.927
160830,0.886,0.908,0.927
160831,0.886,0.908,0.927
160901,0.911,0.92,0.938
160902,0.923,0.942,0.957
160903,0.923,0.942,0.957
160904,0.923,0.942,0.957
160905,0.974,0.977,0.982
160906,0.912,0.921,0.939
160907,0.923,0.942,0.957
160908,0.913,0.935,0.948
160909,0.898,0.916,0.935
160910,0.911,0.935,0.952
160911,0.888,0.918,0.938
160912,0.922,0.944,0.96
160913,0.923,0.942,0.957
160914,0.923,0.942,0.957
160915,0.923,0.942,0.957
160916,0.923,0.942,0.957
160917,0.954,0.968,0.979
160918,0.914,0.938,0.955
160919,0.923,0.942,0.957
160920,0.923,0.942,0.957
160921,0.923,0.942,0.957
160922,0.923,0.942,0.957
160923,0.923,0.942,0.957
160924,0.923,0.942,0.957
160925,0.923,0.942,0.957
160926,0.923,0.942,0.957
160927,0.923,0.942,0.957
160928,0.923,0.942,0.957
160929,0.923,0.942,0.957
160930,0.923,0.942,0.957
161001,0.923,0.942,0.957
161002,0.937,0.949,0.962
161003,0.937,0.949,0.962
161004,0.937,0.949,0.962
161005,0.977,0.979,0.984
161006,0.937,0.949,0.962
161007,0.937,0.949,0.962
161008,0.937,0.949,0.962
161009,0.937,0.949,0.962
161010,0.937,0.949,0.962
161011,0.937,0.949,0.962
161012,0.937,0.949,0.962
161013,0.937,0.949,0.962
161014,0.937,0.949,0.962
161015,0.937,0.949,0.962
161016,0.937,0.949,0.962
161017,0.937,0.949,0.962
161018,0.937,0.949,0.962
161019,0.937,0.955,0.969
161020,0.924,0.946,0.961
161021,0.937,0.949,0.962
161022,0.937,0.949,0.962
161023,0.937,0.949,0.962
161024,0.937,0.949,0.962
161025,0.937,0.949,0.962
161026,0.937,0.949,0.962
161027,0.937,0.949,0.962
161028,0.937,0.949,0.962
161029,0.937,0.949,0.962
161030,0.943,0.948,0.96
161031,0.937,0.949,0.962
161101,0.937,0.949,0.962
161102,0.936,0.945,0.958
161103,0.936,0.945,0.958
161104,0.936,0.945,0.958
161105,0.936,0.945,0.958
161106,0.929,0.936,0.951
161107,0.943,0.949,0.961
161108,0.936,0.945,0.958
161109,0.936,0.945,0.958
161110,0.936,0.945,0.958
161111,0.936,0.945,0.958
161112,0.936,0.945,0.958
161113,0.936,0.945,0.958
161114,0.936,0.945,0.958
161115,0.901,0.924,0.942
161116,0.936,0.945,0.958
161117,0.936,0.945,0.958
161118,0.936,0.945,0.958
161119,0.936,0.945,0.958
161120,0.936,0.945,0.958
161121,0.936,0.945,0.958
161122,0.936,0.945,0.958
161123,0.936,0.945,0.958
161124,0.936,0.945,0.958
161125,0.936,0.945,0.958
161126,0.936,0.945,0.958
161127,0.936,0.945,0.958
161128,0.942,0.948,0.96
161129,0.936,0.945,0.958
161130,0.928,0.935,0.95
161201,0.936,0.945,0.958
161202,0.934,0.942,0.955
161203,0.934,0.942,0.955
161204,0.934,0.942,0.955
161205,0.934,0.942,0.955
161206,0.934,0.942,0.955
161207,0.925,0.933,0.948
161208,0.921,0.929,0.945
161209,0.934,0.942,0.955
161210,0.934,0.942,0.955
161211,0.934,0.942,0.955
161212,0.934,0.942,0.955
161213,0.934,0.942,0.955
161214,0.934,0.942,0.955
161215,0.934,0.942,0.955
161216,0.934,0.942,0.955
161217,0.934,0.942,0.955
161218,0.934,0.942,0.955
161219,0.934,0.942,0.955
161220,0.934,0.942,0.955
161221,0.934,0.942,0.955
161222,0.934,0.942,0.955
161223,0.934,0.942,0.955
161224,0.934,0.942,0.955
161225,0.935,0.942,0.956
161226,0.934,0.942,0.955
161227,0.934,0.942,0.955
161228,0.934,0.942,0.955
161229,0.934,0.942,0.955
161230,0.934,0.942,0.955
161231,0.934,0.942,0.955
170101,0.942,0.948,0.96
170102,0.903,0.912,0.932
170103,0.971,0.974,0.98
170104,0.942,0.948,0.96
170105,0.962,0.966,0.974
170106,0.942,0.948,0.96
170107,0.949,0.954,0.965
170108,0.942,0.948,0.96
170109,0.942,0.948,0.96
170110,0.942,0.948,0.96
170111,0.942,0.948,0.96
170112,0.942,0.948,0.96
170113,0.942,0.948,0.96
170114,0.942,0.948,0.96
170115,0.942,0.948,0.96
170116,0.942,0.948,0.96
170117,0.942,0.948,0.96
170118,0.942,0.948,0.96
170119,0.942,0.948,0.96
170120,0.942,0.948,0.96
170121,0.942,0.948,0.96
170122,0.942,0.948,0.96
170123,0.942,0.948,0.96
170124,0.942,0.948,0.96
170125,0.942,0.948,0.96
170126,0.942,0.948,0.96
170127,0.942,0.948,0.96
170128,0.942,0.948,0.96
170129,0.942,0.948,0.96
170130,0.942,0.948,0.96
170131,0.942,0.948,0.96
170201,0.938,0.946,0.958
170202,0.938,0.946,0.958
170203,0.938,0.946,0.958
170204,0.938,0.946,0.958
170205,0.938,0.946,0.958
170206,0.938,0.946,0.958
170207,0.938,0.946,0.958
170208,0.938,0.946,0.958
170209,0.938,0.946,0.958
170210,0.938,0.946,0.958
170211,0.938,0.946,0.958
170212,0.938,0.946,0.958
170213,0.938,0.946,0.958
170214,0.938,0.946,0.958
170215,0.938,0.946,0.958
170216,0.938,0.946,0.958
170217,0.938,0.946,0.958
170218,0.938,0.946,0.958
170219,0.938,0.946,0.958
170220,0.938,0.946,0.958
170221,0.938,0.946,0.958
170222,0.938,0.946,0.958
170223,0.938,0.946,0.958
170224,0.938,0.946,0.958
170225,0.938,0.946,0.958
170226,0.938,0.946,0.958
170227,0.908,0.933,0.951
170228,0.938,0.946,0.958
170301,0.936,0.942,0.956
170302,0.936,0.942,0.956
170303,0.936,0.942,0.956
170304,0.936,0.942,0.956
170305,0.936,0.942,0.956
170306,0.936,0.942,0.956
170307,0.936,0.942,0.956
170308,0.936,0.942,0.956
170309,0.936,0.942,0.956
170310,0.936,0.942,0.956
170311,0.936,0.942,0.956
170312,0.936,0.942,0.956
170313,0.936,0.942,0.956
170314,0.936,0.942,0.956
170315,0.936,0.942,0.956
170316,0.936,0.942,0.956
170317,0.936,0.942,0.956
170318,0.936,0.942,0.956
170319,0.936,0.942,0.956
170320,0.936,0.942,0.956
170321,0.936,0.942,0.956
170322,0.936,0.942,0.956
170323,0.936,0.942,0.956
170324,0.936,0.942,0.956
170325,0.936,0.942,0.956
170326,0.936,0.942,0.956
170327,0.936,0.942,0.956
170328,0.932,0.939,0.953
170329,0.936,0.942,0.956
170330,0.936,0.942,0.956
170331,0.936,0.942,0.956
170401,0.929,0.937,0.951
170402,0.929,0.937,0.951
170403,0.929,0.937,0.951
170404,0.929,0.937,0.951
170405,0.929,0.937,0.951
170406,0.949,0.954,0.965
170407,0.929,0.937,0.951
170408,0.929,0.937,0.951
170409,0.922,0.93,0.946
170410,0.929,0.937,0.951
170411,0.929,0.937,0.951
170412,0.929,0.937,0.951
170413,0.929,0.937,0.951
170414,0.929,0.937,0.951
170415,0.929,0.937,0.951
170416,0.912,0.921,0.939
170417,0.929,0.937,0.951
170418,0.929,0.937,0.951
170419,0.929,0.937,0.951
170420,0.935,0.942,0.955
170421,0.929,0.937,0.951
170422,0.929,0.937,0.951
170423,0.929,0.937,0.951
170424,0.929,0.937,0.951
170425,0.929,0.937,0.951
170426,0.929,0.937,0.951
170427,0.929,0.937,0.951
170428,0.944,0.95,0.961
170429,0.901,0.911,0.93
170430,0.929,0.937,0.951
170501,0.937,0.944,0.957
170502,0.974,0.977,0.982
170503,0.937,0.944,0.957
170504,0.937,0.944,0.957
170505,0.937,0.944,0.957
170506,0.935,0.941,0.955
170507,0.937,0.944,0.957
170508,0.937,0.944,0.957
170509,0.937,0.944,0.957
170510,0.937,0.944,0.957
170511,0.937,0.944,0.957
170512,0.937,0.944,0.957
170513,0.937,0.944,0.957
170514,0.937,0.944,0.957
170515,0.937,0.944,0.957
170516,0.926,0.933,0.948
170517,0.937,0.944,0.957
170518,0.937,0.944,0.957
170519,0.937,0.944,0.957
170520,0.937,0.944,0.957
170521,0.937,0.944,0.957
170522,0.951,0.956,0.966
170523,0.937,0.944,0.957
170524,0.937,0.944,0.957
170525,0.937,0.944,0.957
170526,0.937,0.944,0.957
170527,0.937,0.944,0.957
170528,0.887,0.898,0.919
170529,0.937,0.944,0.957
170530,0.937,0.944,0.957
170531,0.937,0.944,0.957
170601,0.91,0.919,0.936
170602,0.91,0.919,0.936
170603,0.91,0.919,0.936
170604,0.91,0.919,0.936
170605,0.91,0.919,0.936
170606,0.91,0.919,0.936
170607,0.894,0.905,0.925
170608,0.951,0.957,0.967
170609,0.938,0.945,0.958
170610,0.91,0.919,0.936
170611,0.874,0.886,0.909
170612,0.91,0.919,0.936
170613,0.903,0.912,0.931
170614,0.91,0.919,0.936
170615,0.91,0.919,0.936
170616,0.9,0.91,0.929
170617,0.96,0.964,0.973
170618,0.903,0.913,0.932
170619,0.968,0.971,0.978
170620,0.879,0.89,0.913
170621,0.91,0.919,0.936
170622,0.926,0.934,0.947
170623,0.931,0.938,0.952
170624,0.91,0.919,0.936
170625,0.905,0.914,0.933
170626,0.934,0.941,0.954
170627,0.891,0.902,0.923
170628,0.935,0.942,0.955
170629,0.852,0.866,0.892
170630,0.91,0.919,0.936
170701,0.941,0.947,0.96
170702,0.854,0.869,0.895
170703,0.95,0.955,0.966
170704,0.826,0.842,0.872
170705,0.924,0.932,0.948
170706,0.893,0.904,0.925
170707,0.887,0.899,0.922
170708,0.852,0.874,0.924
170709,0.849,0.864,0.892
170710,0.933,0.94,0.954
170711,0.834,0.856,0.904
170712,0.859,0.873,0.898
170713,0.84,0.856,0.885
170714,0.9,0.91,0.929
170715,0.905,0.914,0.932
170716,0.907,0.916,0.935
170717,0.866,0.893,0.947
170718,0.846,0.861,0.888
170719,0.807,0.825,0.858
170720,0.873,0.885,0.909
170721,0.894,0.906,0.93
170722,0.89,0.901,0.923
170723,0.887,0.899,0.922
170724,0.887,0.899,0.922
170725,0.891,0.903,0.928
170726,0.87,0.883,0.907
170727,0.842,0.863,0.908
170728,0.874,0.887,0.91
170729,0.87,0.888,0.913
170730,0.86,0.874,0.902
170731,0.852,0.87,0.898
170801,0.886,0.908,0.927
170802,0.947,0.952,0.963
170803,0.882,0.894,0.916
170804,0.921,0.928,0.944
170805,0.855,0.869,0.895
170806,0.878,0.9,0.921
170807,0.886,0.908,0.927
170808,0.886,0.908,0.927
170809,0.886,0.908,0.927
170810,0.886,0.908,0.927
170811,0.886,0.908,0.927
170812,0.886,0.908,0.927
170813,0.943,0.949,0.961
170814,0.886,0.908,0.927
170815,0.886,0.908,0.927
170816,0.886,0.908,0.927
170817,0.886,0.908,0.927
170818,0.886,0.908,0.927
170819,0.923,0.931,0.947
170820,0.886,0.908,0.927
170821,0.886,0.908,0.927
170822,0.942,0.948,0.96
170823,0.812,0.861,0.887
170824,0.886,0.908,0.927
170825,0.886,0.908,0.927
170826,0.906,0.932,0.95
170827,0.871,0.906,0.926
170828,0.9,0.927,0.945
170829,0.886,0.908,0.927
170830,0.886,0.908,0.927
170831,0.886,0.908,0.927
170901,0.899,0.927,0.945
170902,0.923,0.942,0.957
170903,0.936,0.954,0.968
170904,0.913,0.937,0.954
170905,0.923,0.942,0.957
170906,0.898,0.926,0.944
170907,0.926,0.947,0.962
170908,0.923,0.942,0.957
170909,0.923,0.942,0.957
170910,0.956,0.969,0.979
170911,0.923,0.942,0.957
170912,0.923,0.942,0.957
170913,0.932,0.951,0.966
170914,0.923,0.942,0.957
170915,0.944,0.96,0.973
170916,0.919,0.941,0.957
170917,0.883,0.915,0.934
170918,0.885,0.915,0.934
170919,0.922,0.943,0.959
170920,0.925,0.946,0.962
170921,0.947,0.962,0.974
170922,0.942,0.958,0.972
170923,0.946,0.962,0.974
170924,0.948,0.963,0.975
170925,0.923,0.942,0.957
170926,0.955,0.968,0.979
170927,0.923,0.942,0.957
170928,0.923,0.942,0.957
170929,0.923,0.942,0.957
170930,0.923,0.942,0.957
171001,0.937,0.949,0.962
171002,0.937,0.949,0.962
171003,0.937,0.949,0.962
171004,0.937,0.949,0.962
171005,0.937,0.949,0.962
171006,0.925,0.946,0.962
171007,0.937,0.949,0.962
171008,0.937,0.949,0.962
171009,0.929,0.949,0.964
171010,0.937,0.949,0.962
171011,0.937,0.949,0.962
171012,0.937,0.949,0.962
171013,0.968,0.972,0.979
171014,0.937,0.949,0.962
171015,0.937,0.949,0.962
171016,0.947,0.953,0.964
171017,0.937,0.949,0.962
171018,0.935,0.953,0.967
171019,0.937,0.949,0.962
171020,0.937,0.949,0.962
171021,0.937,0.949,0.962
171022,0.937,0.949,0.962
171023,0.937,0.949,0.962
171024,0.954,0.959,0.968
171025,0.937,0.949,0.962
171026,0.937,0.949,0.962
171027,0.937,0.949,0.962
171028,0.937,0.949,0.962
171029,0.937,0.949,0.962
171030,0.945,0.951,0.962
171031,0.951,0.956,0.967
171101,0.971,0.974,0.981
171102,0.936,0.945,0.958
171103,0.936,0.945,0.958
171104,0.936,0.945,0.958
171105,0.936,0.945,0.958
171106,0.936,0.945,0.958
171107,0.938,0.945,0.958
171108,0.936,0.945,0.958
171109,0.936,0.945,0.958
171110,0.936,0.945,0.958
171111,0.936,0.945,0.958
171112,0.936,0.945,0.958
171113,0.936,0.945,0.958
171114,0.936,0.945,0.958
171115,0.936,0.945,0.958
171116,0.936,0.945,0.958
171117,0.936,0.945,0.958
171118,0.936,0.945,0.958
171119,0.936,0.945,0.958
171120,0.936,0.945,0.958
171121,0.936,0.945,0.958
171122,0.936,0.945,0.958
171123,0.942,0.948,0.961
171124,0.936,0.945,0.958
171125,0.936,0.945,0.958
171126,0.936,0.945,0.958
171127,0.936,0.945,0.958
171128,0.936,0.945,0.958
171129,0.936,0.945,0.958
171130,0.939,0.946,0.958
171201,0.934,0.942,0.955
171202,0.934,0.942,0.955
171203,0.934,0.942,0.955
171204,0.934,0.942,0.955
171205,0.934,0.942,0.955
171206,0.934,0.942,0.955
171207,0.934,0.942,0.955
171208,0.934,0.942,0.955
171209,0.959,0.964,0.972
171210,0.934,0.942,0.955
171211,0.934,0.942,0.955
171212,0.916,0.924,0.941
171213,0.934,0.942,0.955
171214,0.934,0.942,0.955
171215,0.934,0.942,0.955
171216,0.934,0.942,0.955
171217,0.934,0.942,0.955
171218,0.934,0.942,0.955
171219,0.934,0.942,0.955
171220,0.934,0.942,0.955
171221,0.934,0.942,0.955
171222,0.934,0.942,0.955
171223,0.959,0.964,0.972
171224,0.934,0.942,0.955
171225,0.934,0.942,0.955
171226,0.934,0.942,0.955
171227,0.934,0.942,0.955
171228,0.934,0.942,0.955
171229,0.934,0.942,0.955
171230,0.934,0.942,0.955
171231,0.934,0.942,0.955
180101,0.928,0.936,0.95
180102,0.942,0.948,0.96
180103,0.95,0.955,0.966
180104,0.999,0.999,0.999
180105,0.942,0.948,0.96
180106,0.942,0.948,0.96
180107,0.942,0.948,0.96
180108,0.942,0.948,0.96
180109,0.942,0.948,0.96
180110,0.942,0.948,0.96
180111,0.942,0.948,0.96
180112,0.942,0.948,0.96
180113,0.943,0.949,0.961
180114,0.942,0.948,0.96
180115,0.942,0.948,0.96
180116,0.942,0.948,0.96
180117,0.942,0.948,0.96
180118,0.942,0.948,0.96
180119,0.909,0.918,0.937
180120,0.942,0.948,0.96
180121,0.942,0.948,0.96
180122,0.942,0.948,0.96
180123,0.942,0.948,0.96
180124,0.901,0.911,0.931
180125,0.942,0.948,0.96
180126,0.942,0.948,0.96
180127,0.942,0.948,0.96
180128,0.942,0.948,0.96
180129,0.942,0.948,0.96
180130,0.942,0.948,0.96
180131,0.942,0.948,0.96
180201,0.938,0.946,0.958
180202,0.938,0.946,0.958
180203,0.938,0.946,0.958
180204,0.938,0.946,0.958
180205,0.938,0.946,0.958
180206,0.938,0.946,0.958
180207,0.938,0.946,0.958
180208,0.938,0.946,0.958
180209,0.938,0.946,0.958
180210,0.938,0.946,0.958
180211,0.945,0.95,0.962
180212,0.938,0.946,0.958
180213,0.938,0.946,0.958
180214,0.938,0.946,0.958
180215,0.938,0.946,0.958
180216,0.938,0.946,0.958
180217,0.938,0.946,0.958
180218,0.938,0.946,0.958
180219,0.938,0.946,0.958
180220,0.938,0.946,0.958
180221,0.938,0.946,0.958
180222,0.938,0.946,0.958
180223,0.938,0.946,0.958
180224,0.938,0.946,0.958
180225,0.938,0.946,0.958
180226,0.938,0.946,0.958
180227,0.938,0.946,0.958
180228,0.942,0.948,0.96
180301,0.936,0.942,0.956
180302,0.938,0.945,0.958
180303,0.932,0.939,0.953
180304,0.936,0.942,0.956
180305,0.936,0.942,0.956
180306,0.95,0.956,0.966
180307,0.936,0.942,0.956
180308,0.936,0.942,0.956
180309,0.962,0.967,0.975
180310,0.936,0.942,0.956
180311,0.936,0.942,0.956
180312,0.936,0.942,0.956
180313,0.936,0.942,0.956
180314,0.936,0.942,0.956
180315,0.936,0.942,0.956
180316,0.936,0.942,0.956
180317,0.936,0.942,0.956
180318,0.936,0.942,0.956
180319,0.936,0.942,0.956
180320,0.936,0.942,0.956
180321,0.936,0.942,0.956
180322,0.893,0.904,0.925
180323,0.936,0.942,0.956
180324,0.936,0.942,0.956
180325,0.936,0.942,0.956
180326,0.936,0.942,0.956
180327,0.936,0.942,0.956
180328,0.936,0.942,0.956
180329,0.936,0.942,0.956
180330,0.936,0.942,0.956
180331,0.936,0.942,0.956
180401,0.929,0.937,0.951
180402,0.929,0.937,0.951
180403,0.929,0.937,0.951
180404,0.929,0.937,0.951
180405,0.929,0.937,0.951
180406,0.929,0.937,0.951
180407,0.929,0.937,0.951
180408,0.929,0.937,0.951
180409,0.929,0.937,0.951
180410,0.929,0.937,0.951
180411,0.929,0.937,0.951
180412,0.929,0.937,0.951
180413,0.929,0.937,0.951
180414,0.929,0.937,0.951
180415,0.929,0.937,0.951
180416,0.929,0.937,0.951
180417,0.929,0.937,0.951
180418,0.929,0.937,0.951
180419,0.929,0.937,0.951
180420,0.929,0.937,0.951
180421,0.929,0.937,0.951
180422,0.929,0.937,0.951
180423,0.929,0.937,0.951
180424,0.929,0.937,0.951
180425,0.929,0.937,0.951
180426,0.914,0.923,0.94
180427,0.929,0.937,0.951
180428,0.943,0.949,0.961
180429,0.929,0.937,0.951
180430,0.929,0.937,0.951
180501,0.937,0.944,0.957
180502,0.937,0.944,0.957
180503,0.937,0.944,0.957
180504,0.937,0.944,0.957
180505,0.937,0.944,0.957
180506,0.937,0.944,0.957
180507,0.937,0.944,0.957
180508,0.937,0.944,0.957
180509,0.942,0.948,0.96
180510,0.937,0.944,0.957
180511,0.937,0.944,0.957
180512,0.937,0.944,0.957
180513,0.937,0.944,0.957
180514,0.937,0.944,0.957
180515,0.937,0.944,0.957
180516,0.937,0.944,0.957
180517,0.937,0.944,0.957
180518,0.937,0.944,0.957
180519,0.937,0.944,0.957
180520,0.937,0.944,0.957
180521,0.937,0.944,0.957
180522,0.937,0.944,0.957
180523,0.937,0.944,0.957
180524,0.878,0.89,0.913
180525,0.922,0.93,0.946
180526,0.937,0.944,0.957
180527,0.948,0.953,0.964
180528,0.984,0.986,0.989
180529,0.937,0.944,0.957
180530,0.937,0.944,0.957
180531,0.937,0.944,0.957
180601,0.91,0.919,0.936
180602,0.91,0.919,0.936
180603,0.91,0.919,0.936
180604,0.91,0.919,0.936
180605,0.878,0.89,0.912
180606,0.91,0.919,0.936
180607,0.91,0.919,0.936
180608,0.91,0.919,0.936
180609,0.91,0.919,0.936
180610,0.933,0.94,0.954
180611,0.91,0.919,0.936
180612,0.91,0.919,0.936
180613,0.953,0.958,0.967
180614,0.91,0.919,0.936
180615,0.91,0.919,0.936
180616,0.889,0.9,0.921
180617,0.91,0.919,0.936
180618,0.875,0.887,0.909
180619,0.867,0.884,0.915
180620,0.949,0.954,0.965
180621,0.906,0.915,0.934
180622,0.902,0.912,0.931
180623,0.868,0.881,0.905
180624,0.91,0.919,0.936
180625,0.909,0.918,0.935
180626,0.877,0.889,0.913
180627,0.938,0.944,0.957
180628,0.85,0.865,0.891
180629,0.897,0.907,0.926
180630,0.846,0.861,0.887
180701,0.852,0.866,0.892
180702,0.89,0.901,0.921
180703,0.826,0.849,0.896
180704,0.93,0.938,0.952
180705,0.873,0.885,0.908
180706,0.943,0.949,0.96
180707,0.889,0.9,0.921
180708,0.895,0.906,0.926
180709,0.853,0.868,0.897
180710,0.887,0.899,0.922
180711,0.885,0.896,0.916
180712,0.829,0.845,0.874
180713,0.954,0.959,0.968
180714,0.906,0.915,0.933
180715,0.887,0.899,0.922
180716,0.887,0.899,0.922
180717,0.939,0.945,0.958
180718,0.857,0.871,0.896
180719,0.887,0.899,0.922
180720,0.941,0.947,0.958
180721,0.901,0.912,0.932
180722,0.913,0.922,0.939
180723,0.849,0.864,0.893
180724,0.853,0.867,0.893
180725,0.827,0.847,0.886
180726,0.887,0.899,0.922
180727,0.87,0.888,0.925
180728,0.846,0.862,0.892
180729,0.887,0.899,0.922
180730,0.933,0.94,0.954
180731,0.887,0.899,0.922
180801,0.886,0.908,0.927
180802,0.886,0.908,0.927
180803,0.886,0.908,0.927
180804,0.886,0.908,0.927
180805,0.886,0.908,0.927
180806,0.947,0.953,0.964
180807,0.982,0.984,0.988
180808,0.886,0.908,0.927
180809,0.941,0.947,0.959
180810,0.877,0.889,0.911
180811,0.886,0.908,0.927
180812,0.886,0.908,0.927
180813,0.928,0.935,0.95
180814,0.886,0.908,0.927
180815,0.886,0.908,0.927
180816,0.965,0.969,0.976
180817,0.947,0.953,0.964
180818,0.922,0.93,0.946
180819,0.886,0.908,0.927
180820,0.886,0.908,0.927
180821,0.92,0.931,0.946
180822,0.848,0.865,0.891
180823,0.938,0.944,0.956
180824,0.886,0.908,0.927
180825,0.886,0.908,0.927
180826,0.886,0.908,0.927
180827,0.886,0.908,0.927
180828,0.842,0.878,0.901
180829,0.938,0.944,0.957
180830,0.886,0.908,0.927
180831,0.886,0.908,0.927
180901,0.923,0.942,0.957
180902,0.923,0.942,0.957
180903,0.942,0.948,0.961
180904,0.84,0.862,0.889
180905,0.817,0.86,0.886
180906,0.893,0.904,0.924
180907,0.888,0.917,0.936
180908,0.918,0.941,0.957
180909,0.89,0.92,0.939
180910,0.923,0.942,0.957
180911,0.923,0.942,0.957
180912,0.923,0.942,0.957
180913,0.923,0.942,0.957
180914,0.923,0.942,0.957
180915,0.923,0.942,0.957
180916,0.923,0.942,0.957
180917,0.922,0.93,0.946
180918,0.923,0.942,0.957
180919,0.927,0.935,0.95
180920,0.923,0.942,0.957
180921,0.923,0.942,0.957
180922,0.978,0.98,0.985
180923,0.938,0.944,0.957
180924,0.923,0.942,0.957
180925,0.923,0.942,0.957
180926,0.923,0.942,0.957
180927,0.923,0.942,0.957
180928,0.923,0.942,0.957
180929,0.923,0.942,0.957
180930,0.963,0.967,0.975
181001,0.937,0.949,0.962
181002,0.937,0.949,0.962
181003,0.946,0.951,0.963
181004,0.937,0.949,0.962
181005,0.937,0.949,0.962
181006,0.937,0.949,0.962
181007,0.937,0.949,0.962
181008,0.937,0.949,0.962
181009,0.954,0.959,0.968
181010,0.938,0.944,0.958
181011,0.937,0.949,0.962
181012,0.937,0.949,0.962
181013,0.937,0.949,0.962
181014,0.937,0.949,0.962
181015,0.937,0.949,0.962
181016,0.937,0.949,0.962
181017,0.937,0.949,0.962
181018,0.937,0.949,0.962
181019,0.937,0.949,0.962
181020,0.937,0.949,0.962
181021,0.937,0.949,0.962
181022,0.937,0.949,0.962
181023,0.937,0.949,0.962
181024,0.937,0.949,0.962
181025,0.937,0.949,0.962
181026,0.937,0.949,0.962
181027,0.937,0.949,0.962
181028,0.937,0.949,0.962
181029,0.937,0.949,0.962
181030,0.937,0.949,0.962
181031,0.937,0.949,0.962
181101,0.936,0.945,0.958
181102,0.937,0.955,0.969
181103,0.936,0.945,0.958
181104,0.951,0.956,0.967
181105,0.919,0.927,0.943
181106,0.936,0.945,0.958
181107,0.936,0.945,0.958
181108,0.936,0.945,0.958
181109,0.936,0.945,0.958
181110,0.945,0.951,0.963
181111,0.936,0.945,0.958
181112,0.936,0.945,0.958
181113,0.936,0.945,0.958
181114,0.936,0.945,0.958
181115,0.936,0.945,0.958
181116,0.936,0.945,0.958
181117,0.936,0.945,0.958
181118,0.936,0.945,0.958
181119,0.936,0.945,0.958
181120,0.936,0.945,0.958
181121,0.936,0.945,0.958
181122,0.932,0.939,0.953
