,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
02/03,255.122,250.678,247.433,251.256,261.344,255.617,277.011,249.022,263.411,253.6,269.378,254.078,261.467,258.844,255.617,255.689,
02/04,252.433,239.967,244.767,260.022,251.0,246.133,271.122,251.922,235.967,253.644,258.238,255.617,247.789,248.144,283.167,244.533,
02/05,246.722,247.033,249.089,250.889,244.644,238.433,267.056,258.044,261.489,255.617,261.7,253.8,257.822,255.733,272.871,254.556,
02/06,249.311,252.2,240.844,257.9,257.6,230.45,255.617,261.833,247.411,272.933,259.678,246.256,255.617,257.867,266.922,255.617,
02/07,245.911,251.944,251.6,260.133,255.617,234.611,273.767,260.689,254.911,245.767,258.633,269.589,261.7,259.689,267.333,270.7,
02/08,260.556,255.617,249.456,261.011,256.456,255.617,268.711,254.222,262.067,258.311,255.617,257.367,252.267,253.411,260.533,248.4,
02/09,252.556,252.333,250.189,260.667,245.356,242.033,267.388,255.617,258.233,254.833,267.1,252.489,258.275,255.617,258.433,259.311,
02/10,265.822,244.022,251.467,255.617,253.511,255.617,269.733,258.533,259.167,253.633,261.9,256.122,261.156,251.4,255.411,252.544,
02/11,266.856,248.256,251.478,254.311,259.744,258.367,255.617,256.422,255.617,257.0,270.822,255.617,250.622,249.644,257.9,259.556,
02/12,249.633,246.011,255.533,253.722,254.067,239.933,264.589,254.222,251.633,245.6,262.267,273.3,252.3,243.087,255.617,252.933,
02/13,256.533,255.567,236.411,257.633,256.822,248.778,255.617,258.256,253.844,258.933,257.044,258.4,255.617,241.456,266.967,273.533,
02/14,254.7,247.933,249.7,255.617,251.633,235.122,269.533,248.111,252.7,255.617,267.1,262.211,276.667,251.0,256.089,256.056,
02/15,254.311,242.956,249.689,256.933,250.589,239.333,253.467,253.511,259.278,259.9,233.811,254.5,261.214,253.122,271.35,255.617,
02/16,243.911,246.9,256.044,254.578,255.617,241.111,272.867,255.617,265.167,248.722,264.011,259.0,263.256,255.617,260.067,259.333,
02/17,247.389,245.233,256.244,265.533,254.833,241.433,267.411,267.733,258.844,259.567,255.617,258.289,258.778,267.367,247.478,258.511,
02/18,244.044,252.489,252.778,257.844,245.856,238.467,260.9,247.5,255.617,252.689,269.833,256.1,252.433,250.114,256.744,278.863,
02/19,243.789,239.744,256.033,255.656,251.967,255.617,268.233,266.767,269.044,250.644,250.922,256.822,260.5,247.2,255.617,259.2,
02/20,247.078,263.967,259.033,261.678,247.656,244.233,266.456,254.289,256.3,258.778,258.843,255.617,242.367,240.133,272.067,251.311,
02/21,255.617,256.156,262.322,253.044,251.378,244.922,267.733,255.556,256.178,255.617,254.789,259.7,272.222,244.067,253.4,260.078,
02/22,253.711,255.667,245.711,254.633,249.511,249.4,255.617,259.0,261.167,273.333,250.344,252.878,255.617,248.489,262.322,255.617,
02/23,245.444,249.278,258.689,254.7,255.617,242.322,271.233,255.189,259.456,254.3,254.767,258.067,265.967,253.633,259.278,270.467,
02/24,250.933,251.544,259.922,261.3,256.5,255.617,262.656,258.9,262.856,256.656,255.617,259.833,256.0,246.389,258.378,257.743,
02/25,246.722,254.933,260.033,258.211,242.867,242.622,275.822,255.617,250.856,258.244,271.467,249.822,266.25,255.617,262.844,256.644,
02/26,251.8,249.0,251.244,272.967,252.978,255.617,264.756,258.033,259.644,251.6,256.786,248.556,260.378,262.833,265.389,252.878,
02/27,251.056,249.967,255.617,259.178,256.644,249.367,255.617,247.133,255.617,260.2,266.111,255.617,259.278,244.667,266.656,249.467,
02/28,240.611,255.617,257.533,265.311,255.389,244.833,259.6,253.943,261.367,256.733,259.144,263.6,256.067,253.8,255.617,259.589,
03/01,248.3,257.742,255.511,261.978,269.7,249.444,257.742,250.922,262.867,257.956,256.078,241.733,257.742,252.344,259.067,286.544,
03/02,243.478,257.742,243.2,264.533,265.2,241.678,276.367,253.656,257.167,257.742,267.011,252.722,271.667,241.711,248.489,257.133,
03/03,250.711,268.178,251.478,272.667,259.711,245.9,258.6,262.878,249.733,272.233,258.656,249.911,272.986,252.144,292.075,257.742,
03/04,247.556,258.833,257.044,252.022,257.742,244.322,265.133,257.742,255.844,257.956,260.544,244.9,268.144,257.742,262.322,258.567,
03/05,239.756,260.811,262.456,261.444,265.7,244.056,261.922,274.067,257.044,265.163,257.742,248.889,264.4,269.567,249.244,224.944,
03/06,242.456,265.089,266.2,253.322,256.933,246.433,264.8,271.586,257.742,258.222,260.167,245.067,260.533,246.129,258.644,268.887,
03/07,250.233,258.611,259.467,255.133,262.967,257.742,270.411,267.678,265.833,254.867,265.856,250.189,265.089,260.3,257.742,255.589,
03/08,248.467,250.467,263.844,255.822,262.733,247.533,259.678,263.022,257.967,258.044,263.962,257.742,240.211,246.089,279.533,255.789,
03/09,239.956,250.733,262.867,250.433,252.422,245.978,263.2,267.022,265.889,257.742,256.856,253.733,262.378,257.742,270.629,248.978,
03/10,258.633,252.544,258.967,262.1,256.489,259.95,257.742,264.722,267.067,267.633,255.067,248.278,257.742,256.556,262.356,257.742,
03/11,242.311,254.133,260.2,257.0,256.8,249.1,269.967,258.778,260.878,260.786,262.367,253.0,265.4,244.611,258.967,274.3,
03/12,248.833,252.033,260.078,265.378,261.178,257.742,261.844,259.367,266.9,266.3,257.742,252.333,257.742,256.344,261.667,244.857,
03/13,248.222,253.611,254.889,258.567,253.211,248.011,260.833,257.742,262.156,261.544,270.067,243.6,257.742,257.742,263.867,260.9,
03/14,254.544,245.6,255.8,257.742,256.778,257.742,269.967,262.933,264.367,252.0,259.9,247.889,257.742,255.667,268.733,253.978,
03/15,241.956,254.767,249.6,263.378,255.5,258.333,257.742,256.244,257.742,263.911,261.722,257.742,257.742,250.356,264.744,262.311,
