,354nm,388nm,500nm
150101,,,
150102,,,
150103,,,
150104,,,
150105,,,
150106,,,
150107,,,
150108,0.456,0.393,0.246
150109,,,
150110,,,
150111,0.129,0.112,0.072
150112,,,
150113,,,
150114,,,
150115,,,
150116,,,
150117,,,
150118,0.24,0.207,0.13
150119,,,
150120,0.046,0.041,0.03
150121,,,
150122,,,
150123,0.565,0.487,0.305
150124,0.323,0.278,0.175
150125,,,
150126,,,
150127,0.124,0.107,0.069
150128,,,
150129,0.088,0.078,0.055
150130,,,
150131,,,
150201,,,
150202,,,
150203,,,
150204,0.304,0.262,0.164
150205,,,
150206,,,
150207,0.123,0.108,0.075
150208,0.332,0.313,0.268
150209,0.161,0.146,0.112
150210,0.206,0.191,0.156
150211,0.311,0.268,0.168
150212,,,
150213,,,
150214,,,
150215,,,
150216,,,
150217,,,
150218,0.315,0.275,0.181
150219,0.233,0.205,0.141
150220,,,
150221,0.085,0.074,0.047
150222,,,
150223,,,
150224,0.593,0.512,0.326
150225,0.442,0.39,0.264
150226,0.267,0.239,0.174
150227,,,
150228,0.061,0.054,0.037
150301,,,
150302,0.126,0.109,0.068
150303,0.485,0.424,0.279
150304,0.195,0.168,0.105
150305,,,
150306,,,
150307,,,
150308,,,
150309,0.228,0.196,0.122
150310,,,
150311,,,
150312,0.307,0.275,0.2
150313,,,
150314,,,
150315,,,
150316,,,
150317,,,
150318,,,
150319,0.407,0.357,0.239
150320,,,
150321,,,
150322,0.324,0.283,0.187
150323,0.299,0.258,0.162
150324,0.426,0.381,0.275
150325,0.125,0.11,0.076
150326,,,
150327,0.257,0.223,0.144
150328,0.548,0.486,0.341
150329,0.246,0.217,0.149
150330,0.223,0.199,0.142
150331,0.634,0.546,0.342
150401,0.214,0.185,0.119
150402,0.216,0.186,0.117
150403,0.241,0.208,0.133
150404,,,
150405,,,
150406,0.345,0.31,0.227
150407,,,
150408,,,
150409,0.451,0.389,0.243
150410,,,
150411,,,
150412,,,
150413,0.616,0.531,0.333
150414,,,
150415,,,
150416,0.435,0.38,0.25
150417,,,
150418,0.502,0.432,0.271
150419,0.198,0.171,0.107
150420,0.676,0.584,0.37
150421,0.362,0.313,0.198
150422,,,
150423,1.058,0.912,0.572
150424,0.407,0.35,0.218
150425,0.595,0.513,0.321
150426,,,
150427,,,
150428,0.21,0.185,0.125
150429,0.425,0.391,0.312
150430,0.156,0.14,0.103
150501,0.406,0.354,0.231
150502,0.284,0.257,0.192
150503,0.37,0.318,0.199
150504,,,
150505,,,
150506,0.872,0.752,0.473
150507,,,
150508,0.533,0.459,0.287
150509,0.397,0.347,0.23
150510,,,
150511,,,
150512,,,
150513,,,
150514,,,
150515,0.393,0.355,0.265
150516,0.319,0.28,0.187
150517,0.383,0.334,0.219
150518,,,
150519,0.456,0.392,0.245
150520,,,
150521,,,
150522,0.442,0.394,0.282
150523,,,
150524,,,
150525,0.241,0.222,0.177
150526,0.311,0.268,0.168
150527,,,
150528,,,
150529,,,
150530,,,
150531,0.435,0.375,0.234
150601,0.091,0.086,0.074
150602,0.399,0.355,0.253
150603,0.338,0.292,0.183
150604,0.5,0.431,0.27
150605,,,
150606,,,
150607,1.525,1.315,0.825
150608,,,
150609,0.936,0.806,0.505
150610,0.427,0.372,0.243
150611,0.384,0.331,0.207
150612,0.381,0.342,0.252
150613,0.553,0.477,0.299
150614,,,
150615,,,
150616,,,
150617,,,
150618,,,
150619,,,
150620,0.358,0.308,0.192
150621,,,
150622,,,
150623,,,
150624,0.619,0.533,0.334
150625,,,
150626,0.261,0.226,0.146
150627,,,
150628,,,
150629,0.456,0.393,0.246
150630,,,
150701,,,
150702,,,
150703,,,
150704,0.522,0.45,0.282
150705,0.608,0.524,0.328
150706,0.487,0.42,0.263
150707,0.559,0.482,0.303
150708,,,
150709,1.286,1.174,0.908
150710,0.293,0.256,0.171
150711,0.63,0.553,0.374
150712,0.374,0.33,0.225
150713,0.298,0.262,0.177
150714,0.413,0.371,0.272
150715,0.225,0.195,0.123
150716,,,
150717,0.304,0.262,0.164
150718,0.591,0.522,0.361
150719,0.207,0.178,0.112
150720,0.559,0.482,0.303
150721,0.539,0.464,0.292
150722,0.458,0.395,0.248
150723,0.522,0.451,0.288
150724,,,
150725,0.542,0.472,0.309
150726,0.279,0.24,0.15
150727,,,
150728,0.443,0.382,0.241
150729,0.385,0.335,0.217
150730,0.682,0.588,0.369
150731,0.522,0.45,0.282
150801,,,
150802,0.234,0.201,0.125
150803,0.438,0.402,0.317
150804,0.453,0.39,0.244
150805,0.551,0.476,0.302
150806,0.392,0.338,0.212
150807,0.282,0.244,0.155
150808,0.497,0.432,0.282
150809,0.27,0.233,0.146
150810,0.619,0.546,0.376
150811,0.234,0.201,0.126
150812,1.106,0.954,0.599
150813,0.39,0.347,0.246
150814,0.626,0.54,0.339
150815,,,
150816,,,
150817,,,
150818,,,
150819,0.685,0.59,0.37
150820,,,
150821,0.639,0.55,0.345
150822,,,
150823,0.431,0.372,0.234
150824,0.903,0.779,0.49
150825,0.216,0.187,0.12
150826,0.545,0.49,0.359
150827,0.452,0.39,0.244
150828,,,
150829,0.446,0.388,0.254
150830,0.65,0.561,0.353
150831,,,
150901,0.422,0.364,0.229
150902,,,
150903,,,
150904,,,
150905,0.326,0.281,0.176
150906,0.494,0.429,0.276
150907,0.542,0.467,0.293
150908,0.404,0.349,0.22
150909,,,
150910,,,
150911,,,
150912,,,
150913,0.691,0.595,0.373
150914,,,
150915,0.505,0.435,0.274
150916,,,
150917,0.347,0.299,0.187
150918,,,
150919,,,
150920,1.005,0.867,0.545
150921,,,
150922,,,
150923,0.471,0.406,0.255
150924,0.331,0.285,0.179
150925,,,
150926,,,
150927,,,
150928,,,
150929,,,
150930,,,
151001,0.4,0.345,0.217
151002,,,
151003,0.276,0.238,0.149
151004,,,
151005,,,
151006,,,
151007,,,
151008,,,
151009,,,
151010,0.422,0.364,0.228
151011,,,
151012,0.201,0.173,0.108
151013,,,
151014,0.249,0.216,0.138
151015,0.407,0.353,0.229
151016,,,
151017,,,
151018,,,
151019,0.169,0.146,0.091
151020,,,
151021,0.169,0.145,0.09
151022,0.638,0.55,0.344
151023,,,
151024,,,
151025,0.306,0.264,0.166
151026,0.126,0.11,0.073
151027,,,
151028,0.215,0.186,0.117
151029,,,
151030,,,
151031,,,
151101,0.21,0.196,0.163
151102,0.146,0.129,0.09
151103,,,
151104,,,
151105,,,
151106,,,
151107,,,
151108,,,
151109,0.249,0.214,0.135
151110,0.275,0.237,0.149
151111,0.104,0.092,0.063
151112,,,
151113,,,
151114,,,
151115,,,
151116,0.385,0.332,0.208
151117,0.328,0.31,0.266
151118,0.143,0.128,0.093
151119,,,
151120,0.199,0.172,0.108
151121,,,
151122,0.097,0.084,0.054
