Dates,354nm,388nm,500nm
2017-07-20,0.34,0.293,0.184
2017-07-21,,,
2017-07-22,0.217,0.187,0.116
2017-07-23,0.704,0.629,0.454
2017-07-24,0.441,0.382,0.244
2017-07-25,0.73,0.633,0.405
2017-07-26,0.455,0.394,0.251
2017-07-27,0.42,0.364,0.234
2017-07-28,0.437,0.405,0.329
2017-07-29,0.163,0.141,0.089
2017-07-30,0.959,0.895,0.743
2017-07-31,,,
2017-08-01,,,
2017-08-02,,,
2017-08-03,,,
2017-08-04,0.765,0.659,0.414
2017-08-05,0.44,0.379,0.237
2017-08-06,,,
2017-08-07,0.292,0.251,0.157
2017-08-08,1.17,1.009,0.634
2017-08-09,,,
2017-08-10,0.832,0.717,0.451
2017-08-11,0.556,0.48,0.301
2017-08-12,0.28,0.243,0.157
2017-08-13,0.445,0.421,0.361
2017-08-14,0.335,0.289,0.181
2017-08-15,0.603,0.527,0.351
2017-08-16,0.268,0.23,0.143
2017-08-17,0.703,0.618,0.419
2017-08-18,0.428,0.369,0.232
2017-08-19,0.571,0.493,0.31
2017-08-20,0.772,0.666,0.419
2017-08-21,0.37,0.319,0.199
2017-08-22,,,
2017-08-23,,,
2017-08-24,,,
2017-08-25,,,
2017-08-26,,,
2017-08-27,0.486,0.418,0.262
2017-08-28,,,
2017-08-29,,,
2017-08-30,0.147,0.127,0.08
2017-08-31,0.456,0.393,0.247
2017-09-01,,,
2017-09-02,,,
2017-09-03,,,
2017-09-04,,,
2017-09-05,,,
2017-09-06,,,
2017-09-07,,,
2017-09-08,0.318,0.274,0.172
2017-09-09,,,
2017-09-10,0.438,0.378,0.237
2017-09-11,0.574,0.5,0.327
2017-09-12,0.588,0.513,0.338
2017-09-13,0.565,0.49,0.311
2017-09-14,0.688,0.594,0.374
2017-09-15,0.379,0.327,0.206
2017-09-16,0.536,0.484,0.362
2017-09-17,,,
2017-09-18,,,
2017-09-19,,,
2017-09-20,0.543,0.469,0.295
2017-09-21,0.614,0.53,0.334
2017-09-22,,,
2017-09-23,,,
2017-09-24,,,
2017-09-25,,,
2017-09-26,,,
2017-09-27,,,
2017-09-28,,,
2017-09-29,,,
2017-09-30,,,
2017-10-01,,,
2017-10-02,0.768,0.663,0.417
2017-10-03,,,
2017-10-04,,,
2017-10-05,,,
2017-10-06,0.354,0.307,0.198
2017-10-07,,,
2017-10-08,0.174,0.15,0.094
2017-10-09,,,
2017-10-10,,,
2017-10-11,0.618,0.533,0.335
2017-10-12,0.285,0.245,0.154
2017-10-13,0.294,0.258,0.175
2017-10-14,0.528,0.455,0.287
2017-10-15,0.311,0.268,0.169
2017-10-16,,,
2017-10-17,0.081,0.071,0.048
2017-10-18,0.228,0.216,0.185
2017-10-19,0.275,0.238,0.152
2017-10-20,0.405,0.351,0.226
2017-10-21,0.293,0.253,0.159
2017-10-22,,,
2017-10-23,,,
2017-10-24,0.176,0.153,0.099
2017-10-25,,,
2017-10-26,0.095,0.085,0.062
2017-10-27,0.345,0.307,0.216
2017-10-28,0.232,0.208,0.151
2017-10-29,0.183,0.163,0.115
2017-10-30,0.072,0.062,0.039
2017-10-31,0.137,0.118,0.075
2017-11-01,,,
2017-11-02,0.113,0.098,0.063
2017-11-03,0.516,0.466,0.348
2017-11-04,0.198,0.172,0.109
2017-11-05,,,
2017-11-06,0.248,0.227,0.176
2017-11-07,0.138,0.125,0.095
2017-11-08,,,
2017-11-09,0.177,0.152,0.095
2017-11-10,,,
2017-11-11,0.23,0.198,0.125
2017-11-12,0.34,0.301,0.209
2017-11-13,,,
2017-11-14,0.254,0.222,0.149
2017-11-15,0.22,0.19,0.12
2017-11-16,0.167,0.146,0.096
2017-11-17,,,
2017-11-18,0.085,0.074,0.047
2017-11-19,0.412,0.372,0.278
2017-11-20,0.249,0.221,0.153
2017-11-21,0.277,0.244,0.166
2017-11-22,0.3,0.27,0.201
2017-11-23,0.137,0.126,0.102
2017-11-24,,,
2017-11-25,0.081,0.071,0.049
2017-11-26,,,
2017-11-27,0.123,0.107,0.068
2017-11-28,0.389,0.361,0.294
2017-11-29,0.166,0.144,0.091
2017-11-30,0.184,0.162,0.112
2017-12-01,0.881,0.832,0.714
2017-12-02,0.145,0.127,0.085
2017-12-03,,,
2017-12-04,0.123,0.106,0.067
2017-12-05,0.771,0.717,0.588
2017-12-06,,,
2017-12-07,,,
2017-12-08,0.24,0.223,0.183
2017-12-09,0.126,0.11,0.072
2017-12-10,,,
2017-12-11,,,
2017-12-12,,,
2017-12-13,0.103,0.089,0.056
2017-12-14,,,
2017-12-15,,,
2017-12-16,,,
2017-12-17,0.354,0.306,0.193
2017-12-18,0.056,0.052,0.045
2017-12-19,,,
2017-12-20,0.132,0.114,0.071
2017-12-21,0.673,0.616,0.481
2017-12-22,,,
2017-12-23,0.335,0.288,0.179
2017-12-24,0.244,0.214,0.144
2017-12-25,0.187,0.161,0.101
2017-12-26,,,
2017-12-27,0.183,0.158,0.099
2017-12-28,,,
2017-12-29,,,
2017-12-30,0.504,0.454,0.335
2017-12-31,,,
2018-01-01,,,
2018-01-02,,,
2018-01-03,0.098,0.086,0.056
2018-01-04,,,
2018-01-05,0.094,0.081,0.051
2018-01-06,0.698,0.643,0.513
2018-01-07,0.357,0.318,0.225
2018-01-08,,,
2018-01-09,0.234,0.202,0.127
2018-01-10,0.14,0.122,0.08
2018-01-11,,,
2018-01-12,0.05,0.045,0.035
2018-01-13,,,
2018-01-14,0.121,0.106,0.07
2018-01-15,0.365,0.329,0.242
2018-01-16,0.306,0.264,0.167
2018-01-17,,,
2018-01-18,,,
2018-01-19,0.176,0.153,0.101
2018-01-20,,,
2018-01-21,0.16,0.138,0.087
2018-01-22,,,
2018-01-23,,,
2018-01-24,0.295,0.257,0.17
2018-01-25,0.284,0.245,0.153
2018-01-26,0.095,0.082,0.051
2018-01-27,,,
2018-01-28,,,
2018-01-29,,,
2018-01-30,0.143,0.124,0.08
2018-01-31,0.476,0.411,0.259
2018-02-01,0.126,0.109,0.068
2018-02-02,,,
2018-02-03,,,
2018-02-04,0.209,0.186,0.131
2018-02-05,,,
2018-02-06,,,
2018-02-07,,,
2018-02-08,,,
2018-02-09,,,
2018-02-10,0.161,0.147,0.114
2018-02-11,0.323,0.284,0.193
2018-02-12,,,
2018-02-13,,,
2018-02-14,,,
2018-02-15,0.174,0.153,0.102
2018-02-16,0.539,0.473,0.318
2018-02-17,0.627,0.592,0.508
2018-02-18,0.36,0.314,0.206
2018-02-19,,,
2018-02-20,,,
2018-02-21,,,
2018-02-22,,,
2018-02-23,0.91,0.789,0.507
2018-02-24,,,
2018-02-25,0.375,0.325,0.21
2018-02-26,,,
2018-02-27,0.484,0.418,0.262
2018-02-28,,,
2018-03-01,0.163,0.143,0.095
2018-03-02,,,
2018-03-03,0.18,0.155,0.097
2018-03-04,0.665,0.577,0.37
2018-03-05,0.213,0.191,0.14
2018-03-06,,,
2018-03-07,0.295,0.255,0.16
2018-03-08,0.209,0.181,0.115
2018-03-09,,,
2018-03-10,0.09,0.079,0.053
2018-03-11,0.159,0.15,0.129
2018-03-12,,,
2018-03-13,,,
2018-03-14,,,
2018-03-15,0.294,0.254,0.163
2018-03-16,,,
2018-03-17,0.193,0.168,0.107
2018-03-18,,,
2018-03-19,0.115,0.103,0.073
2018-03-20,0.529,0.483,0.373
2018-03-21,0.428,0.369,0.232
2018-03-22,0.242,0.219,0.165
2018-03-23,,,
2018-03-24,0.297,0.256,0.16
2018-03-25,,,
2018-03-26,0.248,0.214,0.133
2018-03-27,0.747,0.644,0.404
2018-03-28,,,
2018-03-29,0.335,0.303,0.228
2018-03-30,0.325,0.281,0.177
2018-03-31,0.229,0.203,0.141
2018-04-01,,,
2018-04-02,0.234,0.205,0.136
2018-04-03,,,
2018-04-04,,,
2018-04-05,0.459,0.413,0.305
2018-04-06,0.284,0.253,0.181
2018-04-07,0.366,0.32,0.214
2018-04-08,0.627,0.546,0.357
2018-04-09,0.329,0.284,0.177
2018-04-10,,,
2018-04-11,0.38,0.332,0.215
2018-04-12,,,
2018-04-13,0.236,0.21,0.15
2018-04-14,,,
2018-04-15,0.316,0.281,0.199
2018-04-16,0.235,0.213,0.16
2018-04-17,0.492,0.432,0.291
2018-04-18,0.376,0.325,0.205
2018-04-19,,,
2018-04-20,,,
2018-04-21,0.634,0.559,0.381
2018-04-22,0.317,0.273,0.171
2018-04-23,0.61,0.527,0.331
2018-04-24,,,
2018-04-25,,,
2018-04-26,,,
2018-04-27,,,
2018-04-28,,,
2018-04-29,,,
2018-04-30,0.339,0.315,0.255
2018-05-01,0.339,0.306,0.229
2018-05-02,0.542,0.467,0.292
2018-05-03,0.487,0.42,0.262
2018-05-04,,,
2018-05-05,,,
2018-05-06,0.313,0.27,0.169
2018-05-07,0.764,0.678,0.475
2018-05-08,0.262,0.235,0.172
2018-05-09,0.362,0.321,0.227
2018-05-10,0.596,0.523,0.352
2018-05-11,0.296,0.257,0.165
2018-05-12,,,
2018-05-13,,,
2018-05-14,0.414,0.391,0.336
2018-05-15,,,
2018-05-16,,,
2018-05-17,0.339,0.295,0.191
2018-05-18,0.32,0.277,0.178
2018-05-19,0.551,0.476,0.302
2018-05-20,0.446,0.384,0.24
2018-05-21,,,
2018-05-22,0.424,0.365,0.228
2018-05-23,0.899,0.775,0.486
2018-05-24,0.477,0.411,0.258
2018-05-25,0.449,0.39,0.253
2018-05-26,0.34,0.293,0.185
2018-05-27,0.206,0.19,0.152
2018-05-28,,,
2018-05-29,0.278,0.24,0.152
2018-05-30,0.823,0.747,0.567
2018-05-31,0.471,0.406,0.254
2018-06-01,0.925,0.797,0.5
2018-06-02,0.305,0.271,0.191
2018-06-03,0.374,0.327,0.217
2018-06-04,,,
2018-06-05,0.124,0.109,0.074
2018-06-06,,,
2018-06-07,0.363,0.313,0.195
2018-06-08,0.708,0.619,0.411
2018-06-09,,,
2018-06-10,0.386,0.337,0.223
2018-06-11,0.527,0.454,0.285
2018-06-12,,,
2018-06-13,,,
2018-06-14,0.32,0.275,0.171
2018-06-15,,,
2018-06-16,,,
2018-06-17,,,
2018-06-18,,,
2018-06-19,,,
2018-06-20,,,
2018-06-21,,,
2018-06-22,,,
2018-06-23,0.28,0.241,0.151
2018-06-24,0.604,0.532,0.365
2018-06-25,,,
2018-06-26,0.529,0.456,0.287
2018-06-27,0.285,0.245,0.152
2018-06-28,0.31,0.267,0.168
2018-06-29,,,
2018-06-30,0.193,0.167,0.105
2018-07-01,0.993,0.936,0.8
2018-07-02,0.21,0.182,0.117
2018-07-03,0.626,0.557,0.394
2018-07-04,0.502,0.441,0.298
2018-07-05,0.933,0.805,0.506
2018-07-06,0.599,0.516,0.322
2018-07-07,,,
2018-07-08,,,
2018-07-09,0.344,0.296,0.185
2018-07-10,0.774,0.69,0.493
2018-07-11,0.281,0.248,0.171
2018-07-12,0.402,0.359,0.259
2018-07-13,0.496,0.449,0.338
2018-07-14,0.323,0.28,0.18
2018-07-15,,,
2018-07-16,0.448,0.395,0.272
2018-07-17,0.917,0.861,0.726
2018-07-18,0.171,0.148,0.093
2018-07-19,,,
2018-07-20,0.375,0.327,0.212
2018-07-21,0.336,0.297,0.207
2018-07-22,0.429,0.386,0.286
2018-07-23,0.172,0.15,0.098
2018-07-24,,,
2018-07-25,,,
2018-07-26,1.206,1.04,0.653
2018-07-27,,,
2018-07-28,0.533,0.467,0.314
2018-07-29,0.555,0.478,0.3
2018-07-30,0.479,0.413,0.26
2018-07-31,,,
2018-08-01,,,
2018-08-02,0.867,0.759,0.507
2018-08-03,0.458,0.395,0.249
2018-08-04,0.913,0.787,0.494
2018-08-05,,,
2018-08-06,,,
2018-08-07,,,
2018-08-08,0.35,0.302,0.191
2018-08-09,,,
2018-08-10,0.289,0.249,0.157
2018-08-11,,,
2018-08-12,,,
2018-08-13,0.584,0.509,0.333
2018-08-14,0.714,0.617,0.39
2018-08-15,0.344,0.298,0.189
2018-08-16,,,
2018-08-17,0.279,0.241,0.152
2018-08-18,0.812,0.715,0.489
2018-08-19,0.273,0.235,0.148
2018-08-20,,,
2018-08-21,0.747,0.643,0.403
2018-08-22,0.412,0.36,0.239
2018-08-23,0.461,0.407,0.282
2018-08-24,0.332,0.288,0.186
2018-08-25,,,
2018-08-26,0.291,0.251,0.157
2018-08-27,0.68,0.602,0.42
2018-08-28,0.39,0.336,0.211
2018-08-29,0.496,0.428,0.268
2018-08-30,,,
2018-08-31,,,
2018-09-01,,,
2018-09-02,0.361,0.311,0.194
2018-09-03,,,
2018-09-04,,,
2018-09-05,0.803,0.692,0.435
2018-09-06,,,
2018-09-07,,,
2018-09-08,0.493,0.425,0.267
2018-09-09,,,
2018-09-10,,,
2018-09-11,,,
2018-09-12,0.838,0.728,0.471
2018-09-13,,,
2018-09-14,,,
2018-09-15,,,
2018-09-16,,,
2018-09-17,,,
2018-09-18,,,
2018-09-19,,,
2018-09-20,,,
2018-09-21,,,
2018-09-22,,,
2018-09-23,0.367,0.317,0.199
2018-09-24,,,
2018-09-25,0.182,0.157,0.1
2018-09-26,,,
2018-09-27,,,
2018-09-28,,,
2018-09-29,,,
2018-09-30,0.622,0.536,0.336
2018-10-01,,,
2018-10-02,0.347,0.3,0.191
2018-10-03,,,
2018-10-04,0.304,0.263,0.166
2018-10-05,0.451,0.405,0.296
2018-10-06,0.225,0.194,0.121
2018-10-07,0.589,0.508,0.319
2018-10-08,,,
2018-10-09,0.188,0.164,0.108
2018-10-10,,,
2018-10-11,,,
2018-10-12,,,
2018-10-13,0.174,0.152,0.1
2018-10-14,0.522,0.455,0.299
2018-10-15,,,
2018-10-16,,,
2018-10-17,,,
2018-10-18,,,
2018-10-19,,,
2018-10-20,,,
2018-10-21,,,
2018-10-22,,,
2018-10-23,,,
2018-10-24,,,
2018-10-25,,,
2018-10-26,,,
2018-10-27,0.142,0.122,0.077
2018-10-28,,,
2018-10-29,0.063,0.057,0.042
2018-10-30,0.351,0.31,0.214
2018-10-31,,,
2018-11-01,0.103,0.093,0.07
2018-11-02,0.254,0.219,0.137
2018-11-03,0.13,0.112,0.071
2018-11-04,,,
2018-11-05,0.07,0.063,0.046
2018-11-06,0.417,0.383,0.301
2018-11-07,0.23,0.202,0.136
2018-11-08,0.423,0.365,0.23
2018-11-09,,,
2018-11-10,,,
2018-11-11,,,
2018-11-12,,,
2018-11-13,,,
2018-11-14,0.057,0.052,0.039
2018-11-15,0.288,0.252,0.168
2018-11-16,0.193,0.174,0.129
2018-11-17,,,
2018-11-18,,,
2018-11-19,,,
2018-11-20,,,
2018-11-21,0.109,0.096,0.065
2018-11-22,0.819,0.772,0.66
2018-11-23,0.224,0.197,0.134
2018-11-24,,,
2018-11-25,,,
2018-11-26,0.141,0.123,0.083
2018-11-27,,,
2018-11-28,,,
2018-11-29,,,
2018-11-30,0.065,0.059,0.046
2018-12-01,0.281,0.261,0.213
2018-12-02,0.086,0.075,0.05
2018-12-03,0.117,0.104,0.074
2018-12-04,0.206,0.178,0.112
2018-12-05,0.112,0.097,0.061
2018-12-06,,,
2018-12-07,,,
2018-12-08,0.619,0.566,0.439
2018-12-09,0.164,0.144,0.097
2018-12-10,0.191,0.169,0.116
2018-12-11,,,
2018-12-12,,,
2018-12-13,,,
2018-12-14,0.056,0.051,0.038
2018-12-15,,,
2018-12-16,,,
2018-12-17,0.408,0.373,0.291
2018-12-18,0.129,0.121,0.104
2018-12-19,0.087,0.077,0.055
2018-12-20,,,
2018-12-21,0.031,0.028,0.02
2018-12-22,,,
2018-12-23,0.111,0.097,0.062
2018-12-24,0.539,0.497,0.398
2018-12-25,,,
2018-12-26,,,
2018-12-27,0.203,0.182,0.133
2018-12-28,0.153,0.136,0.096
2018-12-29,,,
2018-12-30,,,
2018-12-31,,,
2019-01-01,,,
2019-01-02,,,
2019-01-03,0.198,0.173,0.112
2019-01-04,0.192,0.169,0.115
2019-01-05,0.048,0.041,0.026
2019-01-06,0.204,0.176,0.111
2019-01-07,,,
2019-01-08,0.194,0.167,0.105
2019-01-09,0.316,0.285,0.211
2019-01-10,0.16,0.138,0.088
2019-01-11,0.396,0.342,0.215
2019-01-12,0.202,0.179,0.123
2019-01-13,0.235,0.203,0.128
2019-01-14,,,
2019-01-15,,,
2019-01-16,,,
2019-01-17,,,
2019-01-18,0.673,0.581,0.366
2019-01-19,0.148,0.128,0.081
2019-01-20,0.122,0.108,0.075
2019-01-21,,,
2019-01-22,0.189,0.164,0.107
2019-01-23,,,
2019-01-24,0.04,0.037,0.028
2019-01-25,0.378,0.336,0.238
2019-01-26,0.193,0.173,0.126
2019-01-27,,,
2019-01-28,0.285,0.261,0.206
2019-01-29,0.103,0.092,0.066
2019-01-30,,,
2019-01-31,0.085,0.073,0.046
2019-02-01,,,
2019-02-02,0.36,0.31,0.195
2019-02-03,0.477,0.416,0.274
2019-02-04,,,
2019-02-05,0.319,0.275,0.172
2019-02-06,0.319,0.275,0.174
2019-02-07,0.277,0.24,0.152
2019-02-08,,,
2019-02-09,,,
2019-02-10,0.549,0.478,0.311
2019-02-11,0.186,0.161,0.101
2019-02-12,,,
2019-02-13,,,
2019-02-14,0.307,0.266,0.17
2019-02-15,,,
2019-02-16,0.108,0.096,0.07
2019-02-17,,,
2019-02-18,0.174,0.151,0.098
2019-02-19,0.615,0.543,0.373
2019-02-20,0.234,0.218,0.18
2019-02-21,0.229,0.209,0.161
2019-02-22,,,
2019-02-23,,,
2019-02-24,,,
2019-02-25,0.04,0.037,0.028
2019-02-26,0.535,0.47,0.317
2019-02-27,0.231,0.201,0.132
2019-02-28,,,
2019-03-01,,,
2019-03-02,0.238,0.213,0.154
2019-03-03,,,
2019-03-04,,,
2019-03-05,,,
2019-03-06,0.117,0.101,0.063
2019-03-07,0.551,0.478,0.307
2019-03-08,0.345,0.297,0.187
2019-03-09,0.436,0.38,0.249
2019-03-10,,,
2019-03-11,0.392,0.338,0.212
2019-03-12,,,
2019-03-13,0.124,0.108,0.072
2019-03-14,0.669,0.577,0.364
2019-03-15,,,
2019-03-16,,,
2019-03-17,,,
2019-03-18,,,
2019-03-19,,,
2019-03-20,0.294,0.253,0.159
2019-03-21,,,
2019-03-22,0.552,0.475,0.299
2019-03-23,0.472,0.422,0.304
2019-03-24,0.312,0.27,0.171
2019-03-25,0.534,0.47,0.319
2019-03-26,,,
2019-03-27,,,
2019-03-28,,,
2019-03-29,0.201,0.182,0.137
2019-03-30,0.893,0.77,0.484
2019-03-31,0.29,0.25,0.156
2019-04-01,,,
2019-04-02,0.705,0.611,0.392
2019-04-03,0.316,0.281,0.199
2019-04-04,0.499,0.439,0.297
2019-04-05,,,
2019-04-06,,,
2019-04-07,0.285,0.247,0.16
2019-04-08,0.518,0.467,0.345
2019-04-09,0.267,0.239,0.172
2019-04-10,0.349,0.325,0.268
2019-04-11,0.441,0.415,0.353
2019-04-12,0.352,0.303,0.19
2019-04-13,,,
2019-04-14,0.216,0.187,0.119
2019-04-15,0.697,0.631,0.477
2019-04-16,0.808,0.71,0.463
2019-04-17,0.434,0.383,0.263
2019-04-18,0.364,0.325,0.234
2019-04-19,0.365,0.315,0.2
2019-04-20,0.433,0.385,0.273
2019-04-21,0.25,0.217,0.139
2019-04-22,,,
2019-04-23,,,
2019-04-24,0.797,0.701,0.476
2019-04-25,0.377,0.336,0.239
2019-04-26,0.425,0.374,0.255
2019-04-27,0.456,0.41,0.302
2019-04-28,0.399,0.344,0.216
2019-04-29,,,
2019-04-30,,,
2019-05-01,0.837,0.751,0.549
2019-05-02,,,
2019-05-03,,,
2019-05-04,0.816,0.704,0.443
2019-05-05,0.328,0.283,0.177
2019-05-06,,,
2019-05-07,0.156,0.138,0.096
2019-05-08,,,
2019-05-09,0.426,0.37,0.24
2019-05-10,0.612,0.53,0.338
2019-05-11,0.32,0.287,0.208
2019-05-12,0.53,0.464,0.312
2019-05-13,0.78,0.714,0.557
2019-05-14,0.391,0.337,0.21
2019-05-15,,,
2019-05-16,,,
2019-05-17,0.629,0.572,0.434
2019-05-18,0.285,0.253,0.18
2019-05-19,0.676,0.588,0.383
2019-05-20,0.693,0.598,0.377
2019-05-21,0.361,0.32,0.224
2019-05-22,,,
2019-05-23,0.569,0.495,0.323
2019-05-24,,,
2019-05-25,0.31,0.267,0.167
2019-05-26,0.99,0.885,0.641
2019-05-27,0.299,0.257,0.161
2019-05-28,0.617,0.534,0.342
2019-05-29,0.597,0.514,0.322
2019-05-30,,,
2019-05-31,,,
2019-06-01,0.395,0.34,0.213
2019-06-02,0.463,0.437,0.375
2019-06-03,,,
2019-06-04,,,
2019-06-05,,,
2019-06-06,0.302,0.26,0.163
2019-06-07,0.494,0.426,0.268
2019-06-08,0.194,0.167,0.104
2019-06-09,,,
2019-06-10,,,
2019-06-11,1.017,0.877,0.55
2019-06-12,,,
2019-06-13,0.587,0.508,0.324
2019-06-14,0.448,0.393,0.265
2019-06-15,0.296,0.257,0.166
2019-06-16,,,
2019-06-17,,,
2019-06-18,1.206,1.04,0.652
2019-06-19,0.239,0.205,0.128
2019-06-20,0.591,0.514,0.334
2019-06-21,,,
2019-06-22,0.349,0.305,0.204
2019-06-23,0.671,0.579,0.365
2019-06-24,,,
2019-06-25,,,
2019-06-26,0.213,0.201,0.173
2019-06-27,0.681,0.595,0.393
2019-06-28,0.543,0.468,0.293
2019-06-29,0.5,0.44,0.3
2019-06-30,0.584,0.521,0.374
2019-07-01,0.357,0.308,0.193
2019-07-02,,,
2019-07-03,,,
2019-07-04,0.95,0.834,0.563
2019-07-05,0.253,0.218,0.136
2019-07-06,,,
2019-07-07,0.478,0.412,0.257
2019-07-08,0.406,0.352,0.226
2019-07-09,0.437,0.389,0.277
2019-07-10,0.321,0.276,0.173
2019-07-11,,,
2019-07-12,,,
2019-07-13,0.964,0.831,0.521
2019-07-14,,,
2019-07-15,0.672,0.58,0.364
2019-07-16,0.503,0.434,0.272
2019-07-17,0.501,0.433,0.273
2019-07-18,,,
2019-07-19,0.218,0.188,0.118
2019-07-20,0.698,0.641,0.507
2019-07-21,0.46,0.397,0.25
2019-07-22,,,
2019-07-23,,,
2019-07-24,,,
2019-07-25,0.557,0.484,0.314
2019-07-26,0.186,0.171,0.136
2019-07-27,,,
2019-07-28,0.256,0.221,0.138
2019-07-29,0.616,0.553,0.406
2019-07-30,0.56,0.483,0.304
2019-07-31,0.465,0.411,0.285
2019-08-01,0.748,0.666,0.472
2019-08-02,0.584,0.504,0.317
2019-08-03,,,
2019-08-04,0.386,0.332,0.207
2019-08-05,1.155,0.995,0.624
2019-08-06,,,
2019-08-07,,,
2019-08-08,0.169,0.146,0.092
2019-08-09,0.376,0.33,0.222
2019-08-10,0.532,0.493,0.399
2019-08-11,0.329,0.284,0.178
2019-08-12,,,
2019-08-13,0.298,0.257,0.161
2019-08-14,0.959,0.837,0.553
2019-08-15,0.412,0.356,0.223
2019-08-16,0.63,0.543,0.341
2019-08-17,0.616,0.548,0.389
2019-08-18,0.387,0.334,0.209
2019-08-19,,,
2019-08-20,0.299,0.258,0.162
2019-08-21,1.252,1.182,1.014
2019-08-22,,,
2019-08-23,0.909,0.812,0.585
2019-08-24,,,
2019-08-25,0.596,0.514,0.322
2019-08-26,0.615,0.542,0.37
2019-08-27,0.341,0.294,0.184
2019-08-28,,,
2019-08-29,0.301,0.26,0.163
2019-08-30,0.901,0.779,0.494
2019-08-31,,,
2019-09-01,,,
2019-09-02,0.829,0.715,0.45
2019-09-03,,,
2019-09-04,,,
2019-09-05,,,
2019-09-06,,,
2019-09-07,,,
2019-09-08,,,
2019-09-09,,,
2019-09-10,0.459,0.396,0.249
2019-09-11,0.463,0.399,0.25
2019-09-12,0.355,0.306,0.192
2019-09-13,,,
2019-09-14,,,
2019-09-15,0.938,0.809,0.508
2019-09-16,,,
2019-09-17,0.54,0.466,0.292
2019-09-18,0.642,0.573,0.409
2019-09-19,,,
2019-09-20,,,
2019-09-21,0.176,0.151,0.095
2019-09-22,1.15,1.075,0.897
2019-09-23,,,
2019-09-24,0.671,0.579,0.364
2019-09-25,,,
2019-09-26,,,
2019-09-27,,,
2019-09-28,0.248,0.213,0.133
2019-09-29,,,
2019-09-30,,,
2019-10-01,0.811,0.714,0.484
2019-10-02,,,
2019-10-03,0.567,0.489,0.307
2019-10-04,,,
2019-10-05,0.25,0.216,0.136
2019-10-06,,,
2019-10-07,,,
2019-10-08,0.553,0.485,0.327
2019-10-09,0.244,0.211,0.135
2019-10-10,,,
2019-10-11,,,
2019-10-12,,,
2019-10-13,,,
2019-10-14,0.247,0.214,0.135
2019-10-15,,,
2019-10-16,,,
2019-10-17,,,
2019-10-18,0.201,0.173,0.109
2019-10-19,0.245,0.215,0.144
2019-10-20,,,
2019-10-21,,,
2019-10-22,,,
2019-10-23,0.389,0.336,0.211
2019-10-24,0.232,0.2,0.125
2019-10-25,0.223,0.193,0.121
2019-10-26,0.207,0.19,0.15
2019-10-27,0.203,0.186,0.147
2019-10-28,0.242,0.209,0.133
2019-10-29,,,
2019-10-30,0.057,0.05,0.033
2019-10-31,,,
2019-11-01,0.159,0.137,0.087
2019-11-02,0.466,0.41,0.278
2019-11-03,0.297,0.262,0.181
2019-11-04,0.274,0.24,0.161
2019-11-05,,,
2019-11-06,0.289,0.249,0.156
2019-11-07,,,
2019-11-08,,,
2019-11-09,,,
2019-11-10,0.202,0.174,0.108
2019-11-11,,,
2019-11-12,,,
2019-11-13,,,
2019-11-14,,,
2019-11-15,0.145,0.125,0.079
2019-11-16,,,
2019-11-17,,,
2019-11-18,0.696,0.648,0.534
2019-11-19,0.224,0.193,0.122
2019-11-20,0.268,0.233,0.149
2019-11-21,0.318,0.275,0.173
2019-11-22,0.131,0.114,0.074
2019-11-23,,,
2019-11-24,0.129,0.111,0.07
2019-11-25,0.189,0.179,0.154
2019-11-26,,,
2019-11-27,,,
2019-11-28,,,
2019-11-29,0.282,0.243,0.153
2019-11-30,,,
2019-12-01,0.078,0.067,0.043
2019-12-02,,,
2019-12-03,0.073,0.064,0.042
2019-12-04,0.286,0.265,0.216
2019-12-05,0.183,0.16,0.107
2019-12-06,0.233,0.202,0.129
2019-12-07,0.329,0.284,0.18
2019-12-08,0.147,0.127,0.082
2019-12-09,,,
2019-12-10,0.027,0.025,0.021
2019-12-11,0.588,0.556,0.477
2019-12-12,0.214,0.187,0.123
2019-12-13,0.199,0.182,0.141
2019-12-14,0.187,0.177,0.151
2019-12-15,0.088,0.08,0.061
2019-12-16,,,
2019-12-17,0.024,0.02,0.013
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,0.243,0.21,0.132
2019-12-22,0.114,0.1,0.068
2019-12-23,0.174,0.15,0.095
2019-12-24,0.076,0.067,0.048
2019-12-25,,,
2019-12-26,,,
2019-12-27,0.703,0.607,0.384
2019-12-28,,,
2019-12-29,0.289,0.252,0.167
2019-12-30,0.239,0.212,0.148
2019-12-31,,,
2020-01-01,,,
2020-01-02,0.069,0.061,0.044
2020-01-03,,,
2020-01-04,0.06,0.052,0.033
2020-01-05,0.273,0.25,0.195
2020-01-06,0.193,0.17,0.114
2020-01-07,0.196,0.173,0.121
2020-01-08,,,
2020-01-09,0.188,0.162,0.102
2020-01-10,,,
2020-01-11,0.045,0.039,0.026
2020-01-12,,,
2020-01-13,,,
2020-01-14,0.392,0.34,0.217
2020-01-15,,,
2020-01-16,0.195,0.168,0.104
2020-01-17,,,
2020-01-18,0.195,0.168,0.106
2020-01-19,,,
2020-01-20,0.142,0.122,0.077
2020-01-21,0.363,0.315,0.202
2020-01-22,,,
2020-01-23,0.214,0.189,0.13
2020-01-24,0.252,0.218,0.138
2020-01-25,,,
2020-01-26,,,
2020-01-27,0.075,0.066,0.043
2020-01-28,0.54,0.504,0.418
2020-01-29,0.187,0.166,0.115
2020-01-30,,,
