Dates,354nm,388nm,500nm
2015-08-07,0.282,0.244,0.155
2015-08-08,0.497,0.432,0.282
2015-08-09,0.27,0.233,0.146
2015-08-10,0.619,0.546,0.376
2015-08-11,0.234,0.201,0.126
2015-08-12,1.106,0.954,0.599
2015-08-13,0.39,0.347,0.246
2015-08-14,0.626,0.54,0.339
2015-08-15,,,
2015-08-16,,,
2015-08-17,,,
2015-08-18,,,
2015-08-19,0.685,0.59,0.37
2015-08-20,,,
2015-08-21,0.639,0.55,0.345
2015-08-22,,,
2015-08-23,0.431,0.372,0.234
2015-08-24,0.903,0.779,0.49
2015-08-25,0.216,0.187,0.12
2015-08-26,0.545,0.49,0.359
2015-08-27,0.452,0.39,0.244
2015-08-28,,,
2015-08-29,0.446,0.388,0.254
2015-08-30,0.65,0.561,0.353
2015-08-31,,,
2015-09-01,0.422,0.364,0.229
2015-09-02,,,
2015-09-03,,,
2015-09-04,,,
2015-09-05,0.326,0.281,0.176
2015-09-06,0.494,0.429,0.276
2015-09-07,0.542,0.467,0.293
2015-09-08,0.404,0.349,0.22
2015-09-09,,,
2015-09-10,,,
2015-09-11,,,
2015-09-12,,,
2015-09-13,0.691,0.595,0.373
2015-09-14,,,
2015-09-15,0.505,0.435,0.274
2015-09-16,,,
2015-09-17,0.347,0.299,0.187
2015-09-18,,,
2015-09-19,,,
2015-09-20,1.005,0.867,0.545
2015-09-21,,,
2015-09-22,,,
2015-09-23,0.471,0.406,0.255
2015-09-24,0.331,0.285,0.179
2015-09-25,,,
2015-09-26,,,
2015-09-27,,,
2015-09-28,,,
2015-09-29,,,
2015-09-30,,,
2015-10-01,0.4,0.345,0.217
2015-10-02,,,
2015-10-03,0.276,0.238,0.149
2015-10-04,,,
2015-10-05,,,
2015-10-06,,,
2015-10-07,,,
2015-10-08,,,
2015-10-09,,,
2015-10-10,0.422,0.364,0.228
2015-10-11,,,
2015-10-12,0.201,0.173,0.108
2015-10-13,,,
2015-10-14,0.249,0.216,0.138
2015-10-15,0.407,0.353,0.229
2015-10-16,,,
2015-10-17,,,
2015-10-18,,,
2015-10-19,0.169,0.146,0.091
2015-10-20,,,
2015-10-21,0.169,0.145,0.09
2015-10-22,0.638,0.55,0.344
2015-10-23,,,
2015-10-24,,,
2015-10-25,0.306,0.264,0.166
2015-10-26,0.126,0.11,0.073
2015-10-27,,,
2015-10-28,0.215,0.186,0.117
2015-10-29,,,
2015-10-30,,,
2015-10-31,,,
2015-11-01,0.21,0.196,0.163
2015-11-02,0.146,0.129,0.09
2015-11-03,,,
2015-11-04,,,
2015-11-05,,,
2015-11-06,,,
2015-11-07,,,
2015-11-08,,,
2015-11-09,0.249,0.214,0.135
2015-11-10,0.275,0.237,0.149
2015-11-11,0.104,0.092,0.063
2015-11-12,,,
2015-11-13,,,
2015-11-14,,,
2015-11-15,,,
2015-11-16,0.385,0.332,0.208
2015-11-17,0.328,0.31,0.266
2015-11-18,0.143,0.128,0.093
2015-11-19,,,
2015-11-20,0.199,0.172,0.108
2015-11-21,,,
2015-11-22,0.097,0.084,0.054
2015-11-23,0.361,0.313,0.202
2015-11-24,0.346,0.303,0.203
2015-11-25,0.326,0.281,0.176
2015-11-26,0.272,0.234,0.146
2015-11-27,,,
2015-11-28,,,
2015-11-29,0.136,0.117,0.073
2015-11-30,,,
2015-12-01,0.239,0.206,0.129
2015-12-02,,,
2015-12-03,0.132,0.115,0.074
2015-12-04,0.116,0.1,0.064
2015-12-05,,,
2015-12-06,0.153,0.131,0.082
2015-12-07,,,
2015-12-08,0.118,0.102,0.064
2015-12-09,0.311,0.273,0.183
2015-12-10,0.14,0.122,0.081
2015-12-11,0.387,0.334,0.21
2015-12-12,,,
2015-12-13,0.081,0.071,0.049
2015-12-14,,,
2015-12-15,0.062,0.054,0.034
2015-12-16,0.088,0.083,0.071
2015-12-17,0.249,0.23,0.184
2015-12-18,0.337,0.293,0.189
2015-12-19,0.138,0.119,0.075
2015-12-20,,,
2015-12-21,,,
2015-12-22,0.163,0.141,0.089
2015-12-23,,,
2015-12-24,0.063,0.055,0.036
2015-12-25,0.3,0.278,0.225
2015-12-26,,,
2015-12-27,0.314,0.272,0.172
2015-12-28,0.227,0.196,0.123
2015-12-29,0.085,0.075,0.053
2015-12-30,,,
2015-12-31,,,
2016-01-01,,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,,,
2016-01-05,0.09,0.077,0.048
2016-01-06,,,
2016-01-07,0.062,0.054,0.036
2016-01-08,,,
2016-01-09,0.165,0.145,0.097
2016-01-10,0.353,0.318,0.231
2016-01-11,0.259,0.228,0.155
2016-01-12,0.187,0.164,0.109
2016-01-13,,,
2016-01-14,0.158,0.137,0.088
2016-01-15,,,
2016-01-16,0.024,0.022,0.016
2016-01-17,,,
2016-01-18,0.138,0.12,0.08
2016-01-19,0.222,0.197,0.136
2016-01-20,0.184,0.169,0.132
2016-01-21,0.111,0.099,0.072
2016-01-22,,,
2016-01-23,0.056,0.049,0.033
2016-01-24,,,
2016-01-25,0.162,0.14,0.09
2016-01-26,0.284,0.251,0.171
2016-01-27,,,
2016-01-28,0.12,0.106,0.072
2016-01-29,0.5,0.434,0.276
2016-01-30,0.148,0.128,0.08
2016-01-31,,,
2016-02-01,0.073,0.066,0.049
2016-02-02,0.502,0.453,0.336
2016-02-03,0.143,0.128,0.092
2016-02-04,,,
2016-02-05,0.271,0.24,0.168
2016-02-06,0.145,0.129,0.09
2016-02-07,,,
2016-02-08,,,
2016-02-09,,,
2016-02-10,0.13,0.113,0.073
2016-02-11,0.375,0.347,0.279
2016-02-12,0.275,0.242,0.167
2016-02-13,0.317,0.275,0.177
2016-02-14,,,
2016-02-15,0.13,0.115,0.079
2016-02-16,,,
2016-02-17,0.17,0.148,0.097
2016-02-18,0.625,0.585,0.487
2016-02-19,0.226,0.195,0.122
2016-02-20,0.588,0.515,0.344
2016-02-21,,,
2016-02-22,0.322,0.279,0.176
2016-02-23,,,
2016-02-24,0.165,0.142,0.089
2016-02-25,,,
2016-02-26,0.247,0.213,0.134
2016-02-27,0.956,0.825,0.519
2016-02-28,0.359,0.31,0.195
2016-03-01,0.377,0.329,0.218
2016-03-02,0.482,0.418,0.266
2016-03-03,0.287,0.248,0.155
2016-03-04,,,
2016-03-05,0.237,0.206,0.131
2016-03-06,1.088,1.027,0.882
2016-03-07,,,
2016-03-08,,,
2016-03-09,,,
2016-03-10,,,
2016-03-11,,,
2016-03-12,,,
2016-03-13,,,
