Dates,Hours,CENTRO,NORESTE,NORESTE2,NOROESTE,NOROESTE2,NORTE,NORTE2,SUR,SURESTE,SURESTE2,SURESTE3,SUROESTE,SUROESTE2
2015-01-01,0,17,,,,,,,,,,,,
2015-01-01,1,27,80,,169,,,,,,,,,15
2015-01-01,2,21,29,,60,,,,,,,,,
2015-01-01,3,8,9,,26,,,,,,,,,
2015-01-01,4,5,,6,17,,,,,,,,,
2015-01-01,5,7,14,,17,,,,,,,,,
2015-01-01,6,,,,5,,,,,,,,,
2015-01-01,7,15,,,6,,,,,,,,,
2015-01-01,8,10,8,,,,,,,,,,,
2015-01-01,9,9,6,9,7,,,,,,,,,
2015-01-01,10,14,,,5,,,,,,,,,14
2015-01-01,11,8,10,,,,,,,,,,,
2015-01-01,12,28,17,,17,,,,,,,,,
2015-01-01,13,43,16,14,34,,,,,,,,,
2015-01-01,14,34,19,10,39,,,,,,,,,29
2015-01-01,15,42,35,10,59,,,,,,,,,24
2015-01-01,16,42,15,16,47,,,,,,,,,26
2015-01-01,17,39,36,19,57,,,,,,,,,27
2015-01-01,18,35,37,13,62,,,,,,,,,25
2015-01-01,19,42,33,23,49,,,,,,,,,26
2015-01-01,20,26,10,23,39,,,,,,,,,23
2015-01-01,21,8,,17,31,,,,,,,,,23
2015-01-01,22,16,14,8,18,,,,,,,,,16
2015-01-01,23,7,6,7,10,,,,,,,,,13
2015-01-02,0,7,12,,5,,,,,,,,,13
2015-01-02,1,,11,,,,,,,,,,,
2015-01-02,2,,12,5,,,,,,,,,,
2015-01-02,3,,,,,,,,,,,,,
2015-01-02,4,5,,,,,,,,,,,,
2015-01-02,5,,,,,,,,,,,,,
2015-01-02,6,10,5,,,,,,,,,,,
2015-01-02,7,8,,,,,,,,,,,,
2015-01-02,8,11,12,5,7,,,,,,,,,14
2015-01-02,9,21,13,,19,,,,,,,,,19
2015-01-02,10,22,,,28,,,,,,,,,25
2015-01-02,11,15,,,38,,,,,,,,,27
2015-01-02,12,22,10,,39,,,,,,,,,16
2015-01-02,13,24,14,16,47,,,,,,,,,23
2015-01-02,14,22,52,17,38,,,,,,,,,23
2015-01-02,15,32,26,18,32,,,,,,,,,25
2015-01-02,16,33,30,26,37,,,,,,,,,31
2015-01-02,17,29,29,29,39,,,,,,,,,25
2015-01-02,18,14,29,21,34,,,,,,,,,23
2015-01-02,19,,20,25,23,,,,,,,,,22
2015-01-02,20,6,28,20,30,,,,,,,,,18
2015-01-02,21,11,40,,31,,,,,,,,,19
2015-01-02,22,12,23,18,18,,,,,,,,,14
2015-01-02,23,,15,,13,,,,,,,,,13
2015-01-03,0,19,,7,20,,,,,,,,,
2015-01-03,1,37,,5,14,,,,,,,,,
2015-01-03,2,30,12,,20,,,,,,,,,17
2015-01-03,3,34,,6,18,,,,,,,,,17
2015-01-03,4,39,13,,9,,,,,,,,,27
2015-01-03,5,31,10,11,29,,,,,,,,,30
2015-01-03,6,42,6,15,20,,,,,,,,,23
2015-01-03,7,43,12,23,24,,,,,,,,,23
2015-01-03,8,62,11,27,23,,,,,,,,,27
2015-01-03,9,57,27,22,30,,,,,,,,,26
2015-01-03,10,84,35,16,45,,,,,,,,,23
2015-01-03,11,58,6,29,56,,,,,,,,,44
2015-01-03,12,60,39,20,43,,,,,,,,,42
2015-01-03,13,51,30,9,37,,,,,,,,,47
2015-01-03,14,46,14,,43,,,,,,,,,44
2015-01-03,15,28,,5,36,,,,,,,,,39
2015-01-03,16,58,10,17,48,,,,,,,,,27
2015-01-03,17,66,71,48,82,,,,,,,,,48
2015-01-03,18,71,89,65,99,,,,,,,,,53
2015-01-03,19,70,94,71,114,,,,,,,,,41
2015-01-03,20,59,119,81,148,,,,,,,,,41
2015-01-03,21,63,68,62,184,,,,,,,,,36
2015-01-03,22,57,81,78,110,,,,,,,,,40
2015-01-03,23,68,133,55,141,,,,,,,,,57
2015-01-04,0,71,118,36,105,,,,,,,,,39
2015-01-04,1,73,53,,97,,,,,,,,,43
2015-01-04,2,78,68,29,71,,,,,,,,,38
2015-01-04,3,50,68,42,40,,,,,,,,,30
2015-01-04,4,31,60,67,48,,,,,,,,,21
2015-01-04,5,30,60,65,36,,,,,,,,,
2015-01-04,6,28,49,38,35,,,,,,,,,
2015-01-04,7,28,40,16,36,,,,,,,,,
2015-01-04,8,19,,5,30,,,,,,,,,
2015-01-04,9,6,,,35,,,,,,,,,
2015-01-04,10,25,,,32,,,,,,,,,
2015-01-04,11,7,12,,,,,,,,,,,
2015-01-04,12,,,,,,,,,,,,,
2015-01-04,13,,5,,,,,,,,,,,
2015-01-04,14,,,,,,,,,,,,,
2015-01-04,15,17,,6,,,,,,,,,,
2015-01-04,16,25,31,21,5,,,,,,,,,
2015-01-04,17,16,45,24,18,,,,,,,,,
2015-01-04,18,17,31,15,,,,,,,,,,
2015-01-04,19,16,23,17,11,,,,,,,,,
2015-01-04,20,15,17,28,15,,,,,,,,,
2015-01-04,21,13,29,23,24,,,,,,,,,
2015-01-04,22,12,25,13,18,,,,,,,,,
2015-01-04,23,,5,14,18,,,,,,,,,
2015-01-05,0,12,7,11,12,,,,,,,,,
2015-01-05,1,,,11,,,,,,,,,,
2015-01-05,2,,,7,,,,,,,,,,
2015-01-05,3,,,10,17,,,,,,,,,
2015-01-05,4,5,8,9,11,,,,,,,,,
2015-01-05,5,13,15,13,10,,,,,,,,,
2015-01-05,6,11,17,13,12,,,,,,,,,
2015-01-05,7,7,17,16,16,,,,,,,,,
2015-01-05,8,17,19,18,12,,,,,,,,,14
2015-01-05,9,17,13,14,10,,,,,,,,,
2015-01-05,10,7,11,9,21,,,,,,,,,
2015-01-05,11,18,17,,9,,,,,,,,,
2015-01-05,12,20,23,,27,,,,,,,,,26
2015-01-05,13,14,22,,28,,,,,,,,,34
2015-01-05,14,15,14,21,15,,,,,,,,,19
2015-01-05,15,12,16,29,12,,,,,,,,,
2015-01-05,16,8,17,44,6,,,,,,,,,14
2015-01-05,17,12,24,39,11,,,,,,,,,14
2015-01-05,18,14,,38,13,,,,,,,,,16
2015-01-05,19,14,55,24,14,,,,,,,,,15
2015-01-05,20,14,33,25,28,,,,,,,,,15
2015-01-05,21,10,23,22,21,,,,,,,,,15
2015-01-05,22,5,20,23,21,,,,,,,,,14
2015-01-05,23,12,22,17,19,,,,,,,,,
