Dates,Hours,CENTRO,NORESTE,NORESTE2,NOROESTE,NOROESTE2,NORTE,NORTE2,SUR,SURESTE,SURESTE2,SURESTE3,SUROESTE,SUROESTE2
2015-01-06,0,11,11,14,19,,,,,,,,,
2015-01-06,1,14,,21,25,,,,,,,,,
2015-01-06,2,13,33,20,24,,,,,,,,,15
2015-01-06,3,21,21,14,28,,,,,,,,,17
2015-01-06,4,22,31,21,24,,,,,,,,,17
2015-01-06,5,22,18,20,20,,,,,,,,,15
2015-01-06,6,33,29,22,22,,,,,,,,,21
2015-01-06,7,18,24,19,28,,,,,,,,,18
2015-01-06,8,22,17,26,36,,,,,,,,,27
2015-01-06,9,21,33,31,23,,,,,,,,,24
2015-01-06,10,26,44,36,42,,,,,,,,,20
2015-01-06,11,43,24,21,32,,,,,,,,,28
2015-01-06,12,43,15,16,44,,,,,,,,,33
2015-01-06,13,53,22,32,60,,,,,,,,,41
2015-01-06,14,101,105,55,84,,,,,,,,,50
2015-01-06,15,64,99,62,94,,,,,,,,,87
2015-01-06,16,32,49,58,84,,,,,,,,,43
2015-01-06,17,31,21,62,62,,,,,,,,,37
2015-01-06,18,36,9,86,37,,,,,,,,,29
2015-01-06,19,36,33,53,29,,,,,,,,,18
2015-01-06,20,27,66,46,46,,,,,,,,,28
2015-01-06,21,28,36,25,28,,,,,,,,,22
2015-01-06,22,25,21,19,28,,,,,,,,,15
2015-01-06,23,29,7,22,56,,,,,,,,,23
2015-01-07,0,20,43,24,55,,,,,,,,,22
2015-01-07,1,22,22,20,34,,,,,,,,,19
2015-01-07,2,21,36,21,37,,,,,,,,,19
2015-01-07,3,24,10,29,35,,,,,,,,,20
2015-01-07,4,23,23,29,49,,,,,,,,,17
2015-01-07,5,28,24,31,38,,,,,,,,,30
2015-01-07,6,29,25,36,43,,,,,,,,,17
2015-01-07,7,28,33,34,48,,,,,,,,,24
2015-01-07,8,28,36,32,41,,,,,36,,,,26
2015-01-07,9,34,31,32,39,,,,,28,,,,19
2015-01-07,10,32,8,12,33,,,,,20,,,,14
2015-01-07,11,27,22,27,36,,,,,44,,,,17
2015-01-07,12,42,49,23,31,,,,,55,,,,34
2015-01-07,13,31,25,24,35,,,,,40,,,,32
2015-01-07,14,35,38,27,34,,,,,32,,,,35
2015-01-07,15,23,22,26,14,,,,,29,,,,40
2015-01-07,16,11,14,,9,,,,,11,,,,
2015-01-07,17,11,,11,11,,,,,5,,,,
2015-01-07,18,,15,,,,,,,,,,,
2015-01-07,19,,16,,,,,,,,,,,
2015-01-07,20,,,9,,,,,,,,,,
2015-01-07,21,5,8,10,,,,,,5,,,,
2015-01-07,22,8,8,13,7,,,,,10,,,,
2015-01-07,23,,,9,,,,,,,,,,
2015-01-08,0,6,8,7,,,,,,,,,,
2015-01-08,1,8,,,5,,,,,,,,,
2015-01-08,2,5,8,,,,,,,8,,,,
2015-01-08,3,9,18,11,6,,,,,5,,,,
2015-01-08,4,,22,8,5,,,,,5,,,,
2015-01-08,5,6,5,9,7,,,,,10,,,,
2015-01-08,6,,,5,,,,,,,,,,
2015-01-08,7,,14,7,17,,,,,,,,,
2015-01-08,8,14,8,10,12,,,,,10,,,,
2015-01-08,9,8,16,14,11,,,,,5,,,,
2015-01-08,10,11,5,28,16,,,,,9,,,,
2015-01-08,11,13,7,,16,,,,,8,,,,
2015-01-08,12,11,16,14,20,,,,,14,,,,
2015-01-08,13,13,8,32,20,,,,,22,,,,17
2015-01-08,14,11,12,27,33,,,,,12,,,,23
2015-01-08,15,43,52,30,41,,,,,6,,,,23
2015-01-08,16,34,23,33,32,,,,,10,,,,28
2015-01-08,17,11,13,28,36,,,,,11,,,,15
2015-01-08,18,9,23,20,41,,,,,12,,,,22
2015-01-08,19,12,21,25,31,,,,,11,,,,
2015-01-08,20,12,20,26,37,,,,,14,,,,19
2015-01-08,21,31,14,27,18,,,,,,,,,
2015-01-08,22,23,19,25,24,,,,,10,,,,23
2015-01-08,23,24,29,20,28,,,,,14,,,,20
2015-01-09,0,30,24,30,21,,,,,14,,,,26
2015-01-09,1,21,28,,32,,,,,18,,,,22
2015-01-09,2,28,25,28,46,,,,,22,,,,13
2015-01-09,3,30,25,34,36,,,,,23,,,,31
2015-01-09,4,26,26,24,42,,,,,32,,,,45
2015-01-09,5,37,39,25,39,,,,,28,,,,37
2015-01-09,6,31,32,30,48,,,,,30,,,,32
2015-01-09,7,27,40,38,45,,,,,23,,,,30
2015-01-09,8,25,24,38,37,,,,,29,,,,34
2015-01-09,9,19,38,40,33,,,,,22,,,,29
2015-01-09,10,17,16,26,44,,,,,20,,,,31
2015-01-09,11,17,22,17,30,,,,,16,,,,35
2015-01-09,12,34,11,6,33,,,,,10,,,,15
2015-01-09,13,33,7,7,32,,,,,19,,,,36
2015-01-09,14,15,,13,32,,,,,,,,,23
2015-01-09,15,15,13,,32,,,,,8,,,,19
2015-01-09,16,15,12,18,30,,,,,7,,,,18
2015-01-09,17,10,12,,21,,,,,,,,,
2015-01-09,18,5,15,14,15,,,,,10,,,,
2015-01-09,19,,7,,11,,,,,,,,,
2015-01-09,20,9,19,5,5,,,,,,,,,
2015-01-09,21,5,5,8,,,,,,6,,,,
2015-01-09,22,,9,9,,,,,,,,,,
2015-01-09,23,,,,,,,,,,,,,
2015-01-10,0,,,,,,,,,,,,,
2015-01-10,1,,5,6,,,,,,,,,,
2015-01-10,2,,,,6,,,,,5,,,,
2015-01-10,3,6,6,,5,,,,,7,,,,
2015-01-10,4,6,,6,,,,,,,,,,
2015-01-10,5,,,5,,,,,,5,,,,
2015-01-10,6,,,9,,,,,,,,,,
2015-01-10,7,,,,,,,,,,,,,
2015-01-10,8,7,9,,,,,,,,,,,
2015-01-10,9,,,8,,,,,,,,,,14
2015-01-10,10,11,15,5,11,,,,,7,,,,
2015-01-10,11,16,13,11,19,,,,,,,,,16
2015-01-10,12,24,,9,21,,,,,,,,,
2015-01-10,13,33,,,29,,,,,,,,,
2015-01-10,14,22,13,13,23,,,,,10,,,,
2015-01-10,15,18,14,14,28,,,,,12,,,,13
2015-01-10,16,16,,17,29,,,,,7,,,,17
2015-01-10,17,12,18,15,28,,,,,7,,,,
2015-01-10,18,13,13,10,26,,,,,16,,,,13
2015-01-10,19,22,16,10,21,,,,,14,,,,13
2015-01-10,20,15,11,12,23,,,,,19,,,,14
2015-01-10,21,14,14,,22,,,,,9,,,,
2015-01-10,22,21,15,11,25,,,,,12,,,,21
2015-01-10,23,18,8,9,26,,,,,11,,,,17
2015-01-11,0,,,11,19,,,,,8,,,,
2015-01-11,1,32,24,5,24,,,,,11,,,,
2015-01-11,2,21,15,,16,,,,,9,,,,17
2015-01-11,3,18,11,,9,,,,,11,,,,16
2015-01-11,4,26,,5,15,,,,,16,,,,
2015-01-11,5,18,,7,20,,,,,23,,,,13
2015-01-11,6,20,21,,25,,,,,10,,,,13
2015-01-11,7,15,7,7,16,,,,,17,,,,17
2015-01-11,8,11,5,6,26,,,,,17,,,,21
2015-01-11,9,14,,,19,,,,,20,,,,47
2015-01-11,10,,13,,29,,,,,7,,,,23
2015-01-11,11,18,33,16,16,,,,,28,,,,
2015-01-11,12,24,39,25,28,,,,,33,,,,16
2015-01-11,13,33,14,23,43,,,,,51,,,,21
2015-01-11,14,54,66,41,42,,,,,37,,,,24
2015-01-11,15,43,50,46,58,,,,,40,,,,39
2015-01-11,16,49,54,44,66,,,,,34,,,,37
2015-01-11,17,36,65,58,59,,,,,40,,,,43
2015-01-11,18,45,50,41,70,,,,,49,,,,44
2015-01-11,19,37,40,30,58,,,,,35,,,,34
2015-01-11,20,33,37,35,48,,,,,24,,,,27
2015-01-11,21,33,41,37,49,,,,,43,,,,25
2015-01-11,22,21,31,35,55,,,,,29,,,,26
2015-01-11,23,32,24,36,70,,,,,33,,,,24
2015-01-12,0,35,54,43,57,,,,,43,,,,30
2015-01-12,1,40,44,36,59,,,,,42,,,,30
2015-01-12,2,37,39,44,62,,,,,28,,,,44
2015-01-12,3,44,62,32,60,,,,,24,,,,43
2015-01-12,4,36,66,30,66,,,,,28,,,,26
2015-01-12,5,39,68,42,63,,,,,16,,,,16
2015-01-12,6,25,66,50,63,,,,,9,,,,
2015-01-12,7,19,91,52,49,,,,,10,,,,
2015-01-12,8,26,102,73,50,,,,,8,,,,
2015-01-12,9,,99,53,36,,,,,8,,,,
2015-01-12,10,6,79,57,53,,,,,24,,,,
2015-01-12,11,20,66,30,84,,,,,30,,,,30
2015-01-12,12,44,84,49,75,,,,,41,,,,35
2015-01-12,13,43,72,22,68,,,,,45,,,,35
2015-01-12,14,30,51,5,33,,,,,35,,,,36
2015-01-12,15,38,43,,30,,,,,51,,,,27
2015-01-12,16,20,35,13,12,,,,,15,,,,33
2015-01-12,17,11,32,36,30,,,,,15,,,,18
2015-01-12,18,15,40,31,23,,,,,8,,,,24
2015-01-12,19,13,22,28,16,,,,,15,,,,18
2015-01-12,20,,10,27,12,,,,,,,,,19
2015-01-12,21,,9,22,,,,,,,,,,
2015-01-12,22,,17,27,5,,,,,,,,,
2015-01-12,23,6,9,22,,,,,,,,,,
2015-01-13,0,17,,18,15,,,,,17,,,,
2015-01-13,1,14,14,12,,,,,,12,,,,14
2015-01-13,2,,11,,,,,,,,,,,
2015-01-13,3,9,,6,,,,,,5,,,,
2015-01-13,4,,,,,,,,,,,,,
2015-01-13,5,,8,,,,,,,5,,,,
2015-01-13,6,,7,,,,,,,,,,,
2015-01-13,7,,,,,,,,,6,,,,
2015-01-13,8,,11,,,,,,,,,,,
2015-01-13,9,13,15,12,,,,,,,,,,
2015-01-13,10,,,11,,,,,,5,,,,
2015-01-13,11,,,25,,,,,,10,,,,
2015-01-13,12,,13,14,,,,,,7,,,,
2015-01-13,13,7,10,11,,,,,,,,,,
2015-01-13,14,6,27,16,9,,,,,6,,,,
2015-01-13,15,8,23,14,,,,,,,,,,
2015-01-13,16,,,8,17,,,,,5,,,,
2015-01-13,17,5,9,11,23,,,,,9,,,,
2015-01-13,18,5,6,7,8,,,,,9,,,,
2015-01-13,19,6,,13,7,,,,,,,,,
2015-01-13,20,7,8,12,7,,,,,,,,,
2015-01-13,21,5,8,,10,,,,,,,,,
2015-01-13,22,,16,,,,,,,,,,,
2015-01-13,23,,7,,,,,,,6,,,,
2015-01-14,0,5,,,,,,,,,,,,
2015-01-14,1,,8,,,,,,,,,,,
2015-01-14,2,,,6,,,,,,8,,,,
2015-01-14,3,,,7,,,,,,,,,,
2015-01-14,4,5,6,,,,,,,,,,,
2015-01-14,5,5,,,,,,,,,,,,
2015-01-14,6,6,8,,,,,,,,,,,
2015-01-14,7,,,,,,,,,,,,,
2015-01-14,8,7,,,,,,,,8,,,,
2015-01-14,9,6,8,,6,,,,,,,,,
2015-01-14,10,13,19,16,9,,,,,6,,,,17
2015-01-14,11,9,19,12,16,,,,,,,,,
2015-01-14,12,16,15,17,8,,,,,8,,,,20
2015-01-14,13,12,7,18,9,,,,,8,,,,
2015-01-14,14,18,15,8,16,,,,,,,,,15
2015-01-14,15,13,,,22,,,,,5,,,,
2015-01-14,16,9,,12,8,,,,,12,,,,
2015-01-14,17,16,,12,7,,,,,12,,,,
2015-01-14,18,8,19,5,11,,,,,,,,,
2015-01-14,19,12,6,6,8,,,,,10,,,,13
2015-01-14,20,14,20,,16,,,,,,,,,
2015-01-14,21,13,21,7,9,,,,,9,,,,
2015-01-14,22,,12,,11,,,,,8,,,,
2015-01-14,23,11,,6,15,,,,,13,,,,
2015-01-15,0,8,5,8,8,,,,,7,,,,
2015-01-15,1,12,5,,5,,,,,,,,,
2015-01-15,2,11,,,,,,,,,,,,
2015-01-15,3,,5,7,,,,,,,,,,
2015-01-15,4,,7,,,,,,,,,,,
2015-01-15,5,,,7,,,,,,,,,,
2015-01-15,6,12,,6,16,,,,,,,,,
2015-01-15,7,,,5,12,,,,,5,,,,
2015-01-15,8,5,,11,13,,,,,6,,,,
2015-01-15,9,22,,11,20,,,,,13,,,,18
2015-01-15,10,21,8,15,16,,,,,6,,,,26
2015-01-15,11,22,12,13,32,,,,,16,,,,13
2015-01-15,12,11,8,13,20,,,,,,,,,
2015-01-15,13,10,,8,21,,,,,,,,,15
2015-01-15,14,19,19,18,21,,,,,,,,,20
2015-01-15,15,18,,10,26,,,,,,,,,
2015-01-15,16,21,27,,26,,,,,,,,,18
2015-01-15,17,21,29,13,24,,,,,,,,,13
2015-01-15,18,11,25,18,30,,,,,,,,,
2015-01-15,19,22,28,22,29,,,,,15,,,,15
2015-01-15,20,31,17,17,23,,,,,11,,,,25
2015-01-15,21,30,31,25,19,,,,,11,,,,21
2015-01-15,22,15,20,27,15,,,,,8,,,,24
2015-01-15,23,12,15,15,19,,,,,9,,,,15
2015-01-16,0,8,20,17,19,,,,,11,,,,
2015-01-16,1,27,26,16,25,,,,,15,,,,
2015-01-16,2,18,17,18,31,,,,,6,,,,
2015-01-16,3,11,24,18,25,,,,,7,,,,
2015-01-16,4,16,17,20,16,,,,,11,,,,22
2015-01-16,5,24,15,35,5,,,,,7,,,,16
2015-01-16,6,17,34,31,11,,,,,10,,,,
2015-01-16,7,30,26,20,17,,,,,9,,,,27
2015-01-16,8,36,35,21,15,,,,,10,,,,31
2015-01-16,9,34,10,22,31,,,,,16,,,,29
2015-01-16,10,18,33,18,25,,,,,12,,,,
2015-01-16,11,31,41,,32,,,,,13,,,,
2015-01-16,12,34,32,,34,,,,,29,,,,
2015-01-16,13,36,,13,37,,,,,27,,,,27
2015-01-16,14,37,23,17,37,,,,,23,,,,28
2015-01-16,15,32,43,22,46,,,,,22,,,,33
2015-01-16,16,33,35,35,39,,,,,25,,,,26
2015-01-16,17,27,27,39,37,,,,,21,,,,28
2015-01-16,18,22,36,33,33,,,,,24,,,,31
2015-01-16,19,18,38,68,27,,,,,26,,,,28
2015-01-16,20,17,26,67,27,,,,,27,,,,20
2015-01-16,21,12,41,56,29,,,,,24,,,,15
2015-01-16,22,16,33,46,19,,,,,28,,,,14
2015-01-16,23,21,20,39,15,,,,,25,,,,15
2015-01-17,0,26,,40,33,,,,,31,,,,20
2015-01-17,1,26,24,51,67,,,,,15,,,,20
2015-01-17,2,27,44,51,73,,,,,25,,,,
2015-01-17,3,28,63,36,67,,,,,8,,,,27
2015-01-17,4,34,32,38,55,,,,,19,,,,27
2015-01-17,5,34,45,36,64,,,,,8,,,,26
2015-01-17,6,28,61,37,50,,,,,18,,,,25
2015-01-17,7,40,47,53,54,,,,,22,,,,20
2015-01-17,8,24,48,41,45,,,,,24,,,,22
2015-01-17,9,15,66,47,51,,,,,8,,,,
2015-01-17,10,10,71,50,37,,,,,28,,,,
2015-01-17,11,29,58,30,39,,,,,41,,,,26
2015-01-17,12,61,43,29,55,,,,,42,,,,21
2015-01-17,13,50,23,26,49,,,,,43,,,,24
2015-01-17,14,81,15,53,53,,,,,67,,,,36
2015-01-17,15,42,41,73,33,,,,,56,,,,57
2015-01-17,16,37,56,55,28,,,,,49,,,,47
2015-01-17,17,49,65,72,62,,,,,33,,,,33
2015-01-17,18,38,80,96,97,,,,,50,,,,47
2015-01-17,19,63,78,97,86,,,,,54,,,,56
2015-01-17,20,61,95,110,109,,,,,47,,,,40
2015-01-17,21,72,90,84,124,,,,,60,,,,53
2015-01-17,22,66,121,81,138,,,,,86,,,,51
2015-01-17,23,91,93,58,104,,,,,85,,,,53
2015-01-18,0,91,98,61,89,,,,,76,,,,61
2015-01-18,1,60,92,50,67,,,,,73,,,,32
2015-01-18,2,21,31,22,27,,,,,38,,,,
2015-01-18,3,13,25,7,46,,,,,18,,,,
2015-01-18,4,17,,,42,,,,,6,,,,
2015-01-18,5,,,,9,,,,,7,,,,
2015-01-18,6,,,,,,,,,6,,,,
2015-01-18,7,,,,,,,,,,,,,
2015-01-18,8,,,9,,,,,,6,,,,
2015-01-18,9,,13,11,,,,,,,,,,
2015-01-18,10,,27,,,,,,,,,,,
2015-01-18,11,8,5,,,,,,,,,,,
2015-01-18,12,,,,,,,,,,,,,
2015-01-18,13,9,13,,10,,,,,,,,,
2015-01-18,14,13,,,,,,,,8,,,,
2015-01-18,15,7,,8,5,,,,,12,,,,
2015-01-18,16,12,23,8,32,,,,,15,,,,
2015-01-18,17,15,27,24,23,,,,,14,,,,14
2015-01-18,18,21,60,40,29,,,,,30,,,,20
2015-01-18,19,20,52,53,25,,,,,29,,,,17
2015-01-18,20,14,30,36,29,,,,,38,,,,25
2015-01-18,21,14,19,20,22,,,,,29,,,,13
2015-01-18,22,15,30,29,31,,,,,23,,,,20
2015-01-18,23,10,22,20,19,,,,,28,,,,18
2015-01-19,0,10,25,31,22,,,,,20,,,,
2015-01-19,1,12,20,33,25,,,,,14,,,,17
2015-01-19,2,15,,28,40,,,,,12,,,,23
2015-01-19,3,16,15,29,40,,,,,5,,,,
2015-01-19,4,16,25,41,42,,,,,,,,,16
2015-01-19,5,31,22,57,39,,,,,12,,,,13
2015-01-19,6,32,67,44,38,,,,,10,,,,20
2015-01-19,7,34,60,47,44,,,,,,,,,14
2015-01-19,8,29,46,51,33,,,,,9,,,,26
2015-01-19,9,12,57,44,24,,,,,24,,,,22
2015-01-19,10,23,39,35,13,,,,,20,,,,
2015-01-19,11,37,18,13,21,,,,,22,,,,
2015-01-19,12,46,59,22,11,,,,,15,,,,
2015-01-19,13,45,18,20,37,,,,,22,,,,24
2015-01-19,14,55,67,16,41,,,,,22,,,,38
2015-01-19,15,37,11,30,33,,,,,23,,,,47
2015-01-19,16,40,30,42,49,,,,,25,,,,26
2015-01-19,17,29,26,56,27,,,,,31,,,,41
2015-01-19,18,23,18,51,37,,,,,34,,,,33
2015-01-19,19,27,28,52,22,,,,,21,,,,23
2015-01-19,20,21,32,42,25,,,,,24,,,,26
2015-01-19,21,24,54,27,64,,,,,21,,,,
2015-01-19,22,31,46,46,73,,,,,21,,,,35
2015-01-19,23,33,64,40,56,,,,,15,,,,25
2015-01-20,0,29,53,43,49,,,,,14,,,,34
2015-01-20,1,42,46,50,45,,,,,8,,,,31
2015-01-20,2,25,54,51,39,,,,,12,,,,
2015-01-20,3,23,90,45,33,,,,,5,,,,
2015-01-20,4,11,59,58,25,,,,,,,,,
2015-01-20,5,,55,83,17,,,,,,,,,
2015-01-20,6,8,50,78,15,,,,,10,,,,
2015-01-20,7,14,37,75,14,,,,,6,,,,
2015-01-20,8,13,20,50,9,,,,,6,,,,
2015-01-20,9,10,20,50,10,,,,,,,,,
2015-01-20,10,21,,20,17,,,,,,,,,
2015-01-20,11,11,6,,10,,,,,5,,,,
2015-01-20,12,6,23,,13,,,,,13,,,,
2015-01-20,13,21,37,13,23,,,,,16,,,,21
2015-01-20,14,15,32,17,17,,,,,15,,,,
2015-01-20,15,16,31,20,28,,,,,10,,,,
2015-01-20,16,16,27,20,15,,,,,18,,,,14
2015-01-20,17,14,26,28,22,,,,,18,,,,19
2015-01-20,18,15,20,49,29,,,,,23,,,,17
2015-01-20,19,19,26,47,13,,,,,7,,,,20
2015-01-20,20,14,35,64,18,,,,,19,,,,25
2015-01-20,21,15,14,44,,,,,,23,,,,13
2015-01-20,22,24,16,35,,,,,,20,,,,
2015-01-20,23,28,31,35,,,,,,16,,,,
2015-01-21,0,24,41,27,,,,,,11,,,,14
2015-01-21,1,30,7,31,,,,,,14,,,,
2015-01-21,2,24,15,33,,,,,,11,,,,
2015-01-21,3,18,16,26,,,,,,18,,,,13
2015-01-21,4,17,,29,,,,,,18,,,,
2015-01-21,5,26,34,35,,,,,,26,,,,14
2015-01-21,6,16,55,41,,,,,,19,,,,
2015-01-21,7,27,27,55,,,,,,28,,,,
2015-01-21,8,32,18,48,,,,,,25,,,,23
2015-01-21,9,29,30,42,,,,,,22,,,,35
2015-01-21,10,33,19,30,,,,,,34,,,,51
2015-01-21,11,33,5,16,,,,,,26,,,,42
2015-01-21,12,18,21,23,,,,,,26,,,,21
2015-01-21,13,31,31,18,,,,,,24,,,,27
2015-01-21,14,40,40,23,25,,,,,27,,,,39
2015-01-21,15,40,41,40,38,,,,,31,,,,36
2015-01-21,16,35,53,40,45,,,,,38,,,,37
2015-01-21,17,49,30,43,46,,,,,23,,,,44
2015-01-21,18,27,,39,30,,,,,24,,,,25
2015-01-21,19,29,42,39,34,,,,,28,,,,30
2015-01-21,20,16,35,42,28,,,,,22,,,,26
2015-01-21,21,26,23,30,35,,,,,28,,,,14
2015-01-21,22,24,45,37,32,,,,,25,,,,
2015-01-21,23,20,40,43,32,,,,,26,,,,19
2015-01-22,0,36,34,40,46,,,,,30,,,,29
2015-01-22,1,28,24,30,38,,,,,22,,,,31
2015-01-22,2,24,31,28,40,,,,,25,,,,14
2015-01-22,3,31,26,,45,,,,,25,,,,23
2015-01-22,4,50,6,28,45,,,,,20,,,,25
2015-01-22,5,75,12,28,39,,,,,24,,,,34
2015-01-22,6,41,18,24,26,,,,,25,,,,31
2015-01-22,7,39,5,21,32,,,,,17,,,,27
2015-01-22,8,24,17,14,32,,,,,18,,,,22
2015-01-22,9,29,26,,29,,,,,12,,,,
2015-01-22,10,26,16,,39,,,,,11,,,,28
2015-01-22,11,26,23,20,40,,,,,17,,,,13
2015-01-22,12,26,9,14,34,,,,,19,,,,
2015-01-22,13,20,34,24,43,,,,,20,,,,21
2015-01-22,14,22,12,16,19,,,,,12,,,,
2015-01-22,15,15,7,8,8,,,,,11,,,,
2015-01-22,16,8,,11,,,,,,,,,,
2015-01-22,17,10,5,11,,,,,,,,,,
