Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,274.0,0.444,10.38
150112,2015,1,12,255.023,0.691,9.8
150117,2015,1,17,255.023,0.66,10.2
150120,2015,1,20,256.489,0.505,10.16
150127,2015,1,27,267.267,0.567,9.48
150129,2015,1,29,262.889,0.629,9.05
150204,2015,2,4,259.424,0.567,9.01
150207,2015,2,7,301.867,0.629,9.42
150208,2015,2,8,259.424,0.444,9.02
150209,2015,2,9,279.533,0.475,9.9
150210,2015,2,10,282.378,0.505,10.28
150211,2015,2,11,259.424,0.629,9.49
150218,2015,2,18,259.424,0.629,9.4
150219,2015,2,19,290.767,0.691,9.73
150220,2015,2,20,259.424,0.814,9.27
150225,2015,2,25,281.067,0.691,10.2
150226,2015,2,26,297.322,0.629,9.28
150303,2015,3,3,273.379,0.876,10.03
150312,2015,3,12,273.379,0.691,10.0
150322,2015,3,22,282.4,0.752,9.93
150323,2015,3,23,289.411,0.814,9.07
150324,2015,3,24,277.844,0.752,10.72
150327,2015,3,27,318.1,0.814,9.81
150328,2015,3,28,301.178,0.752,9.86
150329,2015,3,29,287.6,0.752,9.23
150330,2015,3,30,278.733,0.752,9.79
150402,2015,4,2,293.0,0.938,9.88
150423,2015,4,23,275.933,0.969,10.28
150426,2015,4,26,282.089,0.752,9.26
150428,2015,4,28,311.8,0.814,9.03
150429,2015,4,29,306.25,0.752,10.46
150430,2015,4,30,293.767,0.752,9.64
150501,2015,5,1,313.044,0.691,10.77
150509,2015,5,9,282.9,0.876,10.82
150515,2015,5,15,300.525,0.938,9.74
150516,2015,5,16,316.622,0.876,9.82
150525,2015,5,25,313.1,0.814,10.59
150602,2015,6,2,305.789,0.814,9.37
150604,2015,6,4,293.778,0.876,10.82
150626,2015,6,26,293.667,0.752,10.02
150712,2015,7,12,298.533,0.382,10.19
150713,2015,7,13,297.478,0.505,10.18
150714,2015,7,14,286.822,0.444,9.51
150715,2015,7,15,280.556,0.444,10.0
150716,2015,7,16,287.236,0.505,10.19
150718,2015,7,18,286.267,0.382,10.94
150719,2015,7,19,289.733,0.505,10.32
150721,2015,7,21,286.444,0.444,10.5
150723,2015,7,23,297.667,0.505,9.82
150724,2015,7,24,299.656,0.567,9.62
150726,2015,7,26,282.467,0.444,9.4
150727,2015,7,27,287.236,0.382,10.95
150728,2015,7,28,283.3,0.444,10.78
150729,2015,7,29,292.489,0.567,10.01
150730,2015,7,30,295.044,0.444,9.9
150802,2015,8,2,298.167,0.382,10.86
150804,2015,8,4,283.922,0.505,10.36
150805,2015,8,5,293.744,0.505,9.75
150806,2015,8,6,280.9,0.567,9.81
150807,2015,8,7,294.456,0.444,10.33
150808,2015,8,8,301.567,0.505,10.15
150809,2015,8,9,289.411,0.444,10.6
150810,2015,8,10,284.181,0.444,10.72
150811,2015,8,11,284.767,0.444,10.74
150816,2015,8,16,288.044,0.382,9.6
150818,2015,8,18,302.167,0.505,9.36
150821,2015,8,21,291.289,0.444,9.84
150823,2015,8,23,297.511,0.444,9.62
150827,2015,8,27,282.0,0.382,9.5
150828,2015,8,28,284.181,0.258,9.93
