Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,258.8,0.429,9.86
150112,2015,1,12,254.6,0.662,9.81
150117,2015,1,17,258.1,0.615,10.75
150120,2015,1,20,257.689,0.476,10.0
150127,2015,1,27,248.722,0.522,10.15
150129,2015,1,29,255.489,0.569,10.2
150204,2015,2,4,258.238,0.522,9.47
150207,2015,2,7,258.633,0.569,10.7
150208,2015,2,8,257.925,0.383,9.91
150209,2015,2,9,267.1,0.429,10.5
150210,2015,2,10,261.9,0.476,10.27
150211,2015,2,11,270.822,0.569,10.42
150218,2015,2,18,269.833,0.569,10.3
150219,2015,2,19,250.922,0.662,9.75
150220,2015,2,20,258.843,0.755,10.19
150225,2015,2,25,271.467,0.662,10.21
150226,2015,2,26,256.786,0.569,10.43
150303,2015,3,3,258.656,0.848,9.88
150312,2015,3,12,258.548,0.662,9.86
150322,2015,3,22,259.1,0.709,10.45
150323,2015,3,23,256.211,0.755,10.14
150324,2015,3,24,259.643,0.755,9.67
150327,2015,3,27,251.822,0.801,9.55
150328,2015,3,28,258.548,0.709,10.4
150329,2015,3,29,263.733,0.709,9.64
150330,2015,3,30,252.0,0.709,10.31
150402,2015,4,2,256.144,0.894,10.57
150423,2015,4,23,256.867,0.941,10.29
150426,2015,4,26,257.711,0.709,9.63
150428,2015,4,28,247.956,0.755,10.03
150429,2015,4,29,255.25,0.755,9.47
150430,2015,4,30,255.533,0.709,10.0
150501,2015,5,1,236.633,0.662,10.9
150508,2015,5,8,248.554,1.266,9.91
150509,2015,5,9,250.733,0.848,10.81
150515,2015,5,15,248.554,0.894,10.27
150516,2015,5,16,252.333,0.848,9.83
150525,2015,5,25,240.867,0.801,10.23
150602,2015,6,2,242.133,0.755,10.34
150604,2015,6,4,242.089,0.848,10.82
150626,2015,6,26,249.933,0.755,9.04
150712,2015,7,12,254.767,0.383,9.3
150713,2015,7,13,254.233,0.476,10.18
150714,2015,7,14,255.838,0.383,10.29
150715,2015,7,15,252.167,0.383,10.79
150716,2015,7,16,257.556,0.476,10.07
150718,2015,7,18,254.477,0.383,9.93
150719,2015,7,19,262.633,0.476,10.21
150721,2015,7,21,253.8,0.429,9.93
150723,2015,7,23,250.356,0.476,9.82
150724,2015,7,24,265.622,0.522,9.96
150726,2015,7,26,253.578,0.383,10.2
150727,2015,7,27,254.477,0.383,9.95
