Date,year,month,day,ozone,AOD,RD
150204,2015,2,4,259.424,0.196,10.1
150208,2015,2,8,259.424,0.134,10.45
150312,2015,3,12,273.379,0.382,10.51
150323,2015,3,23,289.411,0.258,10.4
150327,2015,3,27,318.1,0.289,10.43
150328,2015,3,28,301.178,0.32,10.38
150329,2015,3,29,287.6,0.258,9.06
150330,2015,3,30,278.733,0.289,9.66
150401,2015,4,1,288.067,0.444,10.45
150402,2015,4,2,293.0,0.351,9.85
150403,2015,4,3,287.056,0.444,9.72
150429,2015,4,29,306.25,0.32,10.04
150430,2015,4,30,293.767,0.32,10.78
150501,2015,5,1,313.044,0.32,9.67
150516,2015,5,16,316.622,0.382,10.01
150525,2015,5,25,313.1,0.382,10.51
150601,2015,6,1,299.189,0.382,9.23
150603,2015,6,3,308.478,0.444,10.28
150614,2015,6,14,283.44,0.444,9.26
150626,2015,6,26,293.667,0.413,9.67
150627,2015,6,27,298.322,0.413,9.79
150704,2015,7,4,293.856,0.444,9.94
150706,2015,7,6,299.733,0.505,9.41
150710,2015,7,10,292.333,0.444,10.2
150712,2015,7,12,298.533,0.413,9.81
150713,2015,7,13,297.478,0.413,10.2
150714,2015,7,14,286.822,0.382,10.7
150715,2015,7,15,280.556,0.475,9.81
150716,2015,7,16,287.236,0.413,10.2
150717,2015,7,17,296.167,0.475,9.81
150719,2015,7,19,289.733,0.444,9.83
150720,2015,7,20,296.433,0.505,9.56
150722,2015,7,22,305.011,0.505,9.84
150723,2015,7,23,297.667,0.475,9.85
150724,2015,7,24,299.656,0.536,9.58
150727,2015,7,27,287.236,0.444,9.71
150728,2015,7,28,283.3,0.505,9.58
150729,2015,7,29,292.489,0.505,10.95
150731,2015,7,31,297.144,0.444,9.22
150802,2015,8,2,298.167,0.382,10.5
150803,2015,8,3,297.389,0.444,9.88
150805,2015,8,5,293.744,0.505,10.16
150806,2015,8,6,280.9,0.475,9.89
150807,2015,8,7,294.456,0.444,10.57
150808,2015,8,8,301.567,0.475,9.91
150809,2015,8,9,289.411,0.475,9.78
150810,2015,8,10,284.181,0.444,9.01
150811,2015,8,11,284.767,0.382,9.79
150812,2015,8,12,293.078,0.382,9.92
150816,2015,8,16,288.044,0.32,9.46
150821,2015,8,21,291.289,0.505,10.33
150823,2015,8,23,297.511,0.444,10.89
150824,2015,8,24,297.633,0.382,10.86
150825,2015,8,25,286.289,0.32,10.99
150826,2015,8,26,284.181,0.382,10.51
150827,2015,8,27,282.0,0.382,9.73
150828,2015,8,28,284.181,0.258,10.74
150829,2015,8,29,285.967,0.32,9.76
150830,2015,8,30,288.889,0.444,9.52
150831,2015,8,31,279.244,0.505,9.68
150901,2015,9,1,274.667,0.444,10.38
150902,2015,9,2,271.108,0.444,9.19
150903,2015,9,3,283.533,0.536,9.6
150908,2015,9,8,276.233,0.505,10.59
150918,2015,9,18,271.108,0.413,10.45
150928,2015,9,28,277.567,0.382,10.27
150929,2015,9,29,271.108,0.351,9.88
150930,2015,9,30,271.108,0.258,10.31
151001,2015,10,1,267.478,0.382,10.25
151002,2015,10,2,260.191,0.351,10.14
160124,2016,1,24,255.023,0.289,9.74
160131,2016,1,31,255.023,0.165,10.18
160201,2016,2,1,252.978,0.165,10.44
160202,2016,2,2,259.424,0.258,9.25
160203,2016,2,3,254.2,0.227,10.5
160204,2016,2,4,259.424,0.227,10.1
160205,2016,2,5,259.424,0.227,10.2
160206,2016,2,6,261.5,0.227,9.51
160210,2016,2,10,274.933,0.289,9.76
