Date,Ozone,Year,Month,Day
150111,274.000,2015,1,11
150129,262.889,2015,1,29
150204,259.424,2015,2,4
150208,259.424,2015,2,8
150209,279.533,2015,2,9
150210,282.378,2015,2,10
150211,259.424,2015,2,11
150219,290.767,2015,2,19
150225,281.067,2015,2,25
150329,287.600,2015,3,29
150330,278.733,2015,3,30
150402,293.000,2015,4,2
150409,283.422,2015,4,9
150501,313.044,2015,5,1
150516,316.622,2015,5,16
150712,298.533,2015,7,12
150726,282.467,2015,7,26
150727,287.236,2015,7,27
150731,297.144,2015,7,31
150803,297.389,2015,8,3
150806,280.900,2015,8,6
150809,289.411,2015,8,9
150827,282.000,2015,8,27
151011,260.191,2015,10,11
151026,258.044,2015,10,26
151027,260.191,2015,10,27
160115,255.023,2016,1,15
160116,285.522,2016,1,16
160117,255.023,2016,1,17
160118,278.000,2016,1,18
160119,281.178,2016,1,19
160120,255.023,2016,1,20
160121,273.033,2016,1,21
160122,255.023,2016,1,22
160123,270.922,2016,1,23
160124,255.023,2016,1,24
160201,252.978,2016,2,1
160202,259.424,2016,2,2
160203,254.200,2016,2,3
160204,259.424,2016,2,4
160206,261.500,2016,2,6
160210,274.933,2016,2,10
160211,259.424,2016,2,11
160212,267.944,2016,2,12
160314,273.379,2016,3,14
160403,271.289,2016,4,3
160404,268.667,2016,4,4
160504,273.178,2016,5,4
160506,287.700,2016,5,6
160516,302.500,2016,5,16
160606,283.440,2016,6,6
160704,296.244,2016,7,4
160706,284.567,2016,7,6
160709,287.000,2016,7,9
160711,287.236,2016,7,11
160714,280.400,2016,7,14
160715,291.133,2016,7,15
160716,280.044,2016,7,16
160722,283.367,2016,7,22
160724,300.178,2016,7,24
160801,283.789,2016,8,1
160802,280.633,2016,8,2
160803,284.181,2016,8,3
160823,276.189,2016,8,23
160903,265.200,2016,9,3
160906,271.056,2016,9,6
160912,280.822,2016,9,12
161011,260.191,2016,10,11
161012,250.811,2016,10,12
161031,260.191,2016,10,31
161115,271.244,2016,11,15
161122,241.211,2016,11,22
170207,259.424,2017,2,7
170208,245.822,2017,2,8
170212,247.733,2017,2,12
170221,248.767,2017,2,21
170302,243.722,2017,3,2
170321,281.689,2017,3,21
170324,273.379,2017,3,24
170325,274.567,2017,3,25
170327,283.300,2017,3,27
170329,263.533,2017,3,29
170330,267.600,2017,3,30
170331,273.379,2017,3,31
170401,280.667,2017,4,1
170403,286.378,2017,4,3
170419,297.144,2017,4,19
170420,297.744,2017,4,20
170428,294.233,2017,4,28
170430,267.767,2017,4,30
